gene	alpha	cvm	lambda.iteration	lambda.min	n.snps	R2	pval
TUBB8	NA	NA	NA	NA	0	NA	NA
ZMYND11	1	0.987404642855053	7	0.17908201378941	3	0.00740141608627789	0.237910247322081
DIP2C	1	0.999987708638503	5	0.198752333581005	2	0.000265360216048902	0.823478238725832
PRR26	1	1.00564535827552	13	0.136580544893603	17	0.0026522427273051	0.480398639756781
LARP4B	1	1.00454299772083	8	0.172900393513688	10	0.000736933875680923	0.710050461733838
AL359878.1	NA	NA	NA	NA	0	NA	NA
GTPBP4	1	1.00345680837027	2	0.2373386681042	2	0.0122308002907986	0.128756839259531
IDI2	NA	NA	NA	NA	0	NA	NA
IDI1	NA	NA	NA	NA	0	NA	NA
WDR37	NA	NA	NA	NA	0	NA	NA
ADARB2	1	0.989205145549788	12	0.150454114709679	24	0.0147445102307624	0.0951388955118865
PFKP	NA	NA	NA	NA	0	NA	NA
PITRM1	1	0.993918594357416	9	0.210956362091237	3	0.00332650637445415	0.429283056427947
KLF6	1	0.999807253179071	3	0.234305122028569	1	0.00194983107045117	0.545219265802186
AKR1E2	NA	NA	NA	NA	0	NA	NA
AKR1C1	1	1.00173877369416	6	0.228357139381728	2	3.8475860307356e-06	0.978571891284833
AKR1C2	1	0.838736058574245	20	0.198068846969629	3	0.169256363733648	3.70963996185116e-09
AKR1C3	NA	NA	NA	NA	0	NA	NA
AKR1CL1	1	0.975180976991445	13	0.176813517127436	11	0.0210945755479082	0.0455656652002846
AKR1C4	1	0.997605018667424	9	0.157781880311732	4	0.00172723879976309	0.56913107034003
UCN3	NA	NA	NA	NA	0	NA	NA
TUBAL3	1	0.805282247590063	22	0.162429775133337	9	0.206171590427601	4.71058257213737e-11
NET1	NA	NA	NA	NA	0	NA	NA
CALML5	NA	NA	NA	NA	0	NA	NA
CALML3	NA	NA	NA	NA	0	NA	NA
ASB13	NA	NA	NA	NA	0	NA	NA
FAM208B	NA	NA	NA	NA	0	NA	NA
GDI2	1	0.995662598502917	9	0.183307393472366	13	0.00587957979930481	0.293022900103547
ANKRD16	NA	NA	NA	NA	0	NA	NA
FBXO18	NA	NA	NA	NA	0	NA	NA
IL15RA	1	0.993195352089977	5	0.23327645931681	1	0.00190916706279226	0.549444983993208
IL2RA	NA	NA	NA	NA	0	NA	NA
RBM17	NA	NA	NA	NA	0	NA	NA
PFKFB3	1	1.00966280961176	7	0.18361882238614	10	0.000363681458309807	0.793971517065053
AL137145.1	NA	NA	NA	NA	0	NA	NA
DKFZP667F0711	NA	NA	NA	NA	0	NA	NA
PRKCQ	1	0.989758640032694	5	0.231931095421608	4	0.00500831967267192	0.331911952324136
SFMBT2	NA	NA	NA	NA	0	NA	NA
ITIH5	NA	NA	NA	NA	0	NA	NA
ITIH2	1	0.992045523503693	8	0.199037008694217	7	0.0049144629132228	0.336495462753441
KIN	1	0.937305092573044	13	0.177419821037845	6	0.0679362946955887	0.000281199303757377
