gene	alpha	cvm	lambda.iteration	lambda.min	n.snps	R2	pval
ZMYND11	0.95	0.993886580953797	13	0.121897552847033	15	0.0060284938019099	0.191218059990431
DIP2C	NA	NA	NA	NA	0	NA	NA
PRR26	NA	NA	NA	NA	0	NA	NA
LARP4B	NA	NA	NA	NA	0	NA	NA
GTPBP4	NA	NA	NA	NA	0	NA	NA
IDI2	NA	NA	NA	NA	0	NA	NA
IDI1	NA	NA	NA	NA	0	NA	NA
WDR37	NA	NA	NA	NA	0	NA	NA
ADARB2	0.95	0.946890301695994	17	0.151019511256652	15	0.0506009962781333	0.000128118457686051
PFKP	0.95	1.00569125704951	2	0.194913978381538	1	0.0200989158628051	0.0166224338180617
PITRM1	NA	NA	NA	NA	0	NA	NA
KLF6	0.95	1.0053011503731	4	0.204946982782856	1	0.00547854904713138	0.212847962347645
AKR1E2	NA	NA	NA	NA	0	NA	NA
AKR1C1	NA	NA	NA	NA	0	NA	NA
AKR1C2	0.95	0.99077238506194	7	0.201822047810972	2	0.00607279036607489	0.189590378661535
AKR1C3	0.95	0.993224262316654	8	0.156675450937766	8	0.00447774810930717	0.260178442950309
AKR1C4	0.95	1.00860862475128	8	0.15343480866139	11	9.48022977676779e-06	0.958726977858103
UCN3	NA	NA	NA	NA	0	NA	NA
TUBAL3	0.95	0.962260091063555	19	0.123637664112042	21	0.0345475868148794	0.00162400515311265
NET1	0.95	0.993896259663737	6	0.197989987917772	3	0.00295436624319677	0.36058768653835
CALML5	NA	NA	NA	NA	0	NA	NA
CALML3	NA	NA	NA	NA	0	NA	NA
ASB13	0.95	1.00005285175589	8	0.16728550283692	8	0.000532708888833233	0.698028806434312
FAM208B	NA	NA	NA	NA	0	NA	NA
GDI2	0.95	0.979303095095793	8	0.208807433102881	2	0.0214488046421221	0.0133264958768556
ANKRD16	NA	NA	NA	NA	0	NA	NA
FBXO18	NA	NA	NA	NA	0	NA	NA
IL15RA	0.95	0.956132735689302	16	0.125759153980008	26	0.040662805348675	0.000615860685453403
IL2RA	NA	NA	NA	NA	0	NA	NA
RBM17	NA	NA	NA	NA	0	NA	NA
PFKFB3	0.95	0.995336909637754	13	0.142807822604827	16	0.00616568252263935	0.186228926531533
AL137145.1	0.95	0.993092067050373	7	0.164690622174507	5	0.00364448679505903	0.309818257477674
DKFZP667F0711	NA	NA	NA	NA	0	NA	NA
PRKCQ	NA	NA	NA	NA	0	NA	NA
SFMBT2	NA	NA	NA	NA	0	NA	NA
ITIH5	NA	NA	NA	NA	0	NA	NA
ITIH2	NA	NA	NA	NA	0	NA	NA
KIN	NA	NA	NA	NA	0	NA	NA
ATP5C1	0.95	1.00395722560538	5	0.178199173473827	2	0.00169353729845499	0.488952426140371
TAF3	NA	NA	NA	NA	0	NA	NA
GATA3	0.95	0.993529610767281	10	0.190799457433543	5	0.00532885171897284	0.219226160358889
CELF2	NA	NA	NA	NA	0	NA	NA
USP6NL	0.95	0.984736175452629	16	0.117817072467033	29	0.0174078568666073	0.0259245064960012
ECHDC3	0.95	0.981795692165052	13	0.159138178158712	18	0.0170101074497097	0.0276988443198531
PROSER2	NA	NA	NA	NA	0	NA	NA
UPF2	NA	NA	NA	NA	0	NA	NA
DHTKD1	NA	NA	NA	NA	0	NA	NA
SEC61A2	0.95	1.003217501482	7	0.169212997220034	9	0.000171179603900605	0.825937624367653
NUDT5	0.95	0.998413242768999	8	0.167021792900094	6	0.000927720268367495	0.60861064252005
CDC123	NA	NA	NA	NA	0	NA	NA
CAMK1D	NA	NA	NA	NA	0	NA	NA
CCDC3	0.95	0.999876966727888	7	0.176323016870741	5	0.000306714567501859	0.76846662490825
OPTN	NA	NA	NA	NA	0	NA	NA
MCM10	NA	NA	NA	NA	0	NA	NA
PHYH	0.95	0.999631658620817	8	0.167446091933892	8	0.00255254768835002	0.395482762563513
SEPHS1	0.95	0.99440463326917	7	0.185780468022297	2	0.00278911156474319	0.374394674308843
BEND7	NA	NA	NA	NA	0	NA	NA
PRPF18	NA	NA	NA	NA	0	NA	NA
RP11-295P9.3	0.95	0.99781183587807	10	0.155280376582143	8	0.00276097878741316	0.376818132249208
FRMD4A	0.95	0.989746772495455	8	0.187873342204135	6	0.00684093414177656	0.163754394390357
FAM107B	0.95	0.77384950399771	38	0.0796764645804997	57	0.22435267601958	2.41311096546243e-17
CDNF	NA	NA	NA	NA	0	NA	NA
HSPA14	NA	NA	NA	NA	0	NA	NA
SUV39H2	NA	NA	NA	NA	0	NA	NA
DCLRE1C	NA	NA	NA	NA	0	NA	NA
MEIG1	NA	NA	NA	NA	0	NA	NA
OLAH	NA	NA	NA	NA	0	NA	NA
ACBD7	NA	NA	NA	NA	0	NA	NA
C10orf111	0.95	0.987136833056084	12	0.125032736954919	17	0.011759327408288	0.0675444678963001
RPP38	0.95	0.989168139825783	10	0.159746910786295	10	0.00849126916972449	0.120636886594458
NMT2	0.95	0.988541386478691	8	0.181384753641774	4	0.00799477647964916	0.132103725516317
FAM171A1	NA	NA	NA	NA	0	NA	NA
ITGA8	0.95	1.00327609076713	6	0.181371059434854	4	0.000326909899147601	0.761188930616112
FAM188A	NA	NA	NA	NA	0	NA	NA
PTER	0.95	0.956681866186003	17	0.108144402451273	26	0.0400364686549102	0.000680036110241225
C1QL3	0.95	0.886607837886671	26	0.113900547802342	25	0.11179490228905	7.15670400490004e-09
RSU1	0.95	0.992223195316011	9	0.148416386570623	8	0.00509768206404102	0.229528369734474
CUBN	0.95	0.999411202067434	5	0.190797390635345	2	1.0051672793053e-05	0.957502401284368
TRDMT1	0.95	0.984063326417657	9	0.171123725544919	7	0.0127211950361002	0.0571986508698362
VIM	NA	NA	NA	NA	0	NA	NA
ST8SIA6	NA	NA	NA	NA	0	NA	NA
PTPLA	NA	NA	NA	NA	0	NA	NA
STAM	0.95	0.994996851623463	6	0.222519485434514	2	0.00199568763859516	0.452514404259008
MRC1L1	0.95	1.00313533752033	9	0.171681732474559	3	2.24976930613025e-05	0.936457950259668
TMEM236	0.95	0.96001545912082	14	0.167175999264214	4	0.039859306775957	0.000699377063501611
MRC1	0.95	1.0083471412923	2	0.184259580156935	1	0.0304677744058952	0.0031112602764674
SLC39A12	0.95	0.991096599353517	10	0.161723400490758	4	0.00554526344497143	0.210076327222855
CACNB2	NA	NA	NA	NA	0	NA	NA
NSUN6	0.95	0.994295412198415	15	0.127090628354252	15	0.00883669762225231	0.113307742939227
ARL5B	0.95	0.945405534614241	19	0.14845433619764	10	0.0513556006803928	0.000113730419222909
C10orf112	0.95	0.906826497584603	22	0.13715034101651	19	0.092342247117842	1.67907846962975e-07
PLXDC2	0.95	0.995217980521872	7	0.195357924346382	7	0.00226569859321033	0.42342586298617
NEBL	NA	NA	NA	NA	0	NA	NA
CASC10	NA	NA	NA	NA	0	NA	NA
SKIDA1	0.95	0.987096489636035	11	0.129676977967123	10	0.0102401456976335	0.0881540389467902
MLLT10	0.95	1.01013548465853	18	0.10054389467853	29	0.00775095569122137	0.138173704995382
DNAJC1	NA	NA	NA	NA	0	NA	NA
COMMD3	NA	NA	NA	NA	0	NA	NA
BMI1	0.95	1.00160304409267	6	0.164733075913839	1	0.000323762688824927	0.762306631953728
SPAG6	0.95	0.978599469690288	11	0.146663783173816	5	0.0192568481924316	0.0190911660184702
PIP4K2A	0.95	0.991635283269382	8	0.159460108401109	3	0.00497790790061087	0.235093914052042
ARMC3	NA	NA	NA	NA	0	NA	NA
MSRB2	0.95	1.00382066092257	10	0.126895912441721	14	0.00045412463483216	0.720180781409855
PTF1A	NA	NA	NA	NA	0	NA	NA
C10orf115	NA	NA	NA	NA	0	NA	NA
C10orf67	0.95	0.999015343197361	6	0.151459857362978	4	3.65927113792425e-05	0.91901526810897
OTUD1	NA	NA	NA	NA	0	NA	NA
KIAA1217	0.95	1.00426955691203	9	0.142688835404637	13	0.00157318697959204	0.504826211829451
ARHGAP21	NA	NA	NA	NA	0	NA	NA
PRTFDC1	0.95	0.989523551109824	21	0.0837435881051573	49	0.0314179191554986	0.00267328556549907
ENKUR	0.95	1.00504958974271	8	0.156466533298337	4	0.000461275645783264	0.718079105938088
THNSL1	NA	NA	NA	NA	0	NA	NA
GPR158	NA	NA	NA	NA	0	NA	NA
MYO3A	NA	NA	NA	NA	0	NA	NA
GAD2	0.95	0.97097384386	13	0.14794843969815	16	0.0257583192701098	0.00662426345453746
APBB1IP	0.95	0.889429492142175	22	0.154965801955502	11	0.115283323810774	4.0418103105684e-09
PDSS1	NA	NA	NA	NA	0	NA	NA
