gene	alpha	cvm	lambda.iteration	lambda.min	n.snps	R2	pval
ZMYND11	0.5	0.999882987549988	8	0.221448344104272	5	0.000138742220775617	0.803220279046026
DIP2C	0.5	0.987766187417402	16	0.146329828726534	49	0.0162079797509813	0.00684762757808183
PRR26	NA	NA	NA	NA	0	NA	NA
LARP4B	0.5	0.962007594562045	20	0.192803052401015	21	0.0359092849434431	5.22385783112382e-05
GTPBP4	0.5	0.934610695029164	28	0.158868840285419	45	0.0636197031015933	5.8394219352331e-08
IDI2	NA	NA	NA	NA	0	NA	NA
IDI1	0.5	0.993096632324429	9	0.260732209066245	4	0.00474321349842748	0.144663313830322
WDR37	0.5	0.947374599233112	19	0.219710424257677	17	0.053130779779838	7.7015896157101e-07
ADARB2	0.5	0.638071121267462	50	0.124069151133739	80	0.361017679899438	1.67920327949753e-45
PFKP	0.5	0.986557044019261	13	0.258495838383713	10	0.0114334902949061	0.023300387356535
PITRM1	0.5	0.757561212199183	43	0.11413031542193	99	0.240799941265906	1.20791175066831e-28
KLF6	0.5	1.00173226089795	9	0.226927585344998	14	0.000743291887948467	0.564045997006572
AKR1E2	0.5	0.828603487762148	31	0.183515630425897	27	0.176120158342316	1.2654910739776e-20
AKR1C1	0.5	0.921120330664076	25	0.219882177990502	24	0.0798356352089335	1.04790440858549e-09
AKR1C2	0.5	0.764525162963808	34	0.216462852816708	21	0.242708718635266	6.84632205962014e-29
AKR1C3	0.5	0.964149260934338	19	0.19493577571873	29	0.0337488413631976	8.86898656172549e-05
AKR1C4	0.5	0.993493376329082	10	0.252118322556574	7	0.00445622399975655	0.157442620524345
UCN3	NA	NA	NA	NA	0	NA	NA
TUBAL3	0.5	0.959035333181715	17	0.23658743389679	12	0.0425375348563699	1.03140276804786e-05
NET1	0.5	0.992654095240402	14	0.18754060973377	39	0.00860508290322443	0.0492314454083372
CALML5	0.5	0.998097938208183	6	0.294475015641405	4	0.000378080904465795	0.680803002469935
CALML3	NA	NA	NA	NA	0	NA	NA
ASB13	0.5	0.898480378696025	29	0.110740641882651	112	0.103265682697991	2.86917916744026e-12
FAM208B	NA	NA	NA	NA	0	NA	NA
GDI2	0.5	0.897792142067412	25	0.242766910138646	9	0.10815412334371	8.24764286597748e-13
ANKRD16	0.5	0.876148058013307	38	0.113898045721737	91	0.123574359069068	1.55480581774057e-14
FBXO18	0.5	0.969920246076313	18	0.203658524813144	18	0.0281002135353244	0.000355068917052377
IL15RA	0.5	0.896443876665629	34	0.131259722307947	74	0.102710668720147	3.30425518915417e-12
IL2RA	0.5	0.917980771618753	26	0.170571673101941	46	0.080303714706171	9.32429594776313e-10
RBM17	NA	NA	NA	NA	0	NA	NA
PFKFB3	NA	NA	NA	NA	0	NA	NA
AL137145.1	0.5	0.930633643064502	19	0.254146754518582	9	0.0780457717199895	1.63697938343059e-09
DKFZP667F0711	0.5	0.91460618965412	29	0.165630541735417	51	0.0833662912164368	4.33905642705964e-10
PRKCQ	0.5	0.998077183210319	5	0.303115035948195	3	0.000218102083202751	0.754715109554229
SFMBT2	0.5	1.00450872925516	15	0.180370850047625	45	0.00567255357965369	0.110595039518353
ITIH5	0.5	0.992793959703343	14	0.218972756864422	17	0.00752004345308852	0.0660745515665245
ITIH2	0.5	0.748249558439975	39	0.15954156704737	49	0.254858889648826	1.78468194989322e-30
KIN	0.5	0.856105078475921	29	0.20647954599532	28	0.145377955372928	5.08986060361398e-17
ATP5C1	0.5	0.967725497795908	20	0.187132406673423	33	0.0308629265987527	0.000180029608039099
TAF3	0.5	1.00271079136025	3	0.296725281979423	3	0.00607067262475748	0.0987937742015127
GATA3	0.5	0.978153964214994	12	0.221521504275271	13	0.0196906976363133	0.00285245896956653
CELF2	0.5	0.985841922666087	10	0.224517978702487	15	0.0119776418723576	0.0202250661764524
USP6NL	NA	NA	NA	NA	0	NA	NA
ECHDC3	0.5	0.559398348538242	46	0.121820413613872	62	0.450931605511134	2.65558273380348e-60
PROSER2	0.5	0.991670960004841	20	0.174643247533856	35	0.012661594937961	0.0169431751257551
UPF2	NA	NA	NA	NA	0	NA	NA
DHTKD1	0.5	0.998413659562433	6	0.26881395431839	4	0.000368690381517853	0.684576629960836
SEC61A2	0.5	0.813783734941886	35	0.184163552897752	36	0.18843882702037	4.19154509310263e-22
NUDT5	0.5	0.944360452235182	20	0.173935749829661	47	0.0536065446629654	6.85311854578736e-07
CDC123	NA	NA	NA	NA	0	NA	NA
CAMK1D	0.5	0.915210202188438	21	0.19039694478071	31	0.0846612752395416	3.13814984117435e-10
CCDC3	0.5	0.968051168248365	18	0.211047059104633	27	0.030174626815329	0.000213189295330348
OPTN	0.5	1.00474986567581	9	0.232892628724241	20	0.000503917022403705	0.634835854236903
MCM10	0.5	0.950718724717631	15	0.199358810189069	27	0.0504863623487728	1.47290896481676e-06
PHYH	0.5	0.844915428787177	32	0.175620985012357	42	0.157381098293196	2.06038356406954e-18
SEPHS1	0.5	0.988032637809254	11	0.240722474608783	9	0.00978557075440349	0.0359259472455005
BEND7	0.5	0.971853652171812	13	0.268814153348493	8	0.0306653263153241	0.000188980969569607
PRPF18	0.5	0.990396349471652	9	0.259689522887058	4	0.00835721178604998	0.052631767901298
RP11-295P9.3	0.5	0.68745331779938	37	0.193212065592132	27	0.321535965657708	1.20904020021137e-39
FRMD4A	0.5	0.978003292817531	15	0.223919019985617	21	0.0198555537038851	0.00273731561388978
FAM107B	NA	NA	NA	NA	0	NA	NA
CDNF	NA	NA	NA	NA	0	NA	NA
HSPA14	0.5	0.935576232820153	25	0.171507237365494	32	0.0629472537701954	6.89244816635266e-08
SUV39H2	NA	NA	NA	NA	0	NA	NA
DCLRE1C	0.5	0.865587988880267	34	0.15897766689873	52	0.133716653794564	1.10345678146831e-15
MEIG1	NA	NA	NA	NA	0	NA	NA
OLAH	0.5	1.00462916935787	2	0.307670783220909	2	0.0133930350049599	0.0140337622683501
ACBD7	0.5	0.918904280969873	22	0.259837910923259	5	0.0892890254504697	9.83026745852072e-11
C10orf111	0.5	0.744002480021887	44	0.120558405302939	62	0.25596881189426	1.27531975247407e-30
RPP38	0.5	0.965138601445231	19	0.210683612838361	14	0.0327225029342907	0.000114067258850148
NMT2	0.5	0.88654733679251	27	0.173662228206285	42	0.114689083423514	1.54385089967397e-13
FAM171A1	0.5	0.951732925785872	16	0.214890136024055	25	0.0474823604271153	3.07450700487717e-06
ITGA8	NA	NA	NA	NA	0	NA	NA
FAM188A	0.5	0.999750222733163	7	0.244369915259	6	0.000296788173516054	0.715513088638664
PTER	0.5	0.767615129859205	37	0.145698828833672	47	0.236506385116507	4.31009803305892e-28
C1QL3	0.5	0.2684411690885	61	0.103352953263697	35	0.735953714087108	1.25493722692245e-131
RSU1	0.5	0.688919706134239	42	0.155463389821839	29	0.31593472564355	7.69209796320331e-39
CUBN	0.5	0.795484917984113	36	0.168993487933713	41	0.209761773665908	1.02195575961536e-24
TRDMT1	0.5	0.806986928270035	32	0.192946047921284	29	0.19883051145316	2.27655083316347e-23
VIM	0.5	0.98681131330829	9	0.247332334089529	3	0.0124631556345164	0.0178346469188278
ST8SIA6	0.5	0.99838372280584	11	0.203856691089143	18	0.00280900155508223	0.261878712421911
PTPLA	0.5	0.993164013001859	12	0.206107197664005	19	0.00757583241392931	0.0650741527928832
STAM	0.5	0.879012471620981	32	0.177376941370363	36	0.120294683609587	3.63646280406353e-14
MRC1L1	0.5	0.766777237357921	36	0.19540882398275	14	0.238025764019827	2.75001069350085e-28
TMEM236	0.5	0.968604225051142	14	0.240118770507217	15	0.0324140251837742	0.000123032693292432
MRC1	0.5	0.682569259463813	43	0.160366724210383	28	0.324837704635861	4.03343111929368e-40
SLC39A12	0.5	0.842740114787341	28	0.225201998372391	16	0.163620715069864	3.8253436228919e-19
CACNB2	0.5	0.994429036115864	7	0.314825103638832	5	0.00337520776164071	0.218687726542466
NSUN6	0.5	0.593665865044882	48	0.126307835353426	48	0.411305658294343	1.6708396884309e-53
ARL5B	0.5	0.981311743532494	11	0.268771861158466	8	0.0187902159063613	0.00357369750321789
C10orf112	0.5	0.615956873543477	44	0.105774199888261	105	0.393525872434158	1.33982334668722e-50
PLXDC2	NA	NA	NA	NA	0	NA	NA
