gene	alpha	cvm	lambda.iteration	lambda.min	n.snps	R2	pval
ZMYND11	NA	NA	NA	NA	0	NA	NA
DIP2C	0.05	0.986287570615498	19	1.87456732212927	80	0.0118405075190826	0.0452816901111427
PRR26	NA	NA	NA	NA	0	NA	NA
LARP4B	NA	NA	NA	NA	0	NA	NA
GTPBP4	0.05	0.954011339200708	30	1.22134303540019	188	0.0494480238836139	3.61245725377747e-05
IDI2	NA	NA	NA	NA	0	NA	NA
IDI1	NA	NA	NA	NA	0	NA	NA
WDR37	NA	NA	NA	NA	0	NA	NA
ADARB2	0.05	0.489282771606109	60	0.975207519563879	238	0.516177499927839	4.46490327851772e-55
PFKP	0.05	0.935075401011864	28	1.51821999668523	159	0.0622054691546312	3.33807994229164e-06
PITRM1	0.05	1.0049253464718	6	3.23636600441449	5	0.0143206711156349	0.0275859703399939
KLF6	NA	NA	NA	NA	0	NA	NA
AKR1E2	NA	NA	NA	NA	0	NA	NA
AKR1C1	0.05	0.85077803791274	35	1.8002117626067	79	0.153397646265155	7.11343684891727e-14
AKR1C2	0.05	0.981455781245571	22	1.62473880656962	129	0.0187973136320917	0.0115054852945247
AKR1C3	0.05	0.991536367216	16	1.89832910330857	97	0.00732846059425662	0.11566117021757
AKR1C4	NA	NA	NA	NA	0	NA	NA
UCN3	NA	NA	NA	NA	0	NA	NA
TUBAL3	NA	NA	NA	NA	0	NA	NA
NET1	0.05	0.980399016570899	16	2.43130970586253	62	0.0171514995601803	0.0158308388734085
CALML5	NA	NA	NA	NA	0	NA	NA
CALML3	0.05	1.00054274857329	9	2.84126183938565	8	0.000504153576569203	0.680386878733314
ASB13	0.05	0.99580061270701	18	2.25106651439381	78	0.00457723023222029	0.214056575701674
FAM208B	0.05	0.99034264227494	14	2.06322816539877	68	0.00750705306401877	0.111300471902561
GDI2	0.05	0.980817712314985	15	2.14504016028464	51	0.0166383454026948	0.0174960160819121
ANKRD16	0.05	0.998676878837695	9	2.86369165454514	23	9.93161829078374e-05	0.854942602861433
FBXO18	0.05	1.00275131845578	9	2.93802460866018	11	0.00307816298407534	0.308426737329922
IL15RA	0.05	0.961546245966885	19	2.05455007046827	80	0.0363893047913149	0.000412783114227231
IL2RA	0.05	0.983153691589501	32	1.0800665250127	266	0.0263704933964895	0.00271043787279704
RBM17	NA	NA	NA	NA	0	NA	NA
PFKFB3	0.05	0.991492339118903	9	3.0363322976929	7	0.0081848424859282	0.0963142656458661
AL137145.1	NA	NA	NA	NA	0	NA	NA
DKFZP667F0711	0.05	1.00076650957044	18	2.02350694606371	87	0.00316610336900734	0.301604686370577
PRKCQ	0.05	1.00178948984429	3	3.58752308582411	1	0.0124981014036579	0.0396657606743901
SFMBT2	0.05	0.961121236129367	24	1.89108773503726	91	0.0364515730978064	0.000408005959175177
ITIH5	0.05	1.00426367234024	4	3.46494814756851	3	0.0149781504190254	0.0242272536216605
ITIH2	NA	NA	NA	NA	0	NA	NA
KIN	NA	NA	NA	NA	0	NA	NA
ATP5C1	NA	NA	NA	NA	0	NA	NA
TAF3	NA	NA	NA	NA	0	NA	NA
GATA3	0.05	1.00049385002206	2	4.67642800791328	1	0.0085871567717373	0.0884662829996042
CELF2	NA	NA	NA	NA	0	NA	NA
USP6NL	0.05	1.00161020063248	17	1.80830995132612	101	0.00312204469606922	0.304997965227357
ECHDC3	0.05	0.981024264126881	17	2.36491758935576	51	0.0160766052608739	0.0195263488981542
PROSER2	0.05	0.988315308450431	17	2.21418010020295	60	0.00885579820098072	0.0836118866600986
UPF2	0.05	1.00170845490355	5	3.33733778361181	4	0.00694869933915294	0.125572409360341
DHTKD1	NA	NA	NA	NA	0	NA	NA
SEC61A2	0.05	1.00427477730414	9	2.52759093345524	34	0.000445923838976983	0.698452220467287
NUDT5	NA	NA	NA	NA	0	NA	NA
CDC123	NA	NA	NA	NA	0	NA	NA
CAMK1D	0.05	0.961368456794006	22	2.19409217953627	83	0.0358479498297138	0.000456753268051791
CCDC3	0.05	0.99974127368779	24	1.38755000198603	233	0.012268873921871	0.0415357548590536
OPTN	NA	NA	NA	NA	0	NA	NA
MCM10	0.05	0.984449941866909	14	2.26351637209129	62	0.0127870904347359	0.0374327205042768
PHYH	NA	NA	NA	NA	0	NA	NA
SEPHS1	0.05	0.943093389270816	24	1.49596358196905	186	0.0543719598053263	1.4421783952966e-05
BEND7	NA	NA	NA	NA	0	NA	NA
PRPF18	NA	NA	NA	NA	0	NA	NA
RP11-295P9.3	0.05	0.993708196289151	10	2.99702365665609	7	0.00420388678929704	0.233800155922025
FRMD4A	0.05	0.995081378865621	13	2.48759567793821	54	0.00309804219300986	0.306867300756344
FAM107B	NA	NA	NA	NA	0	NA	NA
CDNF	0.05	0.998693181633398	8	3.25286023812599	2	0.000499606297258925	0.681752523424338
HSPA14	0.05	0.997777729265451	10	2.51496934122275	14	0.000289558292152538	0.754910749637033
SUV39H2	NA	NA	NA	NA	0	NA	NA
DCLRE1C	NA	NA	NA	NA	0	NA	NA
MEIG1	0.05	0.992091835612773	14	2.0764374410926	64	0.00560605420703656	0.169004870795654
OLAH	0.05	1.00414114694302	7	3.43190021281839	6	0.00556837036908067	0.170448264585988
ACBD7	0.05	0.998906483829583	9	2.92171702771507	43	0.000569748608634543	0.661443165643586
C10orf111	NA	NA	NA	NA	0	NA	NA
RPP38	0.05	0.999838865437199	7	2.90867372157519	11	0.000250570953945215	0.771516002979333
NMT2	NA	NA	NA	NA	0	NA	NA
FAM171A1	0.05	0.984439933109249	16	2.3915922778864	44	0.0126577946720024	0.0384151306447481
ITGA8	0.05	0.998012958877473	10	2.70433230575003	14	0.000166825077660344	0.812701993494952
FAM188A	0.05	0.990518490810339	12	2.78956514817319	23	0.00679517112730856	0.129842734871792
PTER	0.05	0.995704535027803	15	2.01420789122167	71	0.00408608620222143	0.240478458041777
C1QL3	NA	NA	NA	NA	0	NA	NA
RSU1	NA	NA	NA	NA	0	NA	NA
CUBN	0.05	0.971918775569842	26	1.40153211417975	149	0.028946823741746	0.00166684611745162
TRDMT1	0.05	0.985360395619786	14	2.18826864991951	58	0.0117301159186838	0.0463032704645737
VIM	NA	NA	NA	NA	0	NA	NA
ST8SIA6	0.05	0.99971311190337	5	2.97805644140358	5	0.0027052281255947	0.339705055642275
PTPLA	NA	NA	NA	NA	0	NA	NA
STAM	0.05	0.962036404184528	25	1.68803010474205	126	0.0364573861550457	0.000407562828667067
MRC1L1	0.05	1.00199563028329	11	2.87615214219764	32	0.000125039459058117	0.837470293539269
TMEM236	NA	NA	NA	NA	0	NA	NA
MRC1	0.05	0.985242064154759	17	2.02830606181436	83	0.0137205881228626	0.0310724117785729
SLC39A12	0.05	1.00217420072331	7	2.68657728055279	37	0.000281882902731239	0.75807853254781
CACNB2	0.05	0.963739666421181	19	1.95918179555079	106	0.0334774490256568	0.00071182889053703
NSUN6	0.05	0.987161199328168	12	2.6760986536524	35	0.0102899583752426	0.0620953252361869
ARL5B	0.05	0.976027548132641	21	2.01702367943183	78	0.0211486906264261	0.00731929147369548
C10orf112	0.05	0.993813955409178	15	2.25144088135507	63	0.00537152085684082	0.178221554469928
PLXDC2	0.05	0.954805876849378	23	1.53706517413283	145	0.0424150288673679	0.000134027969122832
NEBL	0.05	0.799841668947911	36	1.97374479521219	69	0.209187156194554	6.28406225160185e-19
CASC10	NA	NA	NA	NA	0	NA	NA
SKIDA1	0.05	1.00072991599856	9	2.79060289402077	10	0.00213518810424756	0.396386772335625
MLLT10	NA	NA	NA	NA	0	NA	NA
DNAJC1	NA	NA	NA	NA	0	NA	NA
COMMD3	0.05	1.00070864451986	23	1.19655474014775	140	0.0105122942098281	0.0593262607536124
BMI1	NA	NA	NA	NA	0	NA	NA
SPAG6	0.05	1.00262173777261	8	2.56286216633849	10	0.00122839994956466	0.520142273167159
PIP4K2A	NA	NA	NA	NA	0	NA	NA
ARMC3	0.05	0.976023215323446	22	1.38153983755054	123	0.0237013407445397	0.00449651511774607
MSRB2	0.05	1.00330820451789	6	2.92471555499391	6	0.00348235369122009	0.278609756647037
PTF1A	NA	NA	NA	NA	0	NA	NA
C10orf115	NA	NA	NA	NA	0	NA	NA
C10orf67	NA	NA	NA	NA	0	NA	NA
OTUD1	0.05	1.00135680932423	3	3.62225542620299	3	0.00924383506976331	0.0770987616042395
KIAA1217	0.05	1.00017987190834	11	2.66629833309415	29	0.000303691071116772	0.749196242773294
ARHGAP21	0.05	1.00333048576198	5	2.91406669122539	32	0.00304363817235312	0.311159541063248
PRTFDC1	NA	NA	NA	NA	0	NA	NA
ENKUR	NA	NA	NA	NA	0	NA	NA
THNSL1	NA	NA	NA	NA	0	NA	NA
GPR158	0.05	0.986000294809458	13	2.26102677077094	50	0.0111977881861012	0.0515805697639293
MYO3A	NA	NA	NA	NA	0	NA	NA
GAD2	NA	NA	NA	NA	0	NA	NA
APBB1IP	0.05	0.952469994594157	19	2.29635449432067	79	0.0482069804849185	4.55273403576227e-05
PDSS1	0.05	0.905446792976749	24	2.26826939158418	55	0.104667001800306	1.06403834967928e-09
ABI1	NA	NA	NA	NA	0	NA	NA
ANKRD26	0.05	1.00184306039067	6	3.15660598978037	10	0.00391671200478897	0.250490943312176
YME1L1	NA	NA	NA	NA	0	NA	NA
MASTL	0.05	0.952139346352732	20	1.93124299760559	77	0.0481278417006085	4.62039138784114e-05
ACBD5	0.05	0.99873207337924	8	3.08356415726542	2	0.000102022684393465	0.853001498734689
PTCHD3	NA	NA	NA	NA	0	NA	NA
RAB18	0.05	0.995507865240978	10	2.67904804955775	4	0.00155828957642078	0.468812259583855
MKX	NA	NA	NA	NA	0	NA	NA
ARMC4	NA	NA	NA	NA	0	NA	NA
MPP7	0.05	1.00211579989714	7	2.89401893156573	12	0.00210158090761045	0.4001328297866
WAC	0.05	0.953261540706217	21	1.96422717553054	103	0.0444720405021117	9.13332629744328e-05
BAMBI	0.05	0.829880024361284	43	1.1010638999563	191	0.169133555498129	2.87486221682976e-15
LYZL1	NA	NA	NA	NA	0	NA	NA
SVIL	0.05	1.00096694054613	6	2.92853661524948	8	0.00243191736141001	0.365373782065004
KIAA1462	0.05	1.00287472648932	6	3.17854185164053	9	0.00467524188319775	0.209206252406215
MTPAP	NA	NA	NA	NA	0	NA	NA
MAP3K8	NA	NA	NA	NA	0	NA	NA
LYZL2	0.05	0.997549320173101	8	2.65144661265644	10	0.000241547902589385	0.775555747779317
ZNF438	0.05	0.99805500500911	10	2.77614420152578	15	0.000217473098408158	0.786750751992
ZEB1	0.05	1.0028226046151	6	3.12808494958108	6	0.00612346943445241	0.150528596304738
ARHGAP12	0.05	0.949784619851354	25	1.77411002629173	94	0.047711075097655	4.99363467943454e-05
KIF5B	0.05	1.01069939652232	11	1.93608082588882	44	0.00149992307498121	0.477266157206508
EPC1	NA	NA	NA	NA	0	NA	NA
CCDC7	0.05	0.995550263976498	12	2.38482869355149	28	0.00237844632183601	0.370704493828892
C10orf68	0.05	0.995595768436755	10	2.64413493841065	19	0.00164398725256447	0.456827014968441
ITGB1	NA	NA	NA	NA	0	NA	NA
NRP1	0.05	0.99680117767517	11	2.47731098848898	21	0.00130126697120459	0.508010899585967
PARD3	NA	NA	NA	NA	0	NA	NA
CUL2	0.05	1.00186457826805	11	2.28502507777796	40	0.000157266751575325	0.818050416569024
CREM	NA	NA	NA	NA	0	NA	NA
CCNY	0.05	0.971070681111335	23	1.97415179295118	89	0.0261045782090524	0.00285027237838076
FZD8	0.05	0.988970719004751	15	2.45855145160107	41	0.00878003554501302	0.084951201487158
NAMPTL	0.05	0.998569957356314	24	1.26916371970574	157	0.0132951436435871	0.0338189353605445
ANKRD30A	NA	NA	NA	NA	0	NA	NA
ZNF248	NA	NA	NA	NA	0	NA	NA
ZNF25	NA	NA	NA	NA	0	NA	NA
ZNF33A	NA	NA	NA	NA	0	NA	NA
ZNF37A	NA	NA	NA	NA	0	NA	NA
AL133216.1	NA	NA	NA	NA	0	NA	NA
ZNF33B	NA	NA	NA	NA	0	NA	NA
BMS1	NA	NA	NA	NA	0	NA	NA
RET	NA	NA	NA	NA	0	NA	NA
CSGALNACT2	0.05	0.996568768269233	13	1.93763049882252	68	0.00397378351119697	0.247061449443429
RASGEF1A	NA	NA	NA	NA	0	NA	NA
FXYD4	NA	NA	NA	NA	0	NA	NA
HNRNPF	0.05	0.99959696321975	10	2.42676581121189	24	3.71659494788935e-05	0.91095593349917
ZNF487	0.05	0.993607380376774	20	1.98050590005546	68	0.00495016652364981	0.196275896330551
ZNF239	NA	NA	NA	NA	0	NA	NA
ZNF485	NA	NA	NA	NA	0	NA	NA
ZNF32	NA	NA	NA	NA	0	NA	NA
CXCL12	0.05	0.986039471302002	22	1.62967248729412	141	0.0155395088406187	0.0216945791581045
TMEM72	NA	NA	NA	NA	0	NA	NA
RASSF4	0.05	0.990319060706293	16	1.94863253117909	83	0.00870834217951359	0.0862398661061662
C10orf10	0.05	0.976599999363405	19	1.75655264249368	84	0.0208486007469572	0.00775262622648157
C10orf25	NA	NA	NA	NA	0	NA	NA
ZNF22	0.05	0.989988630529546	17	1.87529232162329	33	0.00718610043360761	0.119271754861568
ALOX5	0.05	1.00328431638489	8	2.62770585993599	19	0.00363706584978115	0.268165739459577
MARCH8	NA	NA	NA	NA	0	NA	NA
