gene	alpha	cvm	lambda.iteration	lambda.min	n.snps	R2	pval
ZMYND11	0.5	0.987571043976695	14	0.236553072558808	16	0.0116748124138156	0.0844562902203044
DIP2C	0.5	0.98389022173012	22	0.174943528553582	43	0.0235517768798984	0.0139707072608655
PRR26	NA	NA	NA	NA	0	NA	NA
LARP4B	0.5	0.994934957836783	8	0.313887386095679	6	0.00182521199918271	0.496171737116839
GTPBP4	0.5	0.995120459409255	6	0.401858945455872	7	0.00141551173538462	0.549013611783838
IDI2	0.5	0.997263579404675	17	0.196028046250675	44	0.0121026777180906	0.078931933785668
IDI1	NA	NA	NA	NA	0	NA	NA
WDR37	0.5	0.810914846340045	31	0.195300020737489	55	0.188044406370996	3.67725080500387e-13
ADARB2	0.5	0.96205764717529	13	0.329845084543244	6	0.0384155525732866	0.00162570264772729
PFKP	NA	NA	NA	NA	0	NA	NA
PITRM1	0.5	1.00035459509143	2	0.405346173475073	2	0.00333867873473793	0.357183058331543
KLF6	0.5	1.00014521622815	4	0.377054327490261	5	0.000772455331278433	0.658056113319718
AKR1E2	0.5	0.997757284274738	7	0.357578274638535	7	0.000697147920100415	0.674147376175413
AKR1C1	NA	NA	NA	NA	0	NA	NA
AKR1C2	0.5	0.995350197142749	14	0.214703279663299	44	0.0101339931172738	0.108079408921926
AKR1C3	0.5	1.00173504983966	13	0.242366249726344	46	0.00649271888477467	0.19878539652427
AKR1C4	NA	NA	NA	NA	0	NA	NA
UCN3	0.5	0.991486774317805	8	0.338530651962766	9	0.00498220597237221	0.260490286811553
TUBAL3	NA	NA	NA	NA	0	NA	NA
NET1	0.5	0.961982892683192	12	0.280203166713691	16	0.0349725283213598	0.00266407613255964
CALML5	NA	NA	NA	NA	0	NA	NA
CALML3	NA	NA	NA	NA	0	NA	NA
ASB13	0.5	0.977751812449983	13	0.284158683654951	22	0.0187680979171385	0.0284110438503154
FAM208B	0.5	0.997098527144051	6	0.345816801811914	4	0.000573101051855712	0.70304548777604
GDI2	NA	NA	NA	NA	0	NA	NA
ANKRD16	0.5	0.985009143741969	8	0.362066496181814	1	0.0141155077594161	0.0576479543992042
FBXO18	0.5	1.00258587488199	5	0.359799096294355	2	0.00142960064319824	0.547030512206749
IL15RA	NA	NA	NA	NA	0	NA	NA
IL2RA	0.5	0.973813343982756	19	0.264534087323786	18	0.0225444689499857	0.0162052835110342
RBM17	NA	NA	NA	NA	0	NA	NA
PFKFB3	NA	NA	NA	NA	0	NA	NA
AL137145.1	NA	NA	NA	NA	0	NA	NA
DKFZP667F0711	NA	NA	NA	NA	0	NA	NA
PRKCQ	NA	NA	NA	NA	0	NA	NA
SFMBT2	NA	NA	NA	NA	0	NA	NA
ITIH5	0.5	0.971322503161444	13	0.294668440388676	15	0.0252265845484082	0.010927786417602
ITIH2	0.5	0.998026123407017	8	0.370058372414646	3	0.000780490743105954	0.656395226208352
KIN	NA	NA	NA	NA	0	NA	NA
ATP5C1	NA	NA	NA	NA	0	NA	NA
TAF3	0.5	1.00452486847864	12	0.238560325929651	38	0.00503145671068419	0.258141377056047
GATA3	NA	NA	NA	NA	0	NA	NA
CELF2	0.5	0.937741432987041	14	0.249556457295057	27	0.0628973817058394	4.94730057701612e-05
USP6NL	0.5	0.937715274773157	21	0.19148728799309	49	0.0596092053166009	7.90769116351897e-05
ECHDC3	0.5	0.994117121170417	10	0.323472397641565	9	0.00557423810533609	0.233893445989852
PROSER2	NA	NA	NA	NA	0	NA	NA
UPF2	0.5	1.00018896434225	5	0.379087573999115	2	0.000341986761869643	0.768403890207503
DHTKD1	NA	NA	NA	NA	0	NA	NA
SEC61A2	0.5	1.0017994137975	6	0.350222561321101	5	0.000121470162870528	0.860699380150332
NUDT5	0.5	0.953093910076041	16	0.261133057744001	32	0.043302526122764	0.000808309021864843
CDC123	0.5	1.0001271541276	5	0.38532264570665	5	0.000305087024350073	0.780919166079841
CAMK1D	0.5	0.991844904811925	8	0.348123039880266	4	0.00428108345562491	0.297006421221281
CCDC3	0.5	0.995460287014744	6	0.40659939714739	2	0.00117735126452456	0.584739410157403
OPTN	0.5	1.00063644696023	8	0.318078311855519	14	0.00137600032410622	0.554647399376573
MCM10	0.5	1.0037298785056	16	0.245582076736269	35	0.006724517761581	0.190929871531362
PHYH	NA	NA	NA	NA	0	NA	NA
SEPHS1	0.5	1.00187439584342	11	0.317070641677767	12	0.00268065889275534	0.409427990873238
BEND7	0.5	0.990762726550167	8	0.329707263694813	13	0.00572115063667285	0.227810376076093
PRPF18	NA	NA	NA	NA	0	NA	NA
RP11-295P9.3	NA	NA	NA	NA	0	NA	NA
FRMD4A	NA	NA	NA	NA	0	NA	NA
FAM107B	0.5	0.97602252246367	10	0.298415492409643	17	0.0201943943454519	0.0229576943949716
CDNF	NA	NA	NA	NA	0	NA	NA
HSPA14	NA	NA	NA	NA	0	NA	NA
SUV39H2	0.5	0.998935114160303	10	0.288535630145147	25	0.00216541011563411	0.458510650227033
DCLRE1C	NA	NA	NA	NA	0	NA	NA
MEIG1	NA	NA	NA	NA	0	NA	NA
OLAH	0.5	0.972680921701591	12	0.321932422323337	11	0.024793095462472	0.0116438135489122
ACBD7	0.5	0.990488030199186	8	0.373249152249062	10	0.00660151399339188	0.195052450319279
C10orf111	NA	NA	NA	NA	0	NA	NA
RPP38	NA	NA	NA	NA	0	NA	NA
NMT2	0.5	1.00035011762118	5	0.368182360668069	3	0.00022501820988566	0.811222992571406
FAM171A1	0.5	0.994156047750872	6	0.346647482389983	4	0.00205775085469014	0.469913883539824
ITGA8	NA	NA	NA	NA	0	NA	NA
FAM188A	NA	NA	NA	NA	0	NA	NA
PTER	0.5	0.968428041560487	14	0.265878607981307	20	0.0278353027983839	0.00746984619789311
