gene	alpha	cvm	lambda.iteration	lambda.min	n.snps	R2	pval
TUBB8	0.5	0.965637527987278	23	0.164113487661068	23	0.0338739066013097	0.00141720897419175
ZMYND11	NA	NA	NA	NA	0	NA	NA
DIP2C	0.5	0.988707133953264	7	0.304189463278574	13	0.00826858906402539	0.117260744037798
PRR26	NA	NA	NA	NA	0	NA	NA
LARP4B	NA	NA	NA	NA	0	NA	NA
AL359878.1	NA	NA	NA	NA	0	NA	NA
GTPBP4	0.5	0.960207016897704	20	0.217051778555642	32	0.0373469664433152	0.000797318220892553
IDI2	NA	NA	NA	NA	0	NA	NA
IDI1	0.5	0.998136703744345	10	0.273047729416608	11	0.00238134140737846	0.401266784037261
WDR37	0.5	0.9726049159856	13	0.31406532393055	8	0.0252559510662248	0.00597100093922928
ADARB2	0.5	1.00512892169054	8	0.31614199437785	10	0.000114036535193887	0.854346907148862
PFKP	NA	NA	NA	NA	0	NA	NA
PITRM1	0.5	0.973884081283748	17	0.224777868408648	38	0.024361086122979	0.00694216813047739
KLF6	0.5	1.00181985669288	8	0.290865019264175	15	0.000438915765932618	0.718713939683175
AKR1E2	0.5	0.86983534733247	31	0.175886197484017	66	0.127681855099925	2.10525027962489e-10
AKR1C1	NA	NA	NA	NA	0	NA	NA
AKR1C2	0.5	0.979416809547982	13	0.282106205088938	14	0.0172997794742276	0.0231549819652791
AKR1C3	0.5	0.852801220944168	27	0.226650726614757	27	0.150740652565699	3.68913744844803e-12
AKR1CL1	0.5	0.988906413174695	9	0.291387135990003	9	0.00788937274588459	0.126044190366493
AKR1C4	NA	NA	NA	NA	0	NA	NA
UCN3	NA	NA	NA	NA	0	NA	NA
TUBAL3	NA	NA	NA	NA	0	NA	NA
NET1	NA	NA	NA	NA	0	NA	NA
CALML5	NA	NA	NA	NA	0	NA	NA
CALML3	0.5	0.999824275360349	4	0.355715815612921	2	0.000629091456054435	0.666304520776136
ASB13	0.5	0.961607193789127	16	0.286541769652581	14	0.03552668256362	0.00107761380310615
FAM208B	NA	NA	NA	NA	0	NA	NA
GDI2	0.5	0.86028247985413	25	0.267466433468852	11	0.151774470379365	3.07050403966748e-12
ANKRD16	NA	NA	NA	NA	0	NA	NA
FBXO18	0.5	0.975438679516191	13	0.293186616381995	15	0.0213444447765939	0.0115700041660468
IL15RA	NA	NA	NA	NA	0	NA	NA
IL2RA	0.5	0.94517027717192	15	0.339876958752913	3	0.0674476416994606	5.55710886669579e-06
RBM17	NA	NA	NA	NA	0	NA	NA
PFKFB3	0.5	0.972787466854135	15	0.236226859474153	26	0.0239784247970202	0.00740504505246884
AL137145.1	0.5	0.989340275211823	6	0.359847333154645	2	0.0107267332182059	0.0742314650019227
DKFZP667F0711	0.5	0.970953369441346	12	0.302509576294798	8	0.0298632171651619	0.00276093823782522
PRKCQ	0.5	1.00091572708642	10	0.271231957338724	12	0.00149568025277412	0.506011976592108
SFMBT2	NA	NA	NA	NA	0	NA	NA
ITIH5	NA	NA	NA	NA	0	NA	NA
ITIH2	0.5	0.885883164069467	21	0.253251898451895	24	0.119226187109435	9.06774343508345e-10
KIN	0.5	0.985517355690466	10	0.357420256295995	5	0.0112684829383485	0.0672560634959601
ATP5C1	0.5	1.00061742617363	5	0.355657497999763	3	0.0002601819707775	0.781551699285897
TAF3	NA	NA	NA	NA	0	NA	NA
GATA3	NA	NA	NA	NA	0	NA	NA
CELF2	NA	NA	NA	NA	0	NA	NA
USP6NL	0.5	0.998799137655177	4	0.401752109112697	1	0.00011063326312439	0.856512960591809
ECHDC3	0.5	0.914728393393983	27	0.213568699345177	35	0.0823172053469544	4.69597822805677e-07
PROSER2	0.5	0.985968521858445	10	0.273999117919185	11	0.0107409071492777	0.0740394490754471
UPF2	0.5	0.995480613125861	6	0.29996942016863	11	0.00182229474209717	0.462855653332601
DHTKD1	NA	NA	NA	NA	0	NA	NA
SEC61A2	NA	NA	NA	NA	0	NA	NA
NUDT5	0.5	0.984621821654371	18	0.230787711724371	30	0.0166961011441138	0.025710735892834
CDC123	NA	NA	NA	NA	0	NA	NA
CAMK1D	0.5	0.980401606222493	8	0.35537132049281	3	0.0205233427755036	0.0133074413056184
CCDC3	NA	NA	NA	NA	0	NA	NA
OPTN	0.5	0.989467975163424	11	0.2728397941902	16	0.00955880817937139	0.0920459897290805
MCM10	0.5	0.901238475698972	26	0.221716637571959	34	0.0965771703827202	4.29202063741153e-08
UCMA	NA	NA	NA	NA	0	NA	NA
PHYH	0.5	0.931901230575042	18	0.307516544032573	18	0.0689492490166346	4.33386923904938e-06
AL138764.1	NA	NA	NA	NA	0	NA	NA
SEPHS1	0.5	1.00434037587152	7	0.310925577053252	8	0.000436462703883181	0.719467931137902
BEND7	NA	NA	NA	NA	0	NA	NA
PRPF18	0.5	1.00175242468177	6	0.343313325802531	6	0.000201466036962291	0.807225584916766
RP11-295P9.3	0.5	0.959897910971078	23	0.177452494082818	73	0.0475707361108028	0.000147596528470747
FRMD4A	NA	NA	NA	NA	0	NA	NA
FAM107B	NA	NA	NA	NA	0	NA	NA
CDNF	NA	NA	NA	NA	0	NA	NA
HSPA14	NA	NA	NA	NA	0	NA	NA
SUV39H2	NA	NA	NA	NA	0	NA	NA
DCLRE1C	0.5	0.962339198425657	17	0.226877801948092	28	0.0346064786784446	0.00125510043823054
MEIG1	NA	NA	NA	NA	0	NA	NA
OLAH	0.5	0.990189362390262	9	0.277600587991537	7	0.0066356775694806	0.160726014947405
ACBD7	NA	NA	NA	NA	0	NA	NA
C10orf111	0.5	0.981957736623232	15	0.229041796707315	18	0.0164780321522413	0.0267040967267711
RPP38	0.5	0.990771253747596	6	0.33419747735807	2	0.0077708436063362	0.128936816365235
NMT2	0.5	0.929625007963411	27	0.17802220763834	47	0.0678393477584512	5.20823643802139e-06
FAM171A1	0.5	0.994106762941105	8	0.286683411080817	9	0.00404259078426934	0.273920280981718
ITGA8	0.5	1.0015405440987	4	0.36364723136173	1	0.00330965887968522	0.322290647133795
FAM188A	0.5	0.995536229677071	10	0.297473992169666	3	0.00208566512433425	0.432179696212319
PTER	0.5	0.888798194915241	27	0.203603861273849	39	0.108772808627483	5.42920304950001e-09
C1QL3	0.5	0.402031550300193	55	0.123832352222209	44	0.600808911470632	5.62807892006958e-61
RSU1	0.5	0.862034025005762	26	0.247689536220448	21	0.141320662300579	1.94700969990268e-11
CUBN	0.5	1.00333530769026	7	0.321971504414766	7	3.27233195170494e-05	0.92166571842087
TRDMT1	0.5	0.898735399092842	30	0.209089733256777	36	0.0984320879783171	3.13813785492685e-08
VIM	NA	NA	NA	NA	0	NA	NA
ST8SIA6	NA	NA	NA	NA	0	NA	NA
PTPLA	NA	NA	NA	NA	0	NA	NA
STAM	NA	NA	NA	NA	0	NA	NA
TMEM236	0.5	0.967454099938862	20	0.190711368039756	48	0.0334441303130832	0.00152195642779339
MRC1L1	0.5	0.778028500942947	33	0.220252565508889	20	0.226964057511606	2.73320514227398e-18
TMEM236	NA	NA	NA	NA	0	NA	NA
MRC1	0.5	0.826320523748897	28	0.253684878065341	16	0.181223369724817	1.50991250458315e-14
SLC39A12	0.5	0.973923831122315	20	0.200737633794921	39	0.0266415868855697	0.00473126078304798
CACNB2	0.5	0.993941234710967	12	0.276678385962326	12	0.0050096306236933	0.223138903228714
NSUN6	0.5	0.781225707393311	37	0.1814137074211	34	0.217938652597128	1.55353114638097e-17
ARL5B	NA	NA	NA	NA	0	NA	NA
C10orf112	0.5	0.815971769148599	34	0.167423924086443	64	0.181364218625666	1.4714009474078e-14
PLXDC2	NA	NA	NA	NA	0	NA	NA
NEBL	0.5	0.989735389729673	8	0.315555150847178	5	0.00702542122033216	0.14891365342166
C10orf113	NA	NA	NA	NA	0	NA	NA
CASC10	0.5	1.00132787516154	12	0.221264815188373	16	0.00200269238324588	0.441496406130623
SKIDA1	0.5	1.00000297393739	7	0.268857511375305	5	7.23586395918958e-05	0.883740985393068
MLLT10	0.5	0.9981521841799	3	0.330778454981647	2	0.000176112584006474	0.819540696324005
DNAJC1	NA	NA	NA	NA	0	NA	NA
EBLN1	NA	NA	NA	NA	0	NA	NA
COMMD3	0.5	1.00443628150632	11	0.260061883898094	4	3.77033242664381e-07	0.991578277769834
BMI1	NA	NA	NA	NA	0	NA	NA
SPAG6	NA	NA	NA	NA	0	NA	NA
PIP4K2A	NA	NA	NA	NA	0	NA	NA
ARMC3	NA	NA	NA	NA	0	NA	NA
MSRB2	NA	NA	NA	NA	0	NA	NA
PTF1A	0.5	0.991123841514305	17	0.199860904908897	33	0.0115545983728529	0.06385666201303
C10orf115	NA	NA	NA	NA	0	NA	NA
C10orf67	0.5	0.993548971018387	7	0.305004886019834	9	0.00365331663929225	0.298354650301981
OTUD1	NA	NA	NA	NA	0	NA	NA
KIAA1217	0.5	1.00115399376218	4	0.333555994277062	2	0.00054944609772969	0.686950791358723
AL353583.1	NA	NA	NA	NA	0	NA	NA
