gene	alpha	cvm	lambda.iteration	lambda.min	n.snps	R2	pval
TUBB8	1	1.00328908570938	3	0.138880714606687	2	0.00591951793220379	0.157523502639692
ZMYND11	NA	NA	NA	NA	0	NA	NA
DIP2C	1	0.982981811697271	14	0.115267860878462	15	0.0151607068044011	0.0233717564296787
PRR26	NA	NA	NA	NA	0	NA	NA
LARP4B	1	0.996774784986629	5	0.155642208732286	2	0.000889504838029569	0.584226207327078
AL359878.1	NA	NA	NA	NA	0	NA	NA
GTPBP4	1	0.967999620903614	18	0.111291923650952	21	0.0294964168380166	0.00150301108337513
IDI2	NA	NA	NA	NA	0	NA	NA
IDI1	NA	NA	NA	NA	0	NA	NA
WDR37	1	0.95912014030351	18	0.118011905143761	15	0.0381049649124326	0.000299569500663129
ADARB2	1	0.465801465998408	46	0.0893696953266589	24	0.540146529299568	8.35302254682554e-59
PFKP	1	0.809653115741442	26	0.129254077903919	7	0.199665907753209	4.82920321285058e-18
PITRM1	1	0.883851805883216	21	0.137625045994318	9	0.124607853643643	2.20088886885336e-11
KLF6	NA	NA	NA	NA	0	NA	NA
AKR1E2	1	0.986992827220875	10	0.151912774556811	3	0.010097478562531	0.0646032598093056
AKR1C1	1	0.771575717635725	30	0.115018606042627	13	0.234563307052721	2.43950139654721e-21
AKR1C2	1	0.925661798491105	18	0.15460525886225	3	0.0782044019956257	1.65251814510583e-07
AKR1C3	1	0.99934183007558	4	0.162769551221496	3	8.34512193419709e-05	0.866914922383835
AKR1CL1	NA	NA	NA	NA	0	NA	NA
AKR1C4	NA	NA	NA	NA	0	NA	NA
UCN3	NA	NA	NA	NA	0	NA	NA
TUBAL3	NA	NA	NA	NA	0	NA	NA
NET1	NA	NA	NA	NA	0	NA	NA
CALML5	1	0.998641519754706	2	0.168910534272225	1	0.000970940413542831	0.567501723215601
CALML3	1	1.00810298722166	5	0.150097596996366	5	0.00131670176656874	0.505503892946257
ASB13	1	0.979076601300012	12	0.133378345075921	9	0.0180588020647874	0.0132730564721233
FAM208B	1	0.943885330713702	22	0.0925817174638702	41	0.0552398254137723	1.22656142418247e-05
GDI2	1	0.868589701893893	31	0.102525230143455	29	0.129613365246355	8.21807608785777e-12
ANKRD16	NA	NA	NA	NA	0	NA	NA
FBXO18	1	0.958076820824044	13	0.155234663054298	7	0.0451121431862667	8.10599618489472e-05
IL15RA	1	0.937865290375003	18	0.112987640263695	16	0.0607319154377891	4.39727254645619e-06
IL2RA	NA	NA	NA	NA	0	NA	NA
RBM17	NA	NA	NA	NA	0	NA	NA
PFKFB3	NA	NA	NA	NA	0	NA	NA
AL137145.1	1	0.971993857436169	12	0.169888606243214	3	0.0275974183369921	0.00214968421529964
DKFZP667F0711	1	0.961372381357756	18	0.137698401244434	11	0.0358392899308773	0.000457493576293422
PRKCQ	NA	NA	NA	NA	0	NA	NA
SFMBT2	1	0.980306846318974	10	0.163917827322939	2	0.0175928058053718	0.0145290814601988
ITIH5	1	1.0060548860748	6	0.149313005074665	7	0.00104297270798487	0.553466310587934
ITIH2	1	0.906247169736333	21	0.0848536254499437	59	0.0911775984663337	1.41131943710421e-08
KIN	1	0.994791965536069	11	0.126447485691881	12	0.00580697437653695	0.161540479000051
ATP5C1	1	0.99538139002204	7	0.172032620022542	1	0.00218366950221567	0.391071031208246
TAF3	NA	NA	NA	NA	0	NA	NA
GATA3	NA	NA	NA	NA	0	NA	NA
CELF2	NA	NA	NA	NA	0	NA	NA
USP6NL	1	1.00397644755414	6	0.157828986052016	1	0.00165301406802851	0.455592843737764
ECHDC3	1	0.946776040309576	23	0.111948639042987	22	0.0507699882369508	2.82338129791825e-05
PROSER2	1	0.933534373413279	22	0.113387593291531	22	0.0640309608138077	2.37201865415602e-06
UPF2	NA	NA	NA	NA	0	NA	NA
DHTKD1	NA	NA	NA	NA	0	NA	NA
SEC61A2	1	0.927075694140736	18	0.146480267080147	8	0.0816825682075717	8.56359064449249e-08
NUDT5	1	0.999764358748536	7	0.185945409174733	1	0.000257519370202032	0.76845853959048
CDC123	NA	NA	NA	NA	0	NA	NA
CAMK1D	1	0.874354225529106	26	0.120751621387222	20	0.12486372340514	2.09304823871823e-11
CCDC3	1	0.985061133635508	10	0.151494123205781	6	0.0121250907671466	0.0427555469517399
OPTN	1	1.01137236432102	3	0.168203993743854	1	0.0257264438493311	0.003061767501918
MCM10	1	0.994542484075447	11	0.140655165407867	16	0.00645997211468959	0.139738498556043
UCMA	NA	NA	NA	NA	0	NA	NA
PHYH	1	1.00552045415065	6	0.161434066792446	2	0.00147789841548668	0.480520710553967
AL138764.1	NA	NA	NA	NA	0	NA	NA
SEPHS1	NA	NA	NA	NA	0	NA	NA
BEND7	NA	NA	NA	NA	0	NA	NA
