gene	alpha	cvm	lambda.iteration	lambda.min	n.snps	R2	pval
ZMYND11	NA	NA	NA	NA	0	NA	NA
DIP2C	0.95	1.00527210778481	2	0.177307479039716	1	0.0226427305135047	0.0118530693820876
PRR26	0.95	1.00914546830076	8	0.144513011727102	7	0.000154356600703867	0.836323384658658
LARP4B	NA	NA	NA	NA	0	NA	NA
GTPBP4	NA	NA	NA	NA	0	NA	NA
IDI2	0.95	0.994070001435702	6	0.17777397334696	2	0.00240667466307623	0.414362469783586
IDI1	NA	NA	NA	NA	0	NA	NA
WDR37	0.95	0.994714901651893	8	0.156997197470934	10	0.00340346851293935	0.331593119385728
ADARB2	0.95	0.989212658175227	13	0.153345114352866	16	0.0144482911710376	0.044854304986369
PFKP	0.95	0.997669326763126	4	0.199687032589499	1	5.78822286975003e-06	0.968088633394922
PITRM1	NA	NA	NA	NA	0	NA	NA
KLF6	NA	NA	NA	NA	0	NA	NA
AKR1E2	0.95	1.00878466516998	5	0.175644578967825	5	0.00303526896248306	0.359245266516858
AKR1C1	0.95	0.937960696688528	16	0.158272270787068	8	0.062493242455329	2.39886180493926e-05
AKR1C2	0.95	0.997987377963261	11	0.153859966409732	8	0.00299031458708785	0.362833402401189
AKR1C3	0.95	0.961212583888873	12	0.149313237919706	19	0.0366149246213674	0.00132017732843612
AKR1C4	0.95	0.998470020117874	4	0.215301154870685	3	2.86897351773852e-06	0.977530461651395
UCN3	NA	NA	NA	NA	0	NA	NA
TUBAL3	0.95	0.973094945928271	10	0.185625269375448	4	0.0294442249826243	0.0040446894945414
NET1	NA	NA	NA	NA	0	NA	NA
CALML5	0.95	1.01272541310787	2	0.188249629658457	1	0.0424372017960902	0.000534799909447378
CALML3	NA	NA	NA	NA	0	NA	NA
ASB13	0.95	1.00438790026074	3	0.202097605245679	3	0.00596367699278596	0.198429297393334
FAM208B	NA	NA	NA	NA	0	NA	NA
GDI2	NA	NA	NA	NA	0	NA	NA
ANKRD16	NA	NA	NA	NA	0	NA	NA
FBXO18	NA	NA	NA	NA	0	NA	NA
IL15RA	0.95	0.973190002894563	12	0.151924978547812	9	0.0234059913894175	0.0104958897318171
IL2RA	NA	NA	NA	NA	0	NA	NA
RBM17	NA	NA	NA	NA	0	NA	NA
PFKFB3	0.95	1.01065129784169	6	0.164637194827806	6	0.00307840894723295	0.355847556219308
AL137145.1	NA	NA	NA	NA	0	NA	NA
DKFZP667F0711	0.95	1.00383992305053	5	0.183358231007702	3	0.000664843101783616	0.668050845311533
PRKCQ	0.95	1.00203603738748	13	0.139929586850323	19	0.00535479909961454	0.223058695586048
SFMBT2	0.95	1.01239467389026	5	0.197394056109443	2	0.0096009373471342	0.102417224721029
ITIH5	NA	NA	NA	NA	0	NA	NA
ITIH2	0.95	1.0034320050037	2	0.215500595309808	1	0.0158239275036172	0.0357221251718064
KIN	0.95	0.995420951013911	7	0.178894588660178	6	0.00207242091061091	0.448823962591764
ATP5C1	NA	NA	NA	NA	0	NA	NA
TAF3	NA	NA	NA	NA	0	NA	NA
GATA3	NA	NA	NA	NA	0	NA	NA
CELF2	0.95	0.989616454873552	13	0.145221615438817	15	0.0096130587276151	0.102199676145331
USP6NL	NA	NA	NA	NA	0	NA	NA
ECHDC3	0.95	0.88415283259345	28	0.105820031562033	30	0.112871835948068	8.68258124585452e-09
PROSER2	0.95	1.00181646869897	4	0.173393144064655	2	0.000871240930760207	0.62348224004742
UPF2	0.95	0.971344416806605	20	0.095070530372146	57	0.0368901776335619	0.00126486309222197
DHTKD1	NA	NA	NA	NA	0	NA	NA
SEC61A2	0.95	0.997784671033819	14	0.128923496305682	18	0.00889467711525302	0.116009242094326
NUDT5	NA	NA	NA	NA	0	NA	NA
CDC123	NA	NA	NA	NA	0	NA	NA
