gene	alpha	cvm	lambda.iteration	lambda.min	n.snps	R2	pval
TUBB8	0.95	0.987273353896769	12	0.141153432038683	5	0.0093746831650536	0.102845910041
ZMYND11	NA	NA	NA	NA	0	NA	NA
DIP2C	NA	NA	NA	NA	0	NA	NA
PRR26	NA	NA	NA	NA	0	NA	NA
LARP4B	0.95	1.00260642531114	8	0.185982217355006	3	0.000124348050112654	0.851322333303778
AL359878.1	0.95	0.901427547591293	19	0.133254517285619	14	0.101970652259889	3.54417844807988e-08
GTPBP4	NA	NA	NA	NA	0	NA	NA
IDI2	NA	NA	NA	NA	0	NA	NA
IDI1	NA	NA	NA	NA	0	NA	NA
WDR37	0.95	0.983968521981261	11	0.152557904370005	11	0.0136660291415893	0.04865287149801
ADARB2	0.95	0.818778909500755	31	0.120156762182517	20	0.181471346312499	5.41915833235149e-14
PFKP	NA	NA	NA	NA	0	NA	NA
PITRM1	0.95	0.84838564543014	26	0.125409432842899	24	0.152308219868632	8.35352172037224e-12
KLF6	0.95	1.00570315931615	5	0.197084584652621	2	0.00369516165212399	0.306472024149739
AKR1E2	0.95	0.95847108637043	19	0.122719565263795	29	0.0389339159212343	0.000809748720027845
AKR1C1	0.95	0.957712191098641	13	0.152994838472417	8	0.0435135505676654	0.000392377280207448
AKR1C2	0.95	0.897889330464199	24	0.136004137560452	13	0.100316872746893	4.63357464193366e-08
AKR1C3	0.95	0.93101903042845	19	0.121971468521337	23	0.0666886497468922	1.00738335817688e-05
AKR1CL1	0.95	0.996146625967532	9	0.171277274577537	6	0.00272209232271599	0.380204327974651
AKR1C4	NA	NA	NA	NA	0	NA	NA
UCN3	NA	NA	NA	NA	0	NA	NA
TUBAL3	0.95	0.957650093209939	17	0.123937525447504	22	0.0393694920279226	0.000755772987504396
NET1	0.95	0.934274417684049	19	0.135297048861596	19	0.062844431932205	1.85160681085834e-05
CALML5	0.95	1.01546176011148	2	0.202070858060501	1	0.0458818088127689	0.000269903793938936
CALML3	0.95	0.979441124602072	10	0.172041382250408	3	0.0176425719213014	0.0249329480901422
ASB13	0.95	0.997307355465839	9	0.168311442717675	8	0.00285239091609468	0.369022497831573
FAM208B	0.95	0.986602232064963	12	0.128775659012578	23	0.0139328314189051	0.0464909475521266
GDI2	0.95	0.854949208639225	35	0.088323542108884	55	0.142473849256966	4.41127595003939e-11
ANKRD16	0.95	0.959664858696629	11	0.194518488572058	1	0.050150149897107	0.000137569262893953
FBXO18	NA	NA	NA	NA	0	NA	NA
IL15RA	0.95	0.938745255402511	21	0.122316008701182	33	0.0579624422588524	4.00654062336034e-05
IL2RA	0.95	0.997550989410035	5	0.179775748554117	5	0.000298688912494857	0.771430975739834
RBM17	0.95	0.992560898386402	5	0.190708474530207	1	0.00430007551547451	0.269872819412102
PFKFB3	NA	NA	NA	NA	0	NA	NA
AL137145.1	0.95	0.960257006384468	17	0.116384382599316	36	0.0374510353814969	0.00102425504119423
DKFZP667F0711	0.95	0.926796584950022	24	0.0921094615351392	57	0.0731290355317419	3.62497877305522e-06
PRKCQ	NA	NA	NA	NA	0	NA	NA
SFMBT2	0.95	0.996783824417286	6	0.178583286380746	5	0.00132488557994486	0.540545868684804
ITIH5	0.95	0.960402407585746	11	0.196315490398474	3	0.0477914046768481	0.000199639565055032
ITIH2	0.95	1.00584465218483	2	0.217502031250962	3	0.0189900514864141	0.0199495309278742
KIN	0.95	0.948559155393573	16	0.151239668724044	8	0.0494208311658876	0.000154356101575531
ATP5C1	NA	NA	NA	NA	0	NA	NA
TAF3	NA	NA	NA	NA	0	NA	NA
GATA3	NA	NA	NA	NA	0	NA	NA
CELF2	NA	NA	NA	NA	0	NA	NA
USP6NL	0.95	0.992064973201898	8	0.18332662768147	3	0.00460616622320004	0.253438188587429
ECHDC3	0.95	0.636974588431558	37	0.0896722637930728	44	0.372590214288175	1.74190822991037e-30
PROSER2	NA	NA	NA	NA	0	NA	NA
UPF2	0.95	1.00728300167047	4	0.196124797220182	6	0.00498920619380575	0.234562033467844
DHTKD1	NA	NA	NA	NA	0	NA	NA
SEC61A2	0.95	0.957803726303909	20	0.128403163545346	22	0.0396778014138382	0.000719764926040409
NUDT5	0.95	1.002356791424	2	0.214063033622495	1	0.00611184813679037	0.18816851788499
CDC123	0.95	0.958365697897395	20	0.120401883711022	27	0.0387605779597619	0.000832290138738414
CAMK1D	0.95	0.994503209531992	11	0.127083249297821	27	0.00993350402290859	0.0930816596185185
CCDC3	0.95	0.958822456132466	14	0.143322901816393	14	0.0378472974384031	0.000961889662537555
OPTN	0.95	0.991542988917828	7	0.184937029204266	4	0.00504931897363033	0.231756385863285
MCM10	NA	NA	NA	NA	0	NA	NA
UCMA	NA	NA	NA	NA	0	NA	NA
PHYH	0.95	0.996592799151813	6	0.1954325968101	3	0.00145574735863322	0.521184344617662
AL138764.1	NA	NA	NA	NA	0	NA	NA
SEPHS1	0.95	1.00199867804546	9	0.172712731153584	5	0.000473924792023318	0.714406152070425
BEND7	0.95	0.99254500333834	6	0.184924099977553	3	0.00397620219689313	0.288733237039814
PRPF18	NA	NA	NA	NA	0	NA	NA
RP11-295P9.3	0.95	0.948953021953851	16	0.151797720285679	14	0.0491551597676736	0.000160967710331881
FRMD4A	0.95	1.00583227180775	2	0.206258708413194	2	0.013218535280842	0.0525192790925626
FAM107B	0.95	0.776054194296692	36	0.0915367915843155	42	0.224273453082957	2.4486574845386e-17
CDNF	NA	NA	NA	NA	0	NA	NA
HSPA14	0.95	0.990917001455738	13	0.147008041007576	11	0.00799012908627817	0.132216612329899
SUV39H2	0.95	0.992655045159976	7	0.179643952075035	3	0.00385724271965343	0.296077069909405
DCLRE1C	NA	NA	NA	NA	0	NA	NA
MEIG1	NA	NA	NA	NA	0	NA	NA
OLAH	NA	NA	NA	NA	0	NA	NA
ACBD7	NA	NA	NA	NA	0	NA	NA
C10orf111	NA	NA	NA	NA	0	NA	NA
RPP38	0.95	0.999228432553231	8	0.144619103066962	14	0.00254788188317262	0.395915524653162
NMT2	0.95	0.844053800755614	32	0.0754823119887243	65	0.153932332835408	6.33594507779959e-12
FAM171A1	0.95	1.00522157680413	3	0.189799920234798	3	0.00551611417718625	0.211282052641029
ITGA8	0.95	0.991349322713597	14	0.134669608669125	20	0.00860494157408484	0.118169046074378
FAM188A	0.95	1.00482471651096	6	0.17602534979449	3	0.000551846745309882	0.692922311874883
PTER	0.95	0.882350076186608	27	0.104111504821619	35	0.114825391054118	4.35705795045021e-09
C1QL3	0.95	0.469953810294036	44	0.105082024910628	15	0.537100821138298	2.98991429377477e-49
RSU1	0.95	0.79280135107345	26	0.138624408860174	11	0.215520538779419	1.2213243709703e-16
CUBN	0.95	0.936355700428881	22	0.12849401454538	19	0.0604206422747241	2.71667434125929e-05
TRDMT1	0.95	0.825083098905979	24	0.169091738228379	9	0.184711879387041	3.06515994244667e-14
VIM	0.95	0.988985621094256	8	0.195692074403937	2	0.00762726802519193	0.141371361952642
ST8SIA6	NA	NA	NA	NA	0	NA	NA
PTPLA	NA	NA	NA	NA	0	NA	NA
STAM	0.95	0.990639521589031	7	0.199758818682518	1	0.00595122740061716	0.194096242562491
TMEM236	NA	NA	NA	NA	0	NA	NA
MRC1L1	0.95	0.840472139598843	25	0.137139536239519	10	0.171251350999901	3.22544891144638e-13
TMEM236	0.95	0.964005152054636	16	0.146593812487504	10	0.0331759293136761	0.00202001997649118
MRC1	0.95	0.924809283049319	18	0.171541485237565	6	0.0759785129355946	2.30378302873295e-06
SLC39A12	0.95	0.991314004224653	14	0.12984248285535	19	0.00814985329858958	0.128397511997908
CACNB2	0.95	1.00148860940082	8	0.162195370392885	7	0.000536887016015543	0.696905065744523
NSUN6	0.95	0.911314887943154	24	0.130555812490661	12	0.0862953686913346	4.43435067696559e-07
ARL5B	0.95	1.0034739780848	15	0.102588775880935	32	0.0100066016641174	0.0918805880078278
C10orf112	0.95	0.630012684113647	58	0.0356724034540661	126	0.370069203136316	3.08249379618232e-30
PLXDC2	NA	NA	NA	NA	0	NA	NA
NEBL	NA	NA	NA	NA	0	NA	NA
C10orf113	NA	NA	NA	NA	0	NA	NA
CASC10	0.95	1.00135162976688	5	0.175995032878137	3	0.000817169903319582	0.630823816036009
SKIDA1	NA	NA	NA	NA	0	NA	NA
MLLT10	NA	NA	NA	NA	0	NA	NA
DNAJC1	NA	NA	NA	NA	0	NA	NA
EBLN1	NA	NA	NA	NA	0	NA	NA
COMMD3	NA	NA	NA	NA	0	NA	NA
BMI1	0.95	0.982958492362251	15	0.109185313524889	11	0.0172854254451749	0.0264577940289112
SPAG6	0.95	0.992188478444287	8	0.157805108685749	3	0.00431852640535991	0.268845467161415
PIP4K2A	0.95	0.965329223625193	17	0.137585255159498	11	0.0313036166306109	0.00272249598304461
ARMC3	NA	NA	NA	NA	0	NA	NA
MSRB2	NA	NA	NA	NA	0	NA	NA
PTF1A	0.95	1.002236773328	12	0.12590370855527	10	0.00130539251938303	0.543541699045847
C10orf115	NA	NA	NA	NA	0	NA	NA
C10orf67	NA	NA	NA	NA	0	NA	NA
OTUD1	NA	NA	NA	NA	0	NA	NA
KIAA1217	0.95	0.968509441856665	15	0.154048854880786	10	0.0281217951850198	0.00452956998161938
AL353583.1	NA	NA	NA	NA	0	NA	NA
ARHGAP21	NA	NA	NA	NA	0	NA	NA
PRTFDC1	NA	NA	NA	NA	0	NA	NA
ENKUR	NA	NA	NA	NA	0	NA	NA
THNSL1	0.95	0.994619817093857	8	0.17000902441642	5	0.0030092902170592	0.356154352914755
GPR158	NA	NA	NA	NA	0	NA	NA
MYO3A	0.95	0.989342330007441	22	0.0860559469432782	59	0.0269906731455262	0.00543198203977884
GAD2	NA	NA	NA	NA	0	NA	NA
APBB1IP	0.95	0.755834735384048	31	0.139905901123149	10	0.249604759835738	2.11892046480448e-19
PDSS1	0.95	1.01108726168181	3	0.204972064838831	1	0.0242453559901808	0.0084584249399163
ABI1	0.95	1.00006810456677	6	0.165971724941891	2	3.57096067068927e-06	0.974662163198048
ANKRD26	0.95	0.979672017283876	14	0.13655969700386	11	0.017492781244283	0.0255611237741843
YME1L1	NA	NA	NA	NA	0	NA	NA
MASTL	0.95	0.667372835373052	33	0.145896577939881	12	0.340905202749461	1.93898177734021e-27
ACBD5	0.95	0.892526325464591	23	0.145967401725194	9	0.108586632872986	1.20851640517617e-08
PTCHD3	0.95	0.982864206014096	13	0.158619317849307	7	0.0146835096048853	0.040931155823759
RAB18	0.95	0.995685696687286	9	0.152334138782444	4	0.002701830057436	0.381985734038485
MKX	NA	NA	NA	NA	0	NA	NA
ARMC4	NA	NA	NA	NA	0	NA	NA
MPP7	0.95	0.967540065350165	12	0.179423128149043	7	0.0321655421164986	0.00237279907679626
