gene	alpha	cvm	lambda.iteration	lambda.min	n.snps	R2	pval
TUBB8	NA	NA	NA	NA	0	NA	NA
ZMYND11	NA	NA	NA	NA	0	NA	NA
DIP2C	NA	NA	NA	NA	0	NA	NA
PRR26	1	0.989849121459443	13	0.106288055790748	17	0.00906092469478795	0.0708527207096532
LARP4B	1	1.00361258314232	10	0.111130474327198	11	0.000748529746533593	0.604374312888287
AL359878.1	NA	NA	NA	NA	0	NA	NA
GTPBP4	NA	NA	NA	NA	0	NA	NA
IDI2	1	0.948265779368855	15	0.140204241380206	9	0.0548620842788994	6.87283965361849e-06
IDI1	1	0.991562805849946	7	0.168223390163148	1	0.00583719593258233	0.147417720893243
WDR37	NA	NA	NA	NA	0	NA	NA
ADARB2	1	0.904654136433304	19	0.157452464790879	4	0.105944504709802	2.3542573159267e-10
PFKP	1	0.940521257711008	16	0.16056715525245	2	0.0652274058683763	8.76588819945653e-07
PITRM1	1	0.85943684074823	36	0.0617094130578081	80	0.14008814103473	1.89791030914696e-13
KLF6	NA	NA	NA	NA	0	NA	NA
AKR1E2	1	0.972215017281682	18	0.0879683699634999	41	0.0287345683138255	0.00122497604410247
AKR1C1	1	0.89646002289702	24	0.103920910371038	25	0.10343168873147	3.94105309805932e-10
AKR1C2	1	0.788351800389555	33	0.103078339402815	22	0.21425340869227	1.43724397651081e-20
AKR1C3	1	0.842899955019119	28	0.118460949870957	15	0.16215744631886	1.66251792784496e-15
AKR1CL1	1	0.997455753879478	5	0.155072901901291	4	0.00065792936386534	0.627149911466046
AKR1C4	1	1.00278909464988	4	0.139583114449311	4	0.000615034696483589	0.638615077954022
UCN3	NA	NA	NA	NA	0	NA	NA
TUBAL3	1	0.939777531185213	19	0.135486806908584	7	0.0603315948668671	2.32115913894901e-06
NET1	1	1.00987166731724	10	0.121024833899034	17	7.18525643913338e-06	0.959521878511207
CALML5	NA	NA	NA	NA	0	NA	NA
CALML3	1	1.0043041077832	12	0.109568188577328	22	0.00369609896294646	0.249249004336148
ASB13	NA	NA	NA	NA	0	NA	NA
FAM208B	1	0.991055076863317	11	0.12989362901252	8	0.00761596806579628	0.0978170241856785
GDI2	1	1.00113998238503	3	0.191900018666057	1	0.00189917740000488	0.409069560985429
ANKRD16	1	0.956402198849102	22	0.0837216394939399	51	0.0456763263360259	4.2399403658776e-05
FBXO18	NA	NA	NA	NA	0	NA	NA
IL15RA	1	0.957133275820096	13	0.165568869404443	2	0.0492017547048115	2.10963841746143e-05
IL2RA	1	0.99944664338765	9	0.131879042033696	14	0.00115363027761637	0.520039156274311
RBM17	NA	NA	NA	NA	0	NA	NA
PFKFB3	1	1.00184027210089	2	0.183793450865809	1	0.00681838643973451	0.117317874074869
AL137145.1	NA	NA	NA	NA	0	NA	NA
DKFZP667F0711	1	0.999154858798271	7	0.149491058991661	5	0.000613348720548532	0.639075574781351
PRKCQ	NA	NA	NA	NA	0	NA	NA
SFMBT2	1	0.942133921400426	24	0.0872884898759245	47	0.056326700027082	5.14029364166412e-06
ITIH5	1	0.972158066870137	12	0.134462742810329	17	0.0253875260648767	0.00239517726841459
ITIH2	1	0.887380592961425	20	0.140731714413065	10	0.121984550008174	8.53705934275006e-12
KIN	1	0.876866694725937	26	0.10838683001357	34	0.122883642042666	7.07801567134923e-12
ATP5C1	1	0.971998896123369	13	0.146452591236123	8	0.0257106987538476	0.00224464401724082
TAF3	NA	NA	NA	NA	0	NA	NA
GATA3	NA	NA	NA	NA	0	NA	NA
CELF2	1	0.985449370260429	10	0.131937170605224	6	0.0123237753431373	0.0349926527875257
USP6NL	NA	NA	NA	NA	0	NA	NA
ECHDC3	1	0.947882960814544	18	0.147616328362741	7	0.0513097140246656	1.38959101771676e-05
PROSER2	1	0.832383212321087	31	0.0994204486558012	24	0.168515190812125	4.15790373114438e-16
UPF2	1	0.994238773948264	7	0.181777948073075	1	0.00307164840603941	0.29363446844349
DHTKD1	1	0.987452316180215	10	0.117794098909175	13	0.0101452673046461	0.0558789605366984
SEC61A2	NA	NA	NA	NA	0	NA	NA
NUDT5	NA	NA	NA	NA	0	NA	NA
CDC123	NA	NA	NA	NA	0	NA	NA
CAMK1D	NA	NA	NA	NA	0	NA	NA
CCDC3	1	0.924200944670814	17	0.1554568526917	4	0.0835017234012673	2.257066639187e-08
OPTN	NA	NA	NA	NA	0	NA	NA
MCM10	1	0.965593381551434	16	0.123578633231164	20	0.0317838065002927	0.000666807043919158
UCMA	1	0.992846391591417	10	0.148581737991047	5	0.00529668037410989	0.167641362898079
PHYH	1	0.810933105977334	29	0.123111922486705	15	0.194428713170282	1.31984977520232e-18
AL138764.1	1	1.00383671068179	18	0.0945673373647563	44	0.00822164056290862	0.0853665678402183
SEPHS1	1	1.00443996590666	14	0.0983240842536445	40	0.00806555088719362	0.0884022827973648
BEND7	1	0.991500575733196	9	0.161972383292435	4	0.00579791822987416	0.148790592508408
PRPF18	NA	NA	NA	NA	0	NA	NA
RP11-295P9.3	1	0.988196682337816	11	0.15791705123112	2	0.00908964552484562	0.070405336657682
FRMD4A	NA	NA	NA	NA	0	NA	NA
FAM107B	1	0.931844756603227	17	0.12812595089622	11	0.070371418317218	3.14258053733971e-07
CDNF	1	0.958542130116257	15	0.123394288820793	16	0.0416531351589281	9.40447068795645e-05
HSPA14	1	1.0073855623122	7	0.136248711867015	11	1.17688651467362e-05	0.948209737002343
SUV39H2	NA	NA	NA	NA	0	NA	NA
DCLRE1C	1	0.972398543019943	10	0.140573004897852	3	0.0294371837953745	0.00106458790799318
MEIG1	NA	NA	NA	NA	0	NA	NA
OLAH	NA	NA	NA	NA	0	NA	NA
ACBD7	1	1.00537844767341	8	0.129965971215485	10	5.37116464062577e-05	0.88963461082823
C10orf111	1	0.942914865201774	18	0.132523068343118	9	0.0590250417170014	3.00890974391953e-06
RPP38	NA	NA	NA	NA	0	NA	NA
NMT2	1	0.984279999025411	13	0.122510114478307	10	0.013425514884962	0.0277157786296317
FAM171A1	1	0.861168410199842	37	0.0765255355870564	40	0.13653011673721	4.03222659003387e-13
ITGA8	NA	NA	NA	NA	0	NA	NA
FAM188A	NA	NA	NA	NA	0	NA	NA
PTER	1	0.956343489854806	16	0.115087314263834	14	0.0410268698673591	0.000106465227378834
C1QL3	1	0.476434654164711	48	0.0798539447466464	21	0.52773311041021	1.89875602873049e-60
RSU1	1	0.943390257829474	21	0.116948549713021	13	0.0545945348694138	7.24726553931194e-06
CUBN	1	0.970299523198127	19	0.113967696839979	16	0.0273975743104568	0.0016005355572884
TRDMT1	1	0.894305862372816	27	0.106981473299379	17	0.106104583764064	2.27815038399531e-10
VIM	NA	NA	NA	NA	0	NA	NA
ST8SIA6	1	1.00075591320787	8	0.149316515694978	5	0.000312432695299037	0.737850674216388
PTPLA	1	0.994019521535156	7	0.15953164073594	5	0.00322850652100414	0.281612100028279
STAM	1	0.977318613632871	13	0.133463829223786	3	0.0218154728916459	0.00492317796038447
TMEM236	1	0.978517264528639	13	0.118925072260549	12	0.0187825009959225	0.00912811283842025
MRC1L1	1	0.945503834469185	18	0.133042017351406	9	0.055345466868168	6.24465829687944e-06
TMEM236	1	0.975880471746954	10	0.148158644337584	3	0.0270752690034717	0.00170725121186675
MRC1	1	0.977423940170328	12	0.162590179122732	2	0.020764101790114	0.00609389376167676
SLC39A12	NA	NA	NA	NA	0	NA	NA
CACNB2	1	0.84763192120561	28	0.0967403452676161	28	0.154008142703075	9.68663448281985e-15
NSUN6	NA	NA	NA	NA	0	NA	NA
ARL5B	1	0.987556982294693	14	0.108247255299813	12	0.0129407547334679	0.0307019449552053
C10orf112	1	0.748113337641943	38	0.0671793431876227	47	0.251164934576942	2.36000487341175e-24
PLXDC2	1	1.00610043335106	5	0.161187565940992	1	0.00480622429236538	0.188770413557526
NEBL	1	0.992364601070446	7	0.129302620644021	4	0.00489677963649139	0.184648161940256
C10orf113	NA	NA	NA	NA	0	NA	NA
CASC10	NA	NA	NA	NA	0	NA	NA
SKIDA1	NA	NA	NA	NA	0	NA	NA
MLLT10	NA	NA	NA	NA	0	NA	NA
DNAJC1	NA	NA	NA	NA	0	NA	NA
EBLN1	NA	NA	NA	NA	0	NA	NA
COMMD3	NA	NA	NA	NA	0	NA	NA
BMI1	1	1.00579504637233	3	0.146745630687318	1	0.0144442038545154	0.022379678086405
SPAG6	NA	NA	NA	NA	0	NA	NA
PIP4K2A	1	1.00354463604942	6	0.140623481132913	4	0.000340702325017592	0.726700581642176
ARMC3	NA	NA	NA	NA	0	NA	NA
MSRB2	1	1.00148376020086	13	0.106842471756627	13	0.00190173671066027	0.408753782676488
PTF1A	NA	NA	NA	NA	0	NA	NA
C10orf115	NA	NA	NA	NA	0	NA	NA
C10orf67	NA	NA	NA	NA	0	NA	NA
OTUD1	NA	NA	NA	NA	0	NA	NA
