gene	alpha	cvm	lambda.iteration	lambda.min	n.snps	R2	pval
ZMYND11	NA	NA	NA	NA	0	NA	NA
DIP2C	1	1.00528060356315	2	0.16844210508773	1	0.0224976489528205	0.0121306443564557
PRR26	1	1.00910695272945	8	0.137287361140747	7	0.000177093938540697	0.824863772541932
LARP4B	NA	NA	NA	NA	0	NA	NA
GTPBP4	NA	NA	NA	NA	0	NA	NA
IDI2	1	0.994093579553801	6	0.168885274679612	2	0.00239207618470291	0.415783375378569
IDI1	NA	NA	NA	NA	0	NA	NA
WDR37	1	0.994754033761188	8	0.149147337597387	10	0.00340808104943359	0.331265125870359
ADARB2	1	0.989367358992798	13	0.145677858635222	16	0.0144493276320201	0.0448465731417357
PFKP	1	0.997626444081011	4	0.189702680960024	1	1.0679186321613e-05	0.956664427711979
PITRM1	NA	NA	NA	NA	0	NA	NA
KLF6	NA	NA	NA	NA	0	NA	NA
AKR1E2	1	1.00879578867502	5	0.166862350019434	5	0.00294801234045265	0.366255090641048
AKR1C1	1	0.937950574715143	16	0.150358657247715	8	0.0623821481291851	2.44052482408733e-05
AKR1C2	1	0.998061818343535	11	0.146166968089245	8	0.00299688224382227	0.362306124620056
AKR1C3	1	0.961103192137015	12	0.141847576023721	17	0.0366870311344314	0.00130545605458783
AKR1C4	1	0.998439816874269	4	0.204536097127151	3	1.13675785645187e-06	0.985855117646874
UCN3	NA	NA	NA	NA	0	NA	NA
TUBAL3	1	0.973075864751247	10	0.176344005906676	3	0.0290709916575466	0.00428874183424894
NET1	NA	NA	NA	NA	0	NA	NA
CALML5	1	1.01272819152272	2	0.178837148175534	1	0.0421436718676132	0.000559687219124994
CALML3	NA	NA	NA	NA	0	NA	NA
ASB13	1	1.00439870249481	3	0.191992724983395	3	0.00589292315275855	0.201120731940077
FAM208B	NA	NA	NA	NA	0	NA	NA
GDI2	NA	NA	NA	NA	0	NA	NA
ANKRD16	NA	NA	NA	NA	0	NA	NA
FBXO18	NA	NA	NA	NA	0	NA	NA
IL15RA	1	0.97309269113971	12	0.144328729620421	9	0.0235100849392463	0.010323488115042
IL2RA	NA	NA	NA	NA	0	NA	NA
RBM17	NA	NA	NA	NA	0	NA	NA
PFKFB3	1	1.010708689062	6	0.156405335086416	6	0.00302472659967678	0.360082338109467
AL137145.1	NA	NA	NA	NA	0	NA	NA
DKFZP667F0711	1	1.00378732170566	5	0.174190319457317	3	0.000613230483084515	0.680458172394998
PRKCQ	1	1.00214062776043	13	0.132933107507807	19	0.00536680390395386	0.222539280733046
SFMBT2	1	1.01236766682057	5	0.18752435330397	2	0.00935930742222077	0.106860831198929
ITIH5	NA	NA	NA	NA	0	NA	NA
ITIH2	1	1.00343213671167	2	0.204725565544317	1	0.0156244232952684	0.0369161439534802
KIN	1	0.995423827660929	7	0.169949859227169	5	0.00209028378936126	0.446873580846529
ATP5C1	NA	NA	NA	NA	0	NA	NA
TAF3	NA	NA	NA	NA	0	NA	NA
GATA3	NA	NA	NA	NA	0	NA	NA
CELF2	1	0.990147096831928	13	0.137960534666876	15	0.00932873922037569	0.107437804137555
USP6NL	NA	NA	NA	NA	0	NA	NA
ECHDC3	1	0.884681672396142	28	0.100529029983931	30	0.112387381133962	9.38358553765638e-09
PROSER2	1	1.00185335886582	4	0.164723486861422	2	0.000855869762966251	0.626563546652196
UPF2	1	0.972088451742469	20	0.0903170038535387	57	0.0365627828238752	0.0013309264991386
DHTKD1	NA	NA	NA	NA	0	NA	NA
SEC61A2	1	0.998729526398939	14	0.122477321490398	18	0.00859554466915812	0.122352259766605
NUDT5	NA	NA	NA	NA	0	NA	NA
CDC123	NA	NA	NA	NA	0	NA	NA
CAMK1D	1	0.865618921319305	33	0.0977135015430782	42	0.131673742827656	4.15357132386416e-10
CCDC3	1	0.852012531497347	33	0.0863767374899165	47	0.145359515212621	4.3891362810906e-11
OPTN	NA	NA	NA	NA	0	NA	NA
MCM10	NA	NA	NA	NA	0	NA	NA
PHYH	NA	NA	NA	NA	0	NA	NA
SEPHS1	NA	NA	NA	NA	0	NA	NA
BEND7	1	0.990739324864921	12	0.137821974034318	14	0.0103861614565819	0.089308131592028
PRPF18	NA	NA	NA	NA	0	NA	NA
