gene	alpha	cvm	lambda.iteration	lambda.min	n.snps	R2	pval
ZMYND11	1	0.99245057242032	8	0.178394004252512	3	0.00427938974066942	0.256284231179692
DIP2C	1	0.944340993649934	18	0.10723135185018	24	0.0530203721178667	5.20843285631282e-05
PRR26	1	0.994793731829926	7	0.237882573105494	1	0.00287826076329176	0.352018905729332
LARP4B	1	0.983814763003978	15	0.0953109020033561	32	0.0179154226807649	0.0197663364655938
GTPBP4	1	0.984718704577062	11	0.131988959626537	16	0.0123824515328719	0.0529921225142769
IDI2	1	0.980449857976527	29	0.0537198751688965	82	0.0552220462087939	3.60238034186374e-05
IDI1	NA	NA	NA	NA	0	NA	NA
WDR37	1	1.00799760655386	11	0.116701307182801	19	0.000914121991068289	0.600116846758679
ADARB2	NA	NA	NA	NA	0	NA	NA
PFKP	NA	NA	NA	NA	0	NA	NA
PITRM1	1	0.870609458536643	24	0.141732862595259	10	0.134419237907342	4.50890793983524e-11
KLF6	1	0.99920913277579	10	0.136352740708686	15	0.0028737976881906	0.352393075890142
AKR1E2	NA	NA	NA	NA	0	NA	NA
AKR1C1	NA	NA	NA	NA	0	NA	NA
AKR1C2	1	0.997960174741348	7	0.160586052901767	5	0.00190988146050969	0.448488466454699
AKR1C3	1	1.00043402645593	5	0.188458006541174	2	9.48731608836476e-05	0.865913569577688
AKR1C4	1	0.98827236363518	6	0.187883163987034	1	0.0109124450564845	0.0693971316160005
UCN3	1	0.997607352824815	8	0.163052045641774	3	0.00138766904919169	0.518294994768878
TUBAL3	1	0.9409225757823	21	0.102899494609632	32	0.0568109799948382	2.76052919323769e-05
NET1	1	0.976477701828128	15	0.108832683102706	25	0.0222850738530672	0.00925761558806848
CALML5	NA	NA	NA	NA	0	NA	NA
CALML3	NA	NA	NA	NA	0	NA	NA
ASB13	1	0.98632577050006	11	0.122095029455014	17	0.0127525080954586	0.0495451733429736
FAM208B	1	0.970532178257333	12	0.151878921907556	10	0.0264358828716009	0.00454806776076382
GDI2	1	1.00137054111358	3	0.18769015239409	1	0.00137068753343645	0.520867722576247
ANKRD16	1	1.00614728694181	8	0.153671056999	11	0.000535582033201885	0.688250577675758
FBXO18	1	0.965568052960563	18	0.0867096660880742	51	0.0396867278620556	0.000485890521076795
IL15RA	NA	NA	NA	NA	0	NA	NA
IL2RA	NA	NA	NA	NA	0	NA	NA
RBM17	NA	NA	NA	NA	0	NA	NA
PFKFB3	1	0.986092948341985	9	0.145131215309226	7	0.0106612004179673	0.0727036497868955
AL137145.1	NA	NA	NA	NA	0	NA	NA
DKFZP667F0711	1	0.99228188337471	17	0.0820583067015494	61	0.0218467408790841	0.00998400451533758
PRKCQ	NA	NA	NA	NA	0	NA	NA
SFMBT2	NA	NA	NA	NA	0	NA	NA
ITIH5	1	0.989785494250765	10	0.15068108089366	11	0.00780397277754849	0.12493811277827
ITIH2	1	0.944235025281	14	0.182817520988114	7	0.0596911167016941	1.70349329451671e-05
KIN	1	0.998476896390559	6	0.158250732604451	2	0.000125537147504137	0.84599369557108
ATP5C1	NA	NA	NA	NA	0	NA	NA
TAF3	NA	NA	NA	NA	0	NA	NA
GATA3	NA	NA	NA	NA	0	NA	NA
CELF2	1	0.989174058211614	13	0.134928528253879	11	0.0122362858976206	0.054422350052311
USP6NL	NA	NA	NA	NA	0	NA	NA
ECHDC3	NA	NA	NA	NA	0	NA	NA
PROSER2	1	1.00514893541794	5	0.177640332875031	4	0.00358675033966133	0.298751682112987
UPF2	1	1.00066997409661	8	0.139048951460627	12	0.00133739941025449	0.52597680476439
DHTKD1	NA	NA	NA	NA	0	NA	NA
SEC61A2	1	0.970051866915548	16	0.112751729627841	22	0.0293648056486334	0.00276510355727125
NUDT5	1	0.990243380415505	7	0.183121379776623	2	0.00670182750528786	0.155169379014145
CDC123	1	0.950743862633284	16	0.15096778875317	12	0.0470471703290674	0.000141567348494749
CAMK1D	NA	NA	NA	NA	0	NA	NA
CCDC3	1	0.963221529020654	14	0.121791844627353	16	0.0336913481022105	0.00133117228823409
OPTN	1	1.00151015174792	4	0.190474182386073	3	0.000401895215380618	0.728174965130614
MCM10	1	1.00173960427338	4	0.182571321122067	3	0.000939647602088919	0.595069065208848
PHYH	1	1.00262747898955	19	0.0936125812485963	45	0.0156149689424333	0.0296523310879929
SEPHS1	1	0.939709819115789	17	0.132744503494956	16	0.0596810694216145	1.70636564243687e-05
BEND7	NA	NA	NA	NA	0	NA	NA
PRPF18	NA	NA	NA	NA	0	NA	NA
RP11-295P9.3	1	0.999217663743727	4	0.181846831622688	2	3.74211281870143e-06	0.973248997839881
FRMD4A	1	1.00534266887437	14	0.110200958386005	42	0.00903521161822726	0.0986379969595897
FAM107B	NA	NA	NA	NA	0	NA	NA
CDNF	NA	NA	NA	NA	0	NA	NA
HSPA14	NA	NA	NA	NA	0	NA	NA
SUV39H2	1	0.976915218383418	15	0.134899935081267	17	0.0205632322213588	0.012463616423014
DCLRE1C	1	1.00494884727743	3	0.168023781741122	3	0.00406517940445625	0.268561721327751
MEIG1	NA	NA	NA	NA	0	NA	NA
OLAH	NA	NA	NA	NA	0	NA	NA
ACBD7	1	0.943878058369899	17	0.147495693112725	9	0.0548275857025252	3.84840915587751e-05
