gene	alpha	cvm	lambda.iteration	lambda.min	n.snps	R2	pval
TUBB8	NA	NA	NA	NA	0	NA	NA
ZMYND11	NA	NA	NA	NA	0	NA	NA
DIP2C	NA	NA	NA	NA	0	NA	NA
PRR26	0.05	0.993241539209168	16	1.84887861028372	61	0.00560934785062369	0.155585568660104
LARP4B	0.05	1.00168260217652	12	2.02515898552782	42	9.96497575735086e-05	0.850081924728194
AL359878.1	NA	NA	NA	NA	0	NA	NA
GTPBP4	NA	NA	NA	NA	0	NA	NA
IDI2	0.05	0.953768971007093	27	1.60460043315565	153	0.0439630936925212	5.95214571737469e-05
IDI1	0.05	0.990526412641864	9	3.0655777564829	18	0.0074851816857002	0.100755995878493
WDR37	NA	NA	NA	NA	0	NA	NA
ADARB2	0.05	0.912915929971823	25	2.38214030894773	50	0.0967103695675619	1.55493695861682e-09
PFKP	0.05	0.958826574190269	21	2.54493449149811	32	0.0454405564986781	4.44254788715301e-05
PITRM1	0.05	0.88376789816553	39	1.07343400918315	289	0.113870598944372	4.5995542574115e-11
KLF6	NA	NA	NA	NA	0	NA	NA
AKR1E2	0.05	0.96870470324139	19	1.67940143567432	142	0.0286732549656274	0.00124007718716201
AKR1C1	0.05	0.905796079202872	28	1.72553930972608	104	0.0971477920302783	1.42240449811456e-09
AKR1C2	0.05	0.800855778824385	40	1.48861800552009	129	0.209629297763401	4.16461855586255e-20
AKR1C3	0.05	0.863484710947687	35	1.71076779030944	110	0.145893989254811	5.51640901164378e-14
AKR1CL1	0.05	0.995654044536578	9	2.57488494999316	27	0.001737692682998	0.429747615369605
AKR1C4	NA	NA	NA	NA	0	NA	NA
UCN3	NA	NA	NA	NA	0	NA	NA
TUBAL3	0.05	0.946951387847356	20	2.58657444865257	23	0.0596337148849949	2.66631936896384e-06
NET1	0.05	1.00631951170945	14	2.00953886566464	51	2.35772198926621e-06	0.976806289702979
CALML5	NA	NA	NA	NA	0	NA	NA
CALML3	0.05	1.00657364354464	13	2.09176290611442	89	9.88186281651366e-05	0.850701081516702
ASB13	NA	NA	NA	NA	0	NA	NA
FAM208B	0.05	0.986381576627107	13	2.36708474025781	38	0.0109505023428619	0.0469433802350749
GDI2	0.05	0.995944205690167	11	2.64538478296519	25	0.00189579866264576	0.409486991181732
ANKRD16	0.05	0.971456228377713	26	1.39014351881361	221	0.0299289235323301	0.000965071553339006
FBXO18	NA	NA	NA	NA	0	NA	NA
IL15RA	0.05	0.96791517205325	18	2.62420995005628	24	0.0365231798769707	0.000259980891381347
IL2RA	0.05	1.00149437887768	15	1.99523317943053	72	0.00088058166265517	0.574125753039488
RBM17	0.05	1.00876305569827	15	1.88356755685716	93	9.8308485113455e-05	0.851082452673429
PFKFB3	0.05	1.00153924752208	2	3.67586901731619	1	0.0138933456775784	0.0251184566194109
AL137145.1	NA	NA	NA	NA	0	NA	NA
DKFZP667F0711	0.05	1.0008558303835	3	3.60125019584979	1	0.0132129550820763	0.0289862698516432
PRKCQ	0.05	0.984707708985414	23	1.30789724984425	215	0.0202443260898276	0.00677344461518708
SFMBT2	0.05	0.949957939792659	25	1.66642186590812	145	0.0477267740970635	2.82520947927186e-05
ITIH5	0.05	0.971894666097649	21	1.76935011947002	129	0.0258173507025091	0.00219709096642322
ITIH2	0.05	0.89875253350905	28	1.94001823645875	86	0.105632204434609	2.51009735461875e-10
KIN	0.05	0.871690314048964	33	1.56528119927239	203	0.128106980255846	2.37472260029069e-12
ATP5C1	0.05	0.976653980049652	15	2.66884293341922	40	0.0223225882875868	0.00444279954434722
TAF3	0.05	0.997800309055531	9	2.68054909457312	20	0.000488319653738439	0.675613654670494
GATA3	NA	NA	NA	NA	0	NA	NA
CELF2	0.05	0.985454564528844	10	2.63874341210447	25	0.0159532122282556	0.0163451912589592
USP6NL	0.05	0.998606219615535	7	2.72498172841976	23	9.81091906254261e-05	0.851231718791711
ECHDC3	0.05	0.941552436999144	24	2.23332677909352	53	0.0588282682352337	3.12879971899824e-06
PROSER2	0.05	0.849098928227203	34	1.72941672116391	97	0.157052222704058	5.02405394071176e-15
UPF2	0.05	0.991540775976162	11	3.01830491978498	16	0.00595484226706391	0.143390054540507
DHTKD1	0.05	0.992661671073121	11	2.24880350635249	29	0.00458744905110962	0.199178637705851
SEC61A2	NA	NA	NA	NA	0	NA	NA
NUDT5	NA	NA	NA	NA	0	NA	NA
CDC123	NA	NA	NA	NA	0	NA	NA
CAMK1D	NA	NA	NA	NA	0	NA	NA
CCDC3	0.05	0.924440368190558	22	2.46393794380193	27	0.0889639358977869	7.49144419930509e-09
OPTN	NA	NA	NA	NA	0	NA	NA
MCM10	0.05	0.947694241321105	24	1.70355916649623	133	0.0497466138446916	1.8938543956608e-05
UCMA	0.05	0.997287892188667	10	2.97163475982095	5	0.000216557946053611	0.780515246696475
PHYH	0.05	0.807490490286641	36	1.77793536032555	78	0.204407934070838	1.37471591321159e-19
AL138764.1	0.05	0.999186232621087	20	1.72332471503549	104	0.00386442148052099	0.238729462715334
SEPHS1	0.05	0.990564946135231	18	1.63260764235728	139	0.011662699123676	0.0402892925507027
BEND7	0.05	0.990576174222301	11	2.95166406350659	22	0.00676555773498574	0.118752405744019
PRPF18	NA	NA	NA	NA	0	NA	NA
RP11-295P9.3	0.05	0.992721718284116	14	2.74696395609216	35	0.00498006792913347	0.180948395467698
FRMD4A	NA	NA	NA	NA	0	NA	NA
FAM107B	0.05	0.952175009517161	21	2.12744830735314	53	0.0486080937811652	2.3728099529514e-05
CDNF	0.05	0.959311885205279	23	1.70101793746764	88	0.0393024269134284	0.000149828574958961
HSPA14	0.05	0.994868247567296	18	1.63357913781038	123	0.00836571300883562	0.082664061139325
SUV39H2	NA	NA	NA	NA	0	NA	NA
DCLRE1C	0.05	0.991407556748933	11	2.68367489747122	25	0.00608307113317912	0.139139987253222
MEIG1	NA	NA	NA	NA	0	NA	NA
OLAH	NA	NA	NA	NA	0	NA	NA
ACBD7	0.05	1.00542616249754	9	2.48117634484596	18	0.00338196045304347	0.270444843425047
C10orf111	0.05	0.95570459972017	22	2.20045959042422	38	0.0552880243977044	6.31619875806218e-06
RPP38	NA	NA	NA	NA	0	NA	NA
NMT2	0.05	0.991979938368601	14	2.33883681401465	25	0.00529475478266648	0.167718832870867
FAM171A1	0.05	0.89351405541888	36	1.60338713143333	106	0.105799573531421	2.42534331155556e-10
ITGA8	NA	NA	NA	NA	0	NA	NA
FAM188A	NA	NA	NA	NA	0	NA	NA
PTER	0.05	0.957547581153946	19	2.00194153589858	61	0.0422250334405896	8.39737719319035e-05
C1QL3	0.05	0.521238303854315	62	0.832718259476966	203	0.493210381289561	6.20755699478936e-55
RSU1	0.05	0.958153107489188	23	2.13118325760451	49	0.0426690784569532	7.69047785815312e-05
CUBN	0.05	0.955797754268884	35	1.08287778459764	224	0.048276888802977	2.53364141317912e-05
TRDMT1	0.05	0.892593530075937	32	1.69561976060928	83	0.111161032676575	8.04855948538659e-11
VIM	NA	NA	NA	NA	0	NA	NA
ST8SIA6	0.05	1.00495155801389	8	2.98633031389956	9	0.00732337941304897	0.104525674292582
PTPLA	0.05	0.988906850876593	26	1.3183734354633	176	0.0168289300065093	0.0136370480618081
STAM	0.05	0.981288732368172	15	2.43214540954543	23	0.0176246422403979	0.0115752302137425
TMEM236	0.05	0.989780903718967	13	2.37850144521098	34	0.00761688557676502	0.0977967383377742
MRC1L1	0.05	0.959102526654199	24	2.01282814300451	59	0.0396961129794589	0.000138583546774927
TMEM236	0.05	0.990915865921883	11	2.82849210587101	9	0.0076181379624607	0.0977690559009738
MRC1	0.05	0.980010670697735	27	1.61843030564564	106	0.0189366352191824	0.00884476386750646
SLC39A12	NA	NA	NA	NA	0	NA	NA
CACNB2	0.05	0.846215225503998	50	0.695333549327873	347	0.155197070819086	7.49765078039121e-15
NSUN6	NA	NA	NA	NA	0	NA	NA
ARL5B	0.05	0.988019804314367	16	1.97261734961829	61	0.00946485136872732	0.0648293062706328
C10orf112	0.05	0.780743006931887	42	1.11546941859863	267	0.220462379437454	3.41211676182524e-21
PLXDC2	0.05	1.00729024371624	4	3.37725266467213	1	0.028891535898205	0.00118715401251332
NEBL	0.05	1.00139978576648	6	2.70918924527325	4	0.00526089139868451	0.169087920066548
C10orf113	NA	NA	NA	NA	0	NA	NA
CASC10	NA	NA	NA	NA	0	NA	NA
SKIDA1	NA	NA	NA	NA	0	NA	NA
MLLT10	NA	NA	NA	NA	0	NA	NA
DNAJC1	0.05	0.999880735856096	6	2.59001700118479	21	0.00019569339821931	0.791099573157301
EBLN1	NA	NA	NA	NA	0	NA	NA
COMMD3	NA	NA	NA	NA	0	NA	NA
BMI1	0.05	1.00559553901595	4	2.80151630588893	2	0.0247629513278354	0.00271562224207313
