gene	alpha	cvm	lambda.iteration	lambda.min	n.snps	R2	pval
TUBB8	1	0.958933497557864	14	0.165662934743166	2	0.0419507544611663	0.000332404866031792
ZMYND11	NA	NA	NA	NA	0	NA	NA
DIP2C	NA	NA	NA	NA	0	NA	NA
PRR26	NA	NA	NA	NA	0	NA	NA
LARP4B	1	0.99010749686211	9	0.151957661618922	5	0.0066866155158191	0.155640434051424
AL359878.1	1	0.981479295858138	12	0.130636517334366	9	0.0156237207902283	0.0296063075465429
GTPBP4	1	0.956589885821417	15	0.132314735314613	11	0.0418346720250947	0.000338935437456362
IDI2	1	0.994906046511675	13	0.116208721037926	16	0.0101827763872598	0.0794743460359525
IDI1	NA	NA	NA	NA	0	NA	NA
WDR37	1	0.994852548018199	7	0.163460216012201	3	0.00204891114941795	0.43241419254448
ADARB2	NA	NA	NA	NA	0	NA	NA
PFKP	1	0.910722512973446	23	0.107577489452465	41	0.086988439679426	1.69948270732881e-07
PITRM1	1	0.832814853614805	28	0.0874118848816732	53	0.166605158323071	1.35706654189249e-13
KLF6	NA	NA	NA	NA	0	NA	NA
AKR1E2	1	0.909929885657856	25	0.106369286654204	31	0.0870642005570666	1.67770737704942e-07
AKR1C1	1	0.83935488163455	23	0.16081520086229	2	0.17414958598312	3.38020362523492e-14
AKR1C2	1	0.817931868125227	25	0.150409336975992	9	0.191161040382976	1.40918863476169e-15
AKR1C3	1	0.998905766112233	9	0.149203538011664	9	0.00318601930406234	0.327456876843246
AKR1CL1	1	0.996818634623359	5	0.174683772269933	2	0.000763596847742929	0.631858553397571
AKR1C4	1	0.995346311288107	5	0.167645106834631	2	0.00150911291082516	0.50052094467918
UCN3	NA	NA	NA	NA	0	NA	NA
TUBAL3	1	0.953921178868825	14	0.140270766737125	11	0.0437966672792143	0.000243976196170227
NET1	NA	NA	NA	NA	0	NA	NA
CALML5	1	0.961642757484635	14	0.161777894108152	7	0.0375916819043369	0.00069067413566035
CALML3	1	0.975452462135892	15	0.136238988227686	18	0.022694047215383	0.00862842464897623
ASB13	1	1.01039960879251	7	0.147665076371062	12	5.77579459513623e-08	0.996675952506994
FAM208B	NA	NA	NA	NA	0	NA	NA
GDI2	1	0.965113616589509	10	0.189427845318521	3	0.0402677907081765	0.000440766233686072
ANKRD16	1	0.92623349639301	20	0.132810369983266	18	0.0712211148615168	2.45344506628687e-06
FBXO18	1	0.926931544479976	26	0.0992097265133081	38	0.0710862249106881	2.50985184645481e-06
IL15RA	NA	NA	NA	NA	0	NA	NA
IL2RA	NA	NA	NA	NA	0	NA	NA
RBM17	NA	NA	NA	NA	0	NA	NA
PFKFB3	NA	NA	NA	NA	0	NA	NA
AL137145.1	1	1.00094542325017	6	0.166880688714142	5	4.77699763502436e-05	0.904631000080647
DKFZP667F0711	1	0.917123395824194	22	0.0879869317529036	55	0.0808840474267566	4.79293849563449e-07
PRKCQ	NA	NA	NA	NA	0	NA	NA
SFMBT2	1	0.99032036196383	8	0.176176488357634	1	0.007923600570373	0.1220721377666
ITIH5	NA	NA	NA	NA	0	NA	NA
ITIH2	1	0.81673984644871	33	0.0991028594888768	35	0.181764376623978	8.2131231654055e-15
KIN	NA	NA	NA	NA	0	NA	NA
ATP5C1	NA	NA	NA	NA	0	NA	NA
TAF3	NA	NA	NA	NA	0	NA	NA
GATA3	1	0.963793858694808	16	0.114803648644747	26	0.0338171666294154	0.00130324579217652
CELF2	1	0.976334491357477	13	0.145245116271629	9	0.0206910902546018	0.0121906653932213
USP6NL	1	0.981447966356773	11	0.14503503134017	11	0.0160694499646667	0.0273574985676227
ECHDC3	1	0.610826203147414	43	0.0679405146847673	48	0.39258678368987	1.8945922036246e-34
PROSER2	NA	NA	NA	NA	0	NA	NA
UPF2	1	1.00442268084856	11	0.127716362374803	22	0.00377707371097095	0.286252865253265
DHTKD1	NA	NA	NA	NA	0	NA	NA
SEC61A2	1	0.990686389174638	16	0.110301235275451	20	0.0123744059641694	0.0530698091677129
NUDT5	1	0.959376686510782	14	0.141259158971642	14	0.0384499001229727	0.000597976027688431
CDC123	NA	NA	NA	NA	0	NA	NA
CAMK1D	1	0.99793164043921	7	0.184633218854866	2	0.000865705497123551	0.609943261004328
CCDC3	1	0.910520160584459	18	0.116329449579594	21	0.0886997176230232	1.26980625561068e-07
OPTN	1	0.997441276711673	10	0.14454249556347	12	0.00307805724150981	0.335804217489402
MCM10	NA	NA	NA	NA	0	NA	NA
UCMA	1	1.00434631900329	5	0.182978859862566	1	0.0018768332448907	0.452445082256715
PHYH	1	0.952633408727536	19	0.13187428666768	18	0.0479115228299469	0.000122496323168237
AL138764.1	NA	NA	NA	NA	0	NA	NA
SEPHS1	NA	NA	NA	NA	0	NA	NA
BEND7	1	0.996860581872882	9	0.146161817318085	9	0.00381569138163602	0.283798270075898
PRPF18	NA	NA	NA	NA	0	NA	NA
RP11-295P9.3	1	0.896114769421456	23	0.14017905248137	12	0.103230729708291	1.05237433120661e-08
FRMD4A	1	0.981313797137424	9	0.173687466473276	6	0.0164657862361011	0.0255063516244965
FAM107B	1	0.978498127222665	16	0.129223859268046	18	0.0195507344025972	0.014858151969317
CDNF	NA	NA	NA	NA	0	NA	NA
HSPA14	NA	NA	NA	NA	0	NA	NA
SUV39H2	NA	NA	NA	NA	0	NA	NA
DCLRE1C	1	0.986634928701809	17	0.101773772928778	35	0.0184027978708426	0.0181503407808434
MEIG1	1	0.998943091283615	2	0.196608684185982	1	0.000727286708105561	0.640086165738535
OLAH	NA	NA	NA	NA	0	NA	NA
ACBD7	1	0.897108466094728	19	0.168734215512569	4	0.110685992914498	2.89871617680296e-09
C10orf111	NA	NA	NA	NA	0	NA	NA
RPP38	NA	NA	NA	NA	0	NA	NA
NMT2	1	0.924974524014013	40	0.0535863790815758	91	0.0941449013682583	5.01064497767441e-08
FAM171A1	1	1.00589947915619	7	0.16050126768026	3	3.98728843408246e-06	0.972386901682608
ITGA8	1	1.00023929292876	6	0.144692131517667	6	0.000123328155403632	0.847337959144901
FAM188A	NA	NA	NA	NA	0	NA	NA
PTER	1	0.759977840039901	34	0.0933075237701961	26	0.241789947282738	7.49062094221515e-20
C1QL3	1	0.490602532789214	48	0.0815139452750352	26	0.510843455726306	1.1713710333237e-48
RSU1	1	0.735589909308819	40	0.0871582110041956	34	0.263892651235209	8.36210046675201e-22
CUBN	1	0.919159029240332	16	0.179716057223471	2	0.0911747505713424	8.32496213453024e-08
TRDMT1	1	0.949406676615506	19	0.131804814301543	9	0.0474870084947778	0.000131518089577746
VIM	1	0.996270750623559	6	0.158141007972401	1	0.000855269822858572	0.612106428874954
