gene	alpha	cvm	lambda.iteration	lambda.min	n.snps	R2	pval
TUBB8	1	0.987295369928682	12	0.134095760436749	5	0.00936909066208788	0.102949081245423
ZMYND11	NA	NA	NA	NA	0	NA	NA
DIP2C	NA	NA	NA	NA	0	NA	NA
PRR26	NA	NA	NA	NA	0	NA	NA
LARP4B	1	1.00273185903226	8	0.176683106487255	3	0.000118851028655837	0.854608497235791
AL359878.1	1	0.901267338302896	19	0.126591791421338	11	0.101999048005091	3.52789448294201e-08
GTPBP4	NA	NA	NA	NA	0	NA	NA
IDI2	NA	NA	NA	NA	0	NA	NA
IDI1	NA	NA	NA	NA	0	NA	NA
WDR37	1	0.983941301622991	10	0.151830960639066	10	0.0130793943390479	0.053786321340559
ADARB2	1	0.819256004743664	31	0.114148924073391	20	0.180721162167577	6.18151245633095e-14
PFKP	NA	NA	NA	NA	0	NA	NA
PITRM1	1	0.848762175328568	26	0.119138961200754	23	0.151746868231141	9.1900691360399e-12
KLF6	1	1.00577637392366	5	0.18723035541999	2	0.00367708035845483	0.307660603908955
AKR1E2	1	0.960032092572925	19	0.116583587000605	28	0.0376004757939765	0.0010002720027833
AKR1C1	1	0.957632197954176	13	0.145345096548796	8	0.0434584478834292	0.000395809310347512
AKR1C2	1	0.898466019441968	24	0.12920393068243	13	0.0995764904222948	5.22368745646424e-08
AKR1C3	1	0.930971793922605	19	0.11587289509527	23	0.0666891052103915	1.00731065363661e-05
AKR1CL1	1	0.996177560670661	9	0.16271341084866	6	0.00273640535286364	0.378953008253267
AKR1C4	NA	NA	NA	NA	0	NA	NA
UCN3	NA	NA	NA	NA	0	NA	NA
TUBAL3	1	0.957769005572594	17	0.117740649175129	22	0.0392952064451521	0.000764715955519247
NET1	1	0.934606411838504	20	0.12269020972265	21	0.0631664119204658	1.75963268143174e-05
CALML5	1	1.01549586584595	2	0.191967315157476	1	0.0455573640836985	0.000284095559897708
CALML3	1	0.97935235359337	10	0.163439313137888	3	0.0177203497364593	0.024613078088461
ASB13	1	0.997441220626572	9	0.159895870581791	8	0.00282370948176153	0.371444047976859
FAM208B	1	0.987294429851447	12	0.122336876061949	23	0.013631716461591	0.0489384718380149
GDI2	1	0.855255534761438	35	0.0839073650034399	54	0.142235796601439	4.59164411965594e-11
ANKRD16	1	0.959286279866216	11	0.184792564143455	1	0.050450053619762	0.000131207965561633
FBXO18	NA	NA	NA	NA	0	NA	NA
IL15RA	1	0.939043840658427	21	0.116200208266123	29	0.0576719774719155	4.19469465712313e-05
IL2RA	1	0.997524476583255	5	0.170786961126411	4	0.000312688712261627	0.766287266995011
RBM17	1	0.992492962874618	5	0.181173050803696	1	0.00437466487864054	0.265749398608443
PFKFB3	NA	NA	NA	NA	0	NA	NA
AL137145.1	1	0.960013849546364	17	0.11056516346935	33	0.0377022188392728	0.00098426731957942
DKFZP667F0711	1	0.927119010727935	24	0.0875039884583822	56	0.072949724274452	3.72978176449983e-06
PRKCQ	NA	NA	NA	NA	0	NA	NA
SFMBT2	1	0.996790442368869	6	0.169654122061709	5	0.00133897836298975	0.538398775719408
ITIH5	1	0.960381124874063	11	0.186499715878551	3	0.0476723171591882	0.000203428902662412
ITIH2	1	1.00586255367861	2	0.206626929688414	2	0.0189579275834033	0.0200555252351323
KIN	1	0.948216899571834	16	0.143677685287841	8	0.0497612585286978	0.000146279607410048
ATP5C1	NA	NA	NA	NA	0	NA	NA
TAF3	NA	NA	NA	NA	0	NA	NA
GATA3	NA	NA	NA	NA	0	NA	NA
CELF2	NA	NA	NA	NA	0	NA	NA
USP6NL	1	0.991959204857639	8	0.174160296297396	3	0.00470918028397085	0.248185516255219
ECHDC3	1	0.636538321551308	37	0.0851886506034191	42	0.37260510262614	1.73603498665593e-30
PROSER2	NA	NA	NA	NA	0	NA	NA
UPF2	1	1.0073204718016	4	0.186318557359173	4	0.00492430207390451	0.237637379974529
DHTKD1	NA	NA	NA	NA	0	NA	NA
SEC61A2	1	0.95821494105764	20	0.121983005368078	22	0.0393548087628531	0.000757532287805364
NUDT5	1	1.00235872324384	2	0.20335988194137	1	0.0060231440246636	0.191415733910932
CDC123	1	0.958392363321969	20	0.114381789525471	26	0.0387839797825949	0.000829210482516015
CAMK1D	1	0.994459657997794	11	0.12072908683293	27	0.010038747840009	0.0913577042142729
CCDC3	1	0.9585617177007	14	0.136156756725573	14	0.0381143051881446	0.000922032190890842
OPTN	1	0.991586045930369	7	0.175690177744053	4	0.00502039191965741	0.233101430832154
MCM10	NA	NA	NA	NA	0	NA	NA
UCMA	NA	NA	NA	NA	0	NA	NA
PHYH	1	0.996526602512631	6	0.185660966969595	3	0.00150832180191411	0.51374919793523
AL138764.1	NA	NA	NA	NA	0	NA	NA
SEPHS1	1	1.00197921034677	9	0.164077094595905	5	0.000505213255177278	0.705553410881326
BEND7	1	0.992559103762978	6	0.175677894978675	3	0.00396735989235902	0.28927108361836
PRPF18	NA	NA	NA	NA	0	NA	NA
RP11-295P9.3	1	0.948489793075277	16	0.144207834271395	13	0.0496443950006651	0.000149003344661232
FRMD4A	1	1.00585788211217	2	0.195945772992535	2	0.0130812536811527	0.0537691792557515
FAM107B	1	0.776300941839704	37	0.0830074879778551	44	0.223185585920642	2.99276451155928e-17
CDNF	NA	NA	NA	NA	0	NA	NA
HSPA14	1	0.991218377020021	13	0.139657638957197	11	0.00784901268950276	0.135695986888365
SUV39H2	1	0.992582202125438	7	0.170661754471283	3	0.00393004188829831	0.291555068674208
DCLRE1C	NA	NA	NA	NA	0	NA	NA
MEIG1	NA	NA	NA	NA	0	NA	NA
OLAH	NA	NA	NA	NA	0	NA	NA
ACBD7	NA	NA	NA	NA	0	NA	NA
C10orf111	NA	NA	NA	NA	0	NA	NA
RPP38	1	0.999303840926734	8	0.137388147913614	14	0.00255387452239959	0.395359820395721
NMT2	1	0.844474431973819	32	0.0717081963892881	64	0.153619706070788	6.68247479407613e-12
FAM171A1	1	1.005242344284	3	0.180309924223058	3	0.00543327782877778	0.214753371532736
ITGA8	1	0.991601957111861	14	0.127936128235669	17	0.00848876078017625	0.120691980281401
FAM188A	1	1.00490931878328	6	0.167224082304765	3	0.00054707299467715	0.694186396493718
PTER	1	0.882246239160531	27	0.0989059295805381	34	0.114890300320562	4.31092853819274e-09
C1QL3	1	0.469694001746864	44	0.099827923665097	16	0.536779218649416	3.29964318843652e-49
RSU1	1	0.792589743427108	26	0.131693188417166	9	0.215564627690317	1.21152990904242e-16
CUBN	1	0.93624086929251	22	0.122069313818111	18	0.0605250339059935	2.67220380782942e-05
TRDMT1	1	0.824970994616104	24	0.16063715131696	6	0.184603233809251	3.1243885799145e-14
VIM	1	0.988836471082458	8	0.185907470683741	2	0.00778430991933314	0.137325289723212
ST8SIA6	NA	NA	NA	NA	0	NA	NA
PTPLA	NA	NA	NA	NA	0	NA	NA
STAM	1	0.990440024782002	7	0.189770877748392	1	0.0061654433700832	0.186237491604961
TMEM236	NA	NA	NA	NA	0	NA	NA
