gene	alpha	cvm	lambda.iteration	lambda.min	n.snps	R2	pval
TUBB8	1	0.963831032320865	23	0.0820567438305341	19	0.0366352484501144	0.000896940638460974
ZMYND11	NA	NA	NA	NA	0	NA	NA
DIP2C	1	0.989399855543676	7	0.152094731639287	8	0.00732711783877632	0.140439234086072
PRR26	NA	NA	NA	NA	0	NA	NA
LARP4B	NA	NA	NA	NA	0	NA	NA
AL359878.1	NA	NA	NA	NA	0	NA	NA
GTPBP4	1	0.962966468630852	17	0.124778400378935	16	0.0340841345916308	0.00136864426591018
IDI2	NA	NA	NA	NA	0	NA	NA
IDI1	1	0.999422056739754	9	0.143024551300144	9	0.00161237208999732	0.489856586349158
WDR37	1	0.972921712492643	12	0.164509890377317	3	0.0250725713201066	0.00615810730842159
ADARB2	NA	NA	NA	NA	0	NA	NA
PFKP	NA	NA	NA	NA	0	NA	NA
PITRM1	1	0.97106866679274	16	0.117740417911691	21	0.0267796864078757	0.00462296290287909
KLF6	1	1.00300132217469	8	0.145432509632087	13	0.000459114931709793	0.712593961831346
AKR1E2	1	0.85733044090661	31	0.0879430987420085	45	0.139968884282322	2.46871458594032e-11
AKR1C1	NA	NA	NA	NA	0	NA	NA
AKR1C2	1	0.982803006140312	13	0.141053102544469	10	0.014482595272261	0.0378686026844262
AKR1C3	1	0.857396651691318	27	0.113325363307379	21	0.143259501643114	1.38433934933189e-11
AKR1CL1	1	0.988315786969927	8	0.152630876911695	8	0.00837470894103136	0.11492511531669
AKR1C4	NA	NA	NA	NA	0	NA	NA
UCN3	NA	NA	NA	NA	0	NA	NA
TUBAL3	NA	NA	NA	NA	0	NA	NA
NET1	NA	NA	NA	NA	0	NA	NA
CALML5	NA	NA	NA	NA	0	NA	NA
CALML3	1	0.999704776915324	4	0.17785790780646	1	0.0003312289513112	0.754371081337786
ASB13	1	0.966452965150038	15	0.150092835860136	8	0.0303650463129299	0.00253941294156405
FAM208B	NA	NA	NA	NA	0	NA	NA
GDI2	1	0.850747714684967	24	0.140101024522219	7	0.162561432356346	4.46937167159399e-13
ANKRD16	NA	NA	NA	NA	0	NA	NA
FBXO18	1	0.975677680901603	12	0.153573458914439	10	0.0211578398035706	0.0119433550948403
IL15RA	NA	NA	NA	NA	0	NA	NA
IL2RA	1	0.938582204011795	14	0.178030227999897	1	0.0731744778974437	2.15090874670959e-06
RBM17	NA	NA	NA	NA	0	NA	NA
PFKFB3	1	0.970465969577759	15	0.118113429737076	23	0.0263788935991747	0.00494440911938852
AL137145.1	1	0.988004075545638	6	0.179923666577322	2	0.0117412593217873	0.0617375198283904
DKFZP667F0711	1	0.968047768239428	12	0.151254788147399	8	0.0316971157498666	0.00203442546538107
PRKCQ	1	1.0002359763477	10	0.135615978669362	12	0.00252011642018639	0.387861530262865
SFMBT2	NA	NA	NA	NA	0	NA	NA
ITIH5	NA	NA	NA	NA	0	NA	NA
ITIH2	1	0.883270766679872	21	0.126625949225947	15	0.12017454641862	7.70229577897272e-10
KIN	1	0.985687931619059	11	0.17058747701351	4	0.0110865898574858	0.069516803249398
ATP5C1	1	1.00133271564093	5	0.177828748999882	2	0.000226811947674321	0.79571028134535
TAF3	NA	NA	NA	NA	0	NA	NA
GATA3	NA	NA	NA	NA	0	NA	NA
CELF2	NA	NA	NA	NA	0	NA	NA
USP6NL	1	0.99882487207831	4	0.200876054556348	1	2.52637019774986e-05	0.931145829699421
ECHDC3	1	0.923239227652168	27	0.106784349672588	31	0.0749094986702338	1.6124385131558e-06
PROSER2	1	0.984614600646725	10	0.136999558959593	10	0.0121963623488138	0.056876715753211
UPF2	1	0.995700612773609	6	0.149984710084315	7	0.00197069473856262	0.445171663425888
DHTKD1	NA	NA	NA	NA	0	NA	NA
SEC61A2	NA	NA	NA	NA	0	NA	NA
NUDT5	1	0.983505758548319	15	0.132674893003466	18	0.0152589274594764	0.0330384658029324
CDC123	NA	NA	NA	NA	0	NA	NA
CAMK1D	1	0.979694043477121	8	0.177685660246405	3	0.0196949114794961	0.0153316997714228
CCDC3	NA	NA	NA	NA	0	NA	NA
OPTN	1	0.987082365224473	11	0.1364198970951	12	0.012104986813489	0.0578191668384395
MCM10	1	0.895454488330655	19	0.15352617484234	6	0.115553690265729	1.70370306090547e-09
UCMA	NA	NA	NA	NA	0	NA	NA
PHYH	1	0.931351227818561	15	0.176784648850993	5	0.0751783458056375	1.54198936324153e-06
AL138764.1	NA	NA	NA	NA	0	NA	NA
SEPHS1	1	1.00558605985975	7	0.155462788526626	7	0.000383036683879638	0.736519685910347
BEND7	1	1.00802231834199	7	0.156722907985593	6	0.000419238762132072	0.724830576760622
PRPF18	1	1.00154851228243	6	0.171656662901266	4	1.11080329100494e-05	0.954312082726343
RP11-295P9.3	1	0.966552848139351	22	0.0929510140864873	54	0.0433660838122233	0.000295147096050482
FRMD4A	NA	NA	NA	NA	0	NA	NA
FAM107B	NA	NA	NA	NA	0	NA	NA
CDNF	NA	NA	NA	NA	0	NA	NA
HSPA14	NA	NA	NA	NA	0	NA	NA
SUV39H2	NA	NA	NA	NA	0	NA	NA
DCLRE1C	1	0.963594575836676	16	0.118840379639557	21	0.0335933083078558	0.00148474312598213
MEIG1	NA	NA	NA	NA	0	NA	NA
OLAH	1	0.989348370835481	9	0.138800293995768	7	0.00758342554840187	0.133662079313168
ACBD7	NA	NA	NA	NA	0	NA	NA
C10orf111	1	0.982236343407834	15	0.114520898353657	12	0.0176002692479049	0.021981953398819
RPP38	1	0.989732883450526	6	0.167098738679035	2	0.00880341903151246	0.105995383267489
NMT2	1	0.927587565178395	27	0.08901110381917	40	0.070624664669284	3.28330450952031e-06
FAM171A1	1	0.994514258636755	7	0.150167028755869	6	0.00371754475155461	0.294138058066127
ITGA8	1	1.00147152232645	4	0.181823615680865	1	0.00204829893060906	0.436337950533863
FAM188A	1	0.995736636324393	9	0.155819220121086	3	0.00195424256068377	0.447079771434926
PTER	1	0.892124932230632	26	0.106649306199643	26	0.105074027289008	1.01867826977463e-08
C1QL3	1	0.400080966650616	53	0.067952926845988	29	0.601991232878793	3.62480405025522e-61
RSU1	1	0.863416346989925	23	0.14239138847814	9	0.142728826460484	1.51989870819966e-11
CUBN	1	1.00357621980332	7	0.160985752207383	5	2.8930952542229e-07	0.99262275299437
TRDMT1	1	0.90290764303043	30	0.104544866628388	26	0.0950207056438614	5.57977485540142e-08
VIM	NA	NA	NA	NA	0	NA	NA
ST8SIA6	NA	NA	NA	NA	0	NA	NA
PTPLA	NA	NA	NA	NA	0	NA	NA
STAM	NA	NA	NA	NA	0	NA	NA
TMEM236	1	0.963959646203585	19	0.0998961166972581	34	0.0361723798229102	0.000968350319950673
MRC1L1	1	0.777037674108882	33	0.110126282754444	15	0.225618056122592	3.54606055541728e-18
TMEM236	NA	NA	NA	NA	0	NA	NA
MRC1	1	0.822313290323169	28	0.126842439032671	11	0.182054704419846	1.29627634214532e-14
SLC39A12	1	0.974641677470871	20	0.100368816897461	30	0.0272384077302079	0.00428091348091019
CACNB2	1	0.994408584796725	9	0.159056454867769	4	0.00343501871438941	0.31327989644101
NSUN6	1	0.78148982537373	27	0.144430962401416	5	0.229957499402968	1.52942259201466e-18
ARL5B	NA	NA	NA	NA	0	NA	NA
C10orf112	1	0.823860884287739	34	0.0837119620432217	55	0.173753308580588	5.90916742756448e-14
PLXDC2	NA	NA	NA	NA	0	NA	NA
NEBL	1	0.988486548164129	8	0.157777575423589	4	0.00825749777954923	0.117507851671748
C10orf113	NA	NA	NA	NA	0	NA	NA
CASC10	1	1.00152213563581	12	0.110632407594187	12	0.0025532410650748	0.384756535139531
SKIDA1	1	1.0001711731036	6	0.140829682086298	4	5.18989865227484e-06	0.968761647499836
MLLT10	1	0.998418940760138	4	0.157872031849858	2	8.60308854317902e-06	0.959787297188878
DNAJC1	NA	NA	NA	NA	0	NA	NA
EBLN1	NA	NA	NA	NA	0	NA	NA
COMMD3	1	1.00441418368494	11	0.130030941949047	4	3.64572671292955e-05	0.917332293374116
BMI1	NA	NA	NA	NA	0	NA	NA
SPAG6	NA	NA	NA	NA	0	NA	NA
PIP4K2A	NA	NA	NA	NA	0	NA	NA
