gene	alpha	cvm	lambda.iteration	lambda.min	n.snps	R2	pval
TUBB8	1	0.7091836494499	42	0.0802947796348225	16	0.290499071770722	2.00446878269708e-22
ZMYND11	1	0.952966079867947	18	0.102614273640809	17	0.0436873419916906	0.000440641499885827
DIP2C	NA	NA	NA	NA	0	NA	NA
PRR26	NA	NA	NA	NA	0	NA	NA
LARP4B	1	0.99296975231446	8	0.166363585974166	1	0.00361832235711791	0.316758790885197
AL359878.1	1	1.00569782674298	2	0.176042708445649	2	0.014179897658106	0.046904243691246
GTPBP4	1	0.989847476485379	10	0.155895964289834	8	0.00741822820596358	0.151330144208552
IDI2	NA	NA	NA	NA	0	NA	NA
IDI1	NA	NA	NA	NA	0	NA	NA
WDR37	NA	NA	NA	NA	0	NA	NA
ADARB2	1	0.758471051709465	30	0.134341402517536	14	0.248312364460087	6.44760199882007e-19
PFKP	NA	NA	NA	NA	0	NA	NA
PITRM1	1	0.877369180752907	24	0.112602346343683	25	0.122354064015193	1.88668173297369e-09
KLF6	NA	NA	NA	NA	0	NA	NA
AKR1E2	1	0.992127819391818	13	0.131668082249942	15	0.00729773527893585	0.15470568854736
AKR1C1	1	0.985045717967046	8	0.182843941099322	1	0.0124047972060204	0.0631986034224006
AKR1C2	1	0.849029460221274	25	0.141333681538112	6	0.15531437617537	8.39234306704688e-12
AKR1C3	1	0.97881856025291	16	0.124079065053138	23	0.0201106369517954	0.0177841054672791
AKR1CL1	NA	NA	NA	NA	0	NA	NA
AKR1C4	NA	NA	NA	NA	0	NA	NA
UCN3	1	1.00673371463496	2	0.217517230984887	1	0.0185833650080425	0.0227608291511238
TUBAL3	1	1.01087605616953	2	0.195272133583156	1	0.036826907992481	0.00127736774508818
NET1	NA	NA	NA	NA	0	NA	NA
CALML5	1	0.99078978351307	10	0.134018414202353	15	0.0076264916007336	0.145689428303177
CALML3	1	1.01031598547189	2	0.178640040002984	1	0.0198416984604495	0.0185715676113887
ASB13	1	0.968822839146601	11	0.165889373596512	4	0.0307602811305007	0.00329072704250435
FAM208B	NA	NA	NA	NA	0	NA	NA
GDI2	1	0.975720536877019	9	0.195954820193053	1	0.023905097416135	0.00969508375491015
ANKRD16	1	1.0031118656389	2	0.194335625654067	1	0.00951766791451502	0.103925398432478
FBXO18	1	0.951204245115897	14	0.16520823963113	5	0.0489455780043136	0.000195276107027947
IL15RA	NA	NA	NA	NA	0	NA	NA
IL2RA	NA	NA	NA	NA	0	NA	NA
RBM17	1	0.988672301126513	8	0.172589110917995	4	0.00779592595045118	0.141274122538141
PFKFB3	1	0.991690352849345	7	0.174854587742045	3	0.00518632728313941	0.230503052832216
AL137145.1	1	1.00951640208006	7	0.176837228578646	2	0.00148215533716494	0.521908239619052
DKFZP667F0711	1	1.00141066429223	6	0.151757396744748	8	0.000594807040203044	0.68503471525331
PRKCQ	1	0.98716081670712	8	0.190994196042687	3	0.00931454897591611	0.10770679934277
SFMBT2	1	0.929864586947428	21	0.107588513249701	36	0.0681535032001843	9.96773141256525e-06
ITIH5	1	1.00408225485086	2	0.200041118441782	1	0.0195916377110758	0.0193358724267586
ITIH2	1	0.987135928906291	8	0.191016345132014	2	0.0096815963985558	0.100979013772637
KIN	1	1.01099904008989	3	0.176267236315993	3	0.0150130899286881	0.040840717629789
ATP5C1	1	0.989234599491349	8	0.17235998530933	4	0.00725230043295048	0.156000518538234
TAF3	1	0.975347637691812	13	0.155767936515098	8	0.0212166130962023	0.0148890487933563
GATA3	1	0.932164244079402	17	0.160358254082511	7	0.0705217656406617	6.89833576195152e-06
CELF2	NA	NA	NA	NA	0	NA	NA
USP6NL	1	0.986060953475876	9	0.176096059550302	1	0.0106609059321847	0.0851594349776031
ECHDC3	1	0.692679131945111	39	0.0944727609477979	22	0.308666220955482	5.35674804881627e-24
PROSER2	1	0.999734204352608	7	0.172317032140811	8	0.000434770634321996	0.728773875192897
UPF2	1	0.957096493301655	13	0.141569158919743	12	0.0406101059824063	0.000709898302957269
DHTKD1	NA	NA	NA	NA	0	NA	NA
SEC61A2	1	0.976806082773985	17	0.122153885566872	26	0.0210627821654886	0.0152608944240915
NUDT5	1	1.00420151673067	8	0.144896341888578	10	0.000199136750587764	0.814470038426395
CDC123	NA	NA	NA	NA	0	NA	NA
CAMK1D	NA	NA	NA	NA	0	NA	NA
CCDC3	1	0.986763625142907	7	0.194650230283152	2	0.0105136984366607	0.0873558479562672
OPTN	NA	NA	NA	NA	0	NA	NA
MCM10	1	0.90022014786496	25	0.113702017163278	21	0.0976054075251873	9.87686488191734e-08
UCMA	1	1.00193816846479	2	0.232253769174466	1	0.000929773891059952	0.612048603849291
PHYH	1	0.603698692455057	37	0.116462343808515	11	0.406844376554745	2.86557381284335e-33
AL138764.1	NA	NA	NA	NA	0	NA	NA
SEPHS1	NA	NA	NA	NA	0	NA	NA
BEND7	NA	NA	NA	NA	0	NA	NA
PRPF18	1	1.00001838888572	4	0.189643351903855	2	0.000606790678217602	0.682048642506362
RP11-295P9.3	1	0.853994934029585	24	0.152140276424411	9	0.151268844293465	1.64726204692336e-11
FRMD4A	1	0.981960094977354	23	0.0837057887771179	65	0.036412454211395	0.00136241236982927
FAM107B	NA	NA	NA	NA	0	NA	NA
CDNF	NA	NA	NA	NA	0	NA	NA
HSPA14	1	0.942376136408483	19	0.138426403166873	6	0.0557220564177616	6.84501744700915e-05
SUV39H2	1	0.995472780039081	6	0.19034353282149	1	0.00119981579548316	0.564513782626412
DCLRE1C	NA	NA	NA	NA	0	NA	NA
MEIG1	1	0.979064953830122	10	0.131186768099839	14	0.0174448307930531	0.027389572190833
OLAH	NA	NA	NA	NA	0	NA	NA
ACBD7	1	0.994821754650026	12	0.129170268527298	15	0.00493331252962455	0.242252223853191
C10orf111	1	0.933819266654736	21	0.0900523975479886	33	0.0633053588815973	2.11510287296335e-05
RPP38	1	0.999389318007633	10	0.138628047533688	7	0.00194429385507671	0.46321224444319
NMT2	1	0.984256111281596	14	0.125653375610954	14	0.0139866450200674	0.0484409339600867
FAM171A1	1	1.00758870222575	12	0.112841079916793	28	0.00398476678737461	0.293391798501239
ITGA8	NA	NA	NA	NA	0	NA	NA
FAM188A	1	0.982790430149479	15	0.106904415870504	35	0.0203486468039178	0.0171157945006179
PTER	1	0.932451215919294	19	0.131946775634444	13	0.0655332542601779	1.49714094021582e-05
C1QL3	1	0.426863955907948	50	0.0743862381545713	25	0.576467291350345	1.32625785974747e-53
RSU1	1	0.825686643441116	23	0.138467034340672	11	0.181933378229305	9.22239708458467e-14
CUBN	1	0.974466148373178	18	0.123506422118388	16	0.0235192039751444	0.0103085231315641
TRDMT1	1	0.801947653163	29	0.128158036423502	14	0.201250666839523	3.20864032098879e-15
VIM	1	1.00177740397437	6	0.168928821044267	4	4.98921062891969e-06	0.970371845432445
ST8SIA6	NA	NA	NA	NA	0	NA	NA
PTPLA	1	1.01191983692409	12	0.108826557879892	26	0.00237895933711252	0.417066220525963
STAM	NA	NA	NA	NA	0	NA	NA
TMEM236	NA	NA	NA	NA	0	NA	NA
MRC1L1	1	0.848599864948118	24	0.142631792501338	8	0.158005213449288	5.35044821947015e-12
TMEM236	NA	NA	NA	NA	0	NA	NA
MRC1	1	0.817999961977632	31	0.113134171051303	18	0.185282255781535	5.1795171970361e-14
SLC39A12	1	1.00076335842582	7	0.167699362515229	4	5.9994517923172e-05	0.897517229151131
CACNB2	1	0.904502552328497	19	0.161570599135679	16	0.0952251320851508	1.43908238843654e-07
NSUN6	1	0.878423761029461	27	0.111575474290245	26	0.11883208117341	3.33121456069358e-09
ARL5B	1	0.993814795918265	9	0.134323135851045	7	0.00436175760138179	0.271596355468473
C10orf112	1	0.583463392428836	48	0.0574610291744436	65	0.418198535143473	1.94441412315354e-34
PLXDC2	1	0.992834305847717	9	0.162388435958023	7	0.00570070531066839	0.208651404265433
NEBL	NA	NA	NA	NA	0	NA	NA
C10orf113	1	0.988396682796592	17	0.107202280247772	14	0.0112050734406194	0.0775410710158956
CASC10	NA	NA	NA	NA	0	NA	NA
SKIDA1	NA	NA	NA	NA	0	NA	NA
MLLT10	NA	NA	NA	NA	0	NA	NA
DNAJC1	NA	NA	NA	NA	0	NA	NA
EBLN1	NA	NA	NA	NA	0	NA	NA
COMMD3	1	0.956188715649998	24	0.0686386090985168	33	0.0451813669963913	0.000349638663746645
BMI1	NA	NA	NA	NA	0	NA	NA
SPAG6	NA	NA	NA	NA	0	NA	NA
PIP4K2A	1	0.998245767967276	6	0.172930520334928	3	0.000136174140966585	0.846137995213772
ARMC3	1	0.989805505768501	19	0.0886962539903842	28	0.0159797685755441	0.0348174096699653
MSRB2	NA	NA	NA	NA	0	NA	NA
PTF1A	1	1.0052546506449	12	0.126209344037599	7	0.00193040729367642	0.46481529625225
C10orf115	NA	NA	NA	NA	0	NA	NA
C10orf67	1	0.99783804480286	11	0.145645151375703	7	0.00267095010074033	0.389818771903291
OTUD1	NA	NA	NA	NA	0	NA	NA
KIAA1217	1	0.760570464009251	32	0.124383594333278	12	0.240776531948633	2.60565070519191e-18
AL353583.1	1	0.989495140431501	15	0.12712463240864	16	0.00999058453277918	0.0956691346162675
ARHGAP21	1	1.00792073930149	5	0.179360376656509	2	0.00368235188639836	0.312506727843064
PRTFDC1	1	0.897385717350882	24	0.109693444906239	25	0.100938385695505	5.82387060405e-08
ENKUR	NA	NA	NA	NA	0	NA	NA
THNSL1	1	0.943250243011045	19	0.105622952627203	23	0.0536846833963526	9.38149678139528e-05
GPR158	NA	NA	NA	NA	0	NA	NA
MYO3A	1	0.91011676182549	25	0.108226091374068	23	0.0866692200771616	5.53698511782543e-07
GAD2	1	0.988041198018794	14	0.125968660945001	15	0.0111303693543774	0.0785421910163878
APBB1IP	1	0.803699084870849	27	0.146987121702542	3	0.204459353618182	1.82340536290643e-15
PDSS1	1	0.919850267572886	24	0.110700004647299	22	0.0782890943663168	2.05641255721016e-06
ABI1	NA	NA	NA	NA	0	NA	NA
ANKRD26	1	0.989493769522422	22	0.0908897884351013	32	0.0180449388383658	0.0248398922470387
YME1L1	1	0.990614399700322	11	0.135123149695801	8	0.00720242393267672	0.15743605347585
MASTL	1	0.463596954967924	47	0.0868715262617392	11	0.540491374083875	1.09716860860318e-48
ACBD5	1	0.831628303004399	25	0.149884738976316	5	0.175383510023479	2.83258107673061e-13
PTCHD3	1	0.95470735673671	12	0.185782376226073	2	0.0510872007152848	0.000140208061333019
RAB18	1	0.997587213828319	6	0.174780096802509	3	0.000539746582395821	0.699223910968191
MKX	1	0.967916880901186	16	0.114211585659218	19	0.0289524270228745	0.00436934591423145
ARMC4	1	0.954560961367684	25	0.095897210804683	34	0.0467801633149655	0.000272993767621552
MPP7	1	0.966958354836146	11	0.169173800025582	7	0.0312903784596215	0.00302870211231975
WAC	NA	NA	NA	NA	0	NA	NA
BAMBI	1	0.964682808103239	14	0.132737823657721	13	0.0324339476758272	0.00253285974131037
C10orf126	NA	NA	NA	NA	0	NA	NA
LYZL1	NA	NA	NA	NA	0	NA	NA
SVIL	1	1.00797840216308	2	0.217991697123276	1	0.0195557757800156	0.0194481030501907
KIAA1462	1	1.01047240484665	7	0.134474857935218	12	0.000229434182135917	0.801130134162057
MTPAP	NA	NA	NA	NA	0	NA	NA
MAP3K8	1	0.972513601485452	16	0.114754278405989	20	0.0248530360949775	0.00834108762310694
LYZL2	NA	NA	NA	NA	0	NA	NA
ZNF438	1	0.951610137999588	17	0.133869700146714	14	0.0462946573382451	0.000294295118089702
ZEB1	NA	NA	NA	NA	0	NA	NA
ARHGAP12	NA	NA	NA	NA	0	NA	NA
KIF5B	1	1.00307797657448	10	0.118699553603903	8	0.000427396427710523	0.730994365918005
EPC1	1	1.00650141723745	3	0.168891485048644	2	0.0101023245886018	0.0938240907164787
CCDC7	1	0.920561107385963	26	0.107395024419202	24	0.0763498782479936	2.78325259338639e-06
C10orf68	1	0.791469814763031	28	0.1225149597401	7	0.214528516198879	3.05213999920361e-16
ITGB1	1	0.995354761968341	9	0.166400885284126	5	0.00328128639192051	0.340441143219188
NRP1	NA	NA	NA	NA	0	NA	NA
PARD3	1	0.874106057672107	24	0.134441678035373	8	0.128555440657098	6.90222763452522e-10
CUL2	NA	NA	NA	NA	0	NA	NA
CREM	1	0.995892678741686	8	0.152464570028331	2	0.00150780391200404	0.518325884249258
CCNY	NA	NA	NA	NA	0	NA	NA
GJD4	NA	NA	NA	NA	0	NA	NA
FZD8	NA	NA	NA	NA	0	NA	NA
NAMPTL	1	0.978495930271986	16	0.123415267997445	11	0.0186260094706452	0.0226040249919341
ANKRD30A	NA	NA	NA	NA	0	NA	NA
MTRNR2L7	1	1.00127831632679	10	0.126352960030736	4	0.00150884627284479	0.518181210333305
ZNF248	1	0.937165989958534	23	0.104708751477881	13	0.059510519002369	3.8079486278045e-05
ZNF25	1	0.956090694892372	17	0.116815407874227	11	0.0405133519909251	0.000720631164073668
ZNF33A	1	1.00342021977115	11	0.121793384884873	6	0.000172527960756452	0.82710031525139
ZNF37A	NA	NA	NA	NA	0	NA	NA
AL133216.1	1	0.918764575147748	22	0.105696307509453	8	0.08043406081994	1.47077034233775e-06
ZNF33B	1	0.869402992083363	37	0.0695841893900052	32	0.128196573166727	7.31696435188336e-10
BMS1	1	0.995120609191783	10	0.143931717891195	8	0.00265786576600858	0.390983946623449
RET	NA	NA	NA	NA	0	NA	NA
CSGALNACT2	1	0.528961600433585	47	0.0824290379219766	24	0.472441609553919	2.37619397669141e-40
RASGEF1A	1	0.909922693943734	23	0.128910676103656	16	0.0882285365885379	4.3340233156685e-07
FXYD4	1	1.00215027423511	6	0.151484926330954	4	0.000391423022915252	0.742145537933122
HNRNPF	NA	NA	NA	NA	0	NA	NA
ZNF487	NA	NA	NA	NA	0	NA	NA
ZNF239	1	0.961003040970399	14	0.146728204517124	4	0.0381648461488846	0.00103756384143298
ZNF485	NA	NA	NA	NA	0	NA	NA
ZNF32	NA	NA	NA	NA	0	NA	NA
CXCL12	NA	NA	NA	NA	0	NA	NA
TMEM72	NA	NA	NA	NA	0	NA	NA
RASSF4	1	0.98205851452463	14	0.12864595107644	13	0.0173148350057838	0.0279766608730788
C10orf10	NA	NA	NA	NA	0	NA	NA
C10orf25	NA	NA	NA	NA	0	NA	NA
ZNF22	1	0.8958279002336	25	0.0999373713380682	19	0.101817644311654	5.06513075646377e-08
OR13A1	NA	NA	NA	NA	0	NA	NA
ALOX5	1	0.937832851937329	17	0.118673790065466	11	0.0606593715544826	3.18723237385842e-05
MARCH8	1	0.871468637389255	32	0.0690982320770503	39	0.126352646453934	9.8719956640316e-10
ZFAND4	NA	NA	NA	NA	0	NA	NA
FAM21C	1	0.97877837197627	8	0.187440032180747	1	0.0224346802229884	0.0122531744381852
FAM25E	1	1.00506005200081	2	0.200897507303433	1	0.0177364577027706	0.0261183895571287
AGAP4	1	0.711467444735626	35	0.102998479830207	15	0.293771574453642	1.05086599690171e-22
PTPN20A	1	0.993673462881737	13	0.125280880783661	6	0.00621878054817842	0.189067873221447
SYT15	1	0.929862831146923	33	0.0554297974255358	26	0.0733208817477032	4.46245522086024e-06
GPRIN2	1	0.893864995578932	44	0.0373029318510059	48	0.115720821959114	5.49611902302126e-09
NPY4R	1	0.989724275730257	16	0.100900296723285	9	0.0105400894877663	0.0869576360004204
ANXA8L1	NA	NA	NA	NA	0	NA	NA
FAM25B	NA	NA	NA	NA	0	NA	NA
AGAP10	1	1.00203816244568	7	0.106213942672203	6	0.000472561842197793	0.717713087776376
ANTXRL	1	0.882277470360607	26	0.119631322946368	5	0.118856068670382	3.31836140626182e-09
ANXA8L2	NA	NA	NA	NA	0	NA	NA
AL603965.1	NA	NA	NA	NA	0	NA	NA
FAM21B	NA	NA	NA	NA	0	NA	NA
ASAH2C	NA	NA	NA	NA	0	NA	NA
AGAP9	1	0.806529462214212	25	0.157538713807783	6	0.205967753564782	1.39695676457074e-15
FAM25G	NA	NA	NA	NA	0	NA	NA
ANXA8	NA	NA	NA	NA	0	NA	NA
ZNF488	1	0.939951395342207	18	0.128040272108518	4	0.0638558262149396	1.94206582094018e-05
RBP3	1	0.997142545113744	9	0.1530596239224	3	0.00156786685991196	0.510102810054425
GDF2	NA	NA	NA	NA	0	NA	NA
GDF10	1	0.996959053493023	10	0.119217899768603	7	0.00217427490771532	0.43787580922532
PTPN20B	1	0.98495400738315	13	0.11267131191714	12	0.0144046836727564	0.0451808782898512
FAM25C	1	0.992975492441502	12	0.136491422061079	8	0.00610649862822696	0.193123469578849
FRMPD2	1	0.993737061764685	16	0.103106807047789	29	0.0129108891098508	0.0580192501918312
MAPK8	1	0.955263893394742	22	0.112212566370869	17	0.0429075381880855	0.000497214273941383
ARHGAP22	NA	NA	NA	NA	0	NA	NA
WDFY4	NA	NA	NA	NA	0	NA	NA
LRRC18	1	1.00226314776801	4	0.183130971466792	1	0.00168877730900322	0.494212272262997
VSTM4	1	1.02023688384738	15	0.0965071079977915	31	0.00442501369681938	0.26814065587761
FAM170B	1	0.993712371725937	7	0.193046573545054	2	0.00314026004767843	0.351052245585717
C10orf128	1	0.97281205809476	14	0.138784978332142	12	0.0236998271662338	0.0100166188849975
C10orf71	NA	NA	NA	NA	0	NA	NA
DRGX	1	1.00340721842197	5	0.159016119170116	2	0.00290098441776893	0.370111654469309
ERCC6	1	0.968422913009904	19	0.110078372122915	22	0.0313283664096649	0.00301075402087023
CHAT	NA	NA	NA	NA	0	NA	NA
SLC18A3	NA	NA	NA	NA	0	NA	NA
C10orf53	1	1.00059837261249	13	0.134975717401884	10	0.00186521971876939	0.472460385356116
OGDHL	1	0.976516550810031	22	0.0766321810844988	42	0.0332899269369632	0.00221599593584971
PARG	NA	NA	NA	NA	0	NA	NA
FAM21D	1	1.00654907046229	7	0.1604350311005	3	0.0021735436914756	0.437952939652767
