gene	alpha	cvm	lambda.iteration	lambda.min	n.snps	R2	pval
ZMYND11	NA	NA	NA	NA	0	NA	NA
DIP2C	1	0.99383742273031	16	0.139073582899331	18	0.0103596484861117	0.162309419247979
PRR26	NA	NA	NA	NA	0	NA	NA
LARP4B	NA	NA	NA	NA	0	NA	NA
GTPBP4	NA	NA	NA	NA	0	NA	NA
IDI2	1	0.990740042564347	13	0.137438261778709	16	0.013545747234687	0.109792653524265
IDI1	NA	NA	NA	NA	0	NA	NA
WDR37	1	0.970582362448342	10	0.193345707069553	5	0.0255039163176622	0.027741410838495
ADARB2	1	1.0092243237325	6	0.207646715614209	4	0.000108955872588275	0.886341521768314
PFKP	1	1.00556208140783	7	0.205070091270481	4	0.000159362278820385	0.862756162135114
PITRM1	NA	NA	NA	NA	0	NA	NA
KLF6	1	0.98352978964199	9	0.186424640287436	7	0.0113146328380157	0.144101979105569
AKR1E2	1	1.01403360844152	4	0.2097369851323	2	0.0160813185216534	0.0812470947711806
AKR1C1	1	0.991688388500894	6	0.228565437702599	1	0.00323633074084053	0.435617859988597
AKR1C2	1	0.987644104793795	16	0.129704981243118	28	0.0207979843911076	0.0471289816778289
AKR1C3	1	0.996966195770489	8	0.181577071463314	9	0.00181748640082667	0.559200666459286
AKR1C4	1	0.971814120614537	10	0.164960726473093	4	0.0241911680561164	0.0321280676639159
UCN3	1	0.971149451395255	21	0.103205085614718	47	0.0384906239484291	0.00667039295022257
TUBAL3	1	0.901840862712779	17	0.151714996431185	15	0.093639004936335	1.75797430636313e-05
NET1	1	0.985225997383278	8	0.204092017056099	1	0.00971966694922577	0.175966687480669
CALML5	NA	NA	NA	NA	0	NA	NA
CALML3	NA	NA	NA	NA	0	NA	NA
ASB13	NA	NA	NA	NA	0	NA	NA
FAM208B	1	1.00184379967532	8	0.186760716298344	8	0.00117201094586364	0.63913001994844
GDI2	1	0.985360502849023	8	0.192424557722621	3	0.00946668141632131	0.181724055366279
ANKRD16	1	1.00223555866505	5	0.209689541326128	2	0.000770724860939402	0.703782192837671
FBXO18	NA	NA	NA	NA	0	NA	NA
IL15RA	NA	NA	NA	NA	0	NA	NA
IL2RA	NA	NA	NA	NA	0	NA	NA
RBM17	1	0.967625978531554	13	0.139923585869361	24	0.0285308663932247	0.019823302697889
PFKFB3	1	0.965893262035096	9	0.191216584809061	5	0.0315081031938198	0.0142823256569574
AL137145.1	NA	NA	NA	NA	0	NA	NA
DKFZP667F0711	NA	NA	NA	NA	0	NA	NA
PRKCQ	NA	NA	NA	NA	0	NA	NA
SFMBT2	NA	NA	NA	NA	0	NA	NA
ITIH5	NA	NA	NA	NA	0	NA	NA
ITIH2	NA	NA	NA	NA	0	NA	NA
KIN	NA	NA	NA	NA	0	NA	NA
ATP5C1	1	0.995295475687971	15	0.130470554551157	27	0.0139904343002435	0.104089029419309
TAF3	1	0.943029116524644	12	0.15947210899854	14	0.0533099217465808	0.00135059260457061
GATA3	NA	NA	NA	NA	0	NA	NA
CELF2	NA	NA	NA	NA	0	NA	NA
USP6NL	1	0.966069506924843	12	0.169266033604255	9	0.0288192268032663	0.0192016928935419
ECHDC3	1	0.906102607960037	21	0.130125654417995	27	0.0891346511798884	2.86483381602015e-05
PROSER2	NA	NA	NA	NA	0	NA	NA
UPF2	NA	NA	NA	NA	0	NA	NA
DHTKD1	1	1.00551432501986	6	0.195623135344563	3	0.001005191651505	0.664110357362284
SEC61A2	NA	NA	NA	NA	0	NA	NA
