gene	alpha	cvm	lambda.iteration	lambda.min	n.snps	R2	pval
FAM118A	0.5	0.0944035792775806	86	0.0358568678747323	58	0.905824882464168	0
PVRL2	0.5	0.0957137368908757	94	0.0232279630457168	61	0.904623707372484	0
ACCS	0.5	0.100902921143887	95	0.0228761414344229	94	0.899494763566838	0
PEX6	0.5	0.102700603163489	79	0.0479053023629431	21	0.898018997488837	0
XRRA1	0.5	0.104312052617706	86	0.0362801930822989	40	0.895964876882736	0
FADS2	0.5	0.123138978005048	85	0.0375399383669415	42	0.877565916789446	0
CPNE1	0.5	0.122743914071902	43	0.037589112968731	32	0.877558331868488	0
CLEC12A	0.5	0.122862321323795	98	0.0205179156567071	109	0.877104129932949	0
CCDC163P	0.5	0.123816819717175	81	0.0453390544849986	26	0.876605074310743	0
HLA-DQB1	0.5	0.127250658530385	51	0.0158812736490293	65	0.872745365332113	0
IGHMBP2	0.5	0.128747773208407	73	0.0649600626177908	31	0.872360173311401	0
ERAP2	0.5	0.134778380961052	95	0.0235192411536665	84	0.865239295509983	0
TREML4	0.5	0.139532406681614	75	0.0591136660794204	37	0.861184606524799	0
C22orf32	0.5	0.139212000617421	85	0.0373994711601356	30	0.861001970272373	0
SPATA20	0.5	0.139459307695896	90	0.0289839312843913	54	0.860830451203285	0
CHURC1	0.5	0.140022545482328	75	0.0592350125852282	35	0.860665696056103	0
LDHC	0.5	0.140149047811395	78	0.0516405835682484	14	0.860502906583941	0
C17orf97	0.5	0.145073590038482	45	0.0308610701214219	57	0.855318554912944	0
NT5C3L	0.5	0.146804142461959	76	0.0553480655603511	18	0.854019891690652	0
HLA-DRB5	0.5	0.147477950329277	60	0.00572349221470785	121	0.852365837332372	0
SLC12A1	0.5	0.149444630815304	89	0.0308140320228681	57	0.850580423280147	0
DDX11	0.5	0.155938604478275	82	0.042476532983437	63	0.844352273109925	0
GBP3	0.5	0.156483986530405	79	0.0487858204078162	21	0.844116234153261	0
RPS28	0.5	0.160688933508925	78	0.0509338456583935	31	0.840823244179618	0
CYP26B1	0.5	0.163177933547052	69	0.0775571296432358	20	0.83817077506929	0
LCN8	0.5	0.16363403562248	42	0.0405146163952914	39	0.836892458000604	0
FN3KRP	0.5	0.1650343581233	44	0.027745535434004	47	0.83546037866025	0
ERAP1	0.5	0.165587522736662	78	0.0436926503696413	45	0.835125453422344	0
C4BPA	0.5	0.168801205217812	81	0.0438558497900848	46	0.831638820388512	0
PAQR6	0.5	0.169490729412295	76	0.0549142567030095	32	0.83123791484814	0
ZFP57	0.5	0.169572534400658	54	0.0124495355489396	17	0.83027716001689	0
C1orf85	0.5	0.172029996151327	73	0.0635427622775541	37	0.828996934363065	0
ENC1	0.5	0.172350545401417	78	0.0504779809096715	41	0.82820195104941	0
GRHPR	0.5	0.175781029763286	83	0.0396741877507904	46	0.824867934352948	0
RPL9	0.5	0.176866792917624	74	0.0608533847097607	23	0.824325146445006	0
PADI2	0.5	0.178012161217953	82	0.0418833929785974	46	0.822340931827774	0
C9orf135	0.5	0.180651622057933	73	0.0637430293052248	16	0.820334565331868	0
C22orf34	0.5	0.183314926775564	72	0.0662798730634239	27	0.817955818397731	0
SLC12A7	0.5	0.182175706938076	100	0.0176110638579822	159	0.817629301680661	0
GSTM3	0.5	0.188511336605153	78	0.049487050435184	39	0.812361965075204	0
ZNF266	0.5	0.190646263109273	68	0.0795886729153823	26	0.810838503383114	0
ATP1A4	0.5	0.191327473849317	79	0.0478892212639058	28	0.810097006899029	0
PRUNE2	0.5	0.191488148101944	82	0.0406059073142494	91	0.808936593803991	0
VASH1	0.5	0.192946690010365	75	0.0570402094699557	31	0.808368758523966	0
B4GALNT3	0.5	0.192848884007242	42	0.0392409421877052	45	0.807594767769647	0
CLEC12B	0.5	0.194023880956401	84	0.0374241680079266	60	0.806256205618031	0
FAM3B	0.5	0.195181464026214	81	0.0362180322878349	94	0.805618443602758	0
FLYWCH1	0.5	0.197292893536122	41	0.0431442443468595	41	0.803731488749395	0
RNASET2	0.5	0.197614591387548	77	0.0517568122593502	57	0.802856155060341	0
SH3YL1	0.5	0.198668019748294	79	0.0469473690487683	31	0.801776612280766	0
JUP	0.5	0.19995579003717	78	0.0494586433557487	28	0.800790386422674	0
MYH11	0.5	0.200167697869468	41	0.0433725190224242	28	0.800635067080533	0
UPK3B	0.5	0.201170685019988	87	0.032303978799469	48	0.798968258310918	9.88131291682493e-323
ZNF641	0.5	0.20365403488097	71	0.0689700331303031	21	0.797971528905473	9.09080788347894e-322
MFN2	0.5	0.20458222529705	38	0.0538632585797362	26	0.796227713700327	4.74303020007597e-320
NUDT2	0.5	0.205091155607777	90	0.0236728134941493	62	0.794831920426201	1.09691466558382e-318
SIRPB1	0.5	0.20724349239038	71	0.05953913956643	39	0.794654429573398	1.63294624738282e-318
TMEM176B	0.5	0.208050719217538	77	0.0492202552947905	38	0.793032038589428	6.10374034781251e-317
LYZ	0.5	0.208397788234801	74	0.0591861240511533	29	0.792659472939754	1.39634532413475e-316
ARHGEF17	0.5	0.208196028482336	77	0.0512465551608351	46	0.79233051931915	2.89589582340302e-316
TMEM176A	0.5	0.208905602610347	81	0.0418684728996399	48	0.791722781242681	1.1110453383074e-315
CEACAM21	0.5	0.210366454880487	47	0.0234695245612938	71	0.789691674266806	9.66158428795203e-314
GM2A	0.5	0.211810047792893	83	0.0388003966504791	59	0.788874582405576	5.75357941075816e-313
PAM	0.5	0.211607467122114	89	0.029689777176423	67	0.788467760780266	1.39518109654267e-312
TAPBPL	0.5	0.21591657876299	68	0.077024266941326	16	0.785929684871094	3.37345045518699e-310
ACTA2	0.5	0.216668982061828	66	0.084922809975374	18	0.785301047196623	1.30031147798365e-309
WBSCR27	0.5	0.21637620821967	45	0.0292653095193395	43	0.783614978298046	4.75616222615784e-308
ARL16	0.5	0.219927020525178	68	0.0780192416697951	7	0.782143965083706	1.07440342093613e-306
NBPF3	0.5	0.219143351044102	70	0.0656766143928623	35	0.781894977689156	1.81731027628098e-306
FMN1	0.5	0.219693386973611	76	0.0532874966476105	51	0.781208484654045	7.71670487671579e-306
PPT1	0.5	0.219473894566934	83	0.0351311775425049	73	0.781130090563038	9.09957996480757e-306
DCTN5	0.5	0.220997245491436	71	0.0675047241119393	25	0.780085650303322	8.13515513382301e-305
CPSF1	0.5	0.221111717945844	39	0.0510173944320893	26	0.779356616758284	3.73030648991116e-304
BTNL3	0.5	0.222960828052147	44	0.0308876246562373	59	0.77713784325378	3.72610858528032e-302
NAAA	0.5	0.225611086208913	87	0.0256697168590076	98	0.774313803899922	1.22357587795272e-299
ATOH8	0.5	0.227300221895566	72	0.0598042581279758	31	0.773665495061974	4.58001554079641e-299
NKX3-1	0.5	0.228707946643815	76	0.0520821765602972	77	0.772102645742148	1.08648071505115e-297
CD151	0.5	0.228516387831719	85	0.0335577534053703	72	0.771714785712623	2.37597038266294e-297
NFXL1	0.5	0.229338116011163	75	0.055684008248611	52	0.771239805310131	6.18307131578372e-297
SCGB3A1	0.5	0.231054128679056	74	0.0585833388677154	26	0.769966615658363	7.94971040033601e-296
B3GALNT2	0.5	0.232331511898733	68	0.0775651080913985	23	0.768985628989344	5.63334641570634e-295
APOBEC3B	0.5	0.235138004412508	71	0.0601910849445325	29	0.767435635567924	1.22214374472625e-293
RNPEP	0.5	0.232608039233016	86	0.0320041411720994	110	0.767325204822273	1.52052027205833e-293
BTNL8	0.5	0.232656208725962	46	0.0251522243935976	93	0.767235083161907	1.81711103463344e-293
MFSD9	0.5	0.233646053009041	77	0.0510164995533047	36	0.766855977694366	3.84236986860762e-293
ZFAND2A	0.5	0.234129903781985	37	0.0602035729145837	31	0.766846219875713	3.91708491717737e-293
BTN3A2	0.5	0.234228901337621	79	0.0454481311176834	49	0.766242981971288	1.28630568081727e-292
MAN2C1	0.5	0.233818452489642	43	0.0351285900632077	35	0.766172535095463	1.4776138373531e-292
TUFM	0.5	0.234851956433207	40	0.0466607741584613	42	0.765406151496855	6.66013546567807e-292
COL18A1	0.5	0.23570715457656	82	0.0371128891922033	81	0.764771799274198	2.30746592611383e-291
BEGAIN	0.5	0.237030220839801	70	0.0706202716051071	22	0.764170888073871	7.4644669442069e-291
HIP1	0.5	0.235794484788641	48	0.0219023989723769	52	0.76409108368928	8.72195487180858e-291
SMG5	0.5	0.240223096433798	67	0.08112054371739	13	0.761353904655498	1.76189687937064e-288
MZT2A	0.5	0.239499716891506	48	0.018017137846413	74	0.760257834255384	1.4512239397814e-287
CHCHD2	0.5	0.242444094565125	67	0.0755911013533816	21	0.759508112858571	6.10535371426587e-287
NQO2	0.5	0.242949632681256	75	0.0423611420466068	72	0.757764301758951	1.69651427472649e-285
TACSTD2	0.5	0.244595704118155	72	0.0640155364234973	42	0.756166189359561	3.49682301259421e-284
HLA-DQA2	0.5	0.245706522000216	41	0.0360108941904202	46	0.754674393205945	5.78923162909273e-283
CENPK	0.5	0.247623423653098	70	0.0691142411078223	89	0.753409569040611	6.17048863503884e-282
DGKQ	0.5	0.248205527380013	45	0.0283538310749928	73	0.751704020299574	1.47165358222509e-280
PPIL3	0.5	0.248969243993728	80	0.0434787208489085	43	0.751611954945186	1.74539157382992e-280
CHST13	0.5	0.249724425037971	77	0.0490640889660772	65	0.750741706842683	8.72670571032776e-280
SLC5A11	0.5	0.250617393184683	69	0.0729612899941654	37	0.750665753052342	1.0040108020418e-279
NAPRT1	0.5	0.250211217860457	49	0.0189395171164245	102	0.749544642514176	7.91265335464275e-279
FBLN5	0.5	0.252716063216313	74	0.0572730510493238	33	0.74845727531906	5.80893405408813e-278
TUBB2A	0.5	0.257423793922485	70	0.070073674714369	14	0.745391170479121	1.53238198528372e-275
FUT10	0.5	0.255492392981195	72	0.0635820105837493	32	0.745213760276035	2.11141050827063e-275
HLA-DRB1	0.5	0.256080827467967	45	0.0252257841201167	70	0.743929472675359	2.13508092629942e-274
ORMDL3	0.5	0.260380159387989	36	0.0580276360127966	31	0.740886690327473	4.89958846293284e-272
USP53	0.5	0.262064591922749	71	0.0661167432367081	17	0.739219936927575	9.36683475729071e-271
SLC9A3	0.5	0.264016514638768	37	0.0517106945063806	28	0.738017564449074	7.77908237433038e-270
LGALS2	0.5	0.265297446276814	67	0.0787474265509263	18	0.736749562995234	7.17606582217334e-269
