gene	alpha	cvm	lambda.iteration	lambda.min	n.snps	R2	pval
ZMYND11	NA	NA	NA	NA	0	NA	NA
DIP2C	NA	NA	NA	NA	0	NA	NA
PRR26	0.95	0.995938011856443	8	0.127898419388571	8	0.00285737654762553	0.311138415614614
LARP4B	NA	NA	NA	NA	0	NA	NA
GTPBP4	NA	NA	NA	NA	0	NA	NA
IDI2	0.95	0.954668312708932	16	0.145141153310967	13	0.0437533988603075	6.20447978310733e-05
IDI1	NA	NA	NA	NA	0	NA	NA
WDR37	NA	NA	NA	NA	0	NA	NA
ADARB2	0.95	0.991840800919816	8	0.157121033016297	7	0.00558570186633095	0.156462099552437
PFKP	0.95	0.96898267732382	12	0.173393741329255	6	0.0328299950522557	0.000541468744762335
PITRM1	NA	NA	NA	NA	0	NA	NA
KLF6	0.95	0.977463492519777	11	0.156995091214405	2	0.0232849321572757	0.00365766303547993
AKR1E2	NA	NA	NA	NA	0	NA	NA
AKR1C1	0.95	0.966471530765201	21	0.0786904899787993	63	0.0395212100396398	0.000143471067813435
AKR1C2	0.95	0.836863653031299	33	0.0853678100614901	54	0.161391800641673	1.96321112951687e-15
AKR1C3	0.95	0.903521305741072	30	0.0787905301601333	51	0.0946392617267757	2.36977896583366e-09
AKR1C4	NA	NA	NA	NA	0	NA	NA
UCN3	NA	NA	NA	NA	0	NA	NA
TUBAL3	0.95	0.949926476179799	15	0.163308308864297	3	0.0543509672469521	7.60581128808651e-06
NET1	0.95	1.00099101060741	8	0.137684671445417	11	0.000276359303743865	0.75292609986967
CALML5	NA	NA	NA	NA	0	NA	NA
CALML3	0.95	0.999814717705321	8	0.161174702674247	3	0.000367020337196552	0.716777730350616
ASB13	0.95	0.992959124932993	10	0.151720237291202	6	0.00471895626221134	0.192844377106452
FAM208B	NA	NA	NA	NA	0	NA	NA
GDI2	NA	NA	NA	NA	0	NA	NA
ANKRD16	NA	NA	NA	NA	0	NA	NA
FBXO18	NA	NA	NA	NA	0	NA	NA
IL15RA	NA	NA	NA	NA	0	NA	NA
IL2RA	0.95	0.975297749504995	11	0.134015982823963	10	0.0237933345329587	0.00330116699651223
RBM17	NA	NA	NA	NA	0	NA	NA
PFKFB3	0.95	0.997506127972071	5	0.183558970715999	2	0.000430351879173019	0.69444588714546
AL137145.1	NA	NA	NA	NA	0	NA	NA
DKFZP667F0711	NA	NA	NA	NA	0	NA	NA
PRKCQ	NA	NA	NA	NA	0	NA	NA
SFMBT2	0.95	0.982385379159588	14	0.124201867200855	15	0.0160915261703209	0.0158833034857041
ITIH5	NA	NA	NA	NA	0	NA	NA
ITIH2	NA	NA	NA	NA	0	NA	NA
KIN	NA	NA	NA	NA	0	NA	NA
ATP5C1	0.95	1.00420677078184	6	0.17102836042805	5	0.00081224136449544	0.589384085495142
TAF3	NA	NA	NA	NA	0	NA	NA
GATA3	0.95	0.95484283825119	27	0.073731651108075	67	0.0536319687872216	8.77088522623626e-06
CELF2	NA	NA	NA	NA	0	NA	NA
USP6NL	0.95	0.962391165868025	13	0.12168619643488	18	0.0357822874994115	0.000301162371934909
ECHDC3	0.95	0.991791783633255	10	0.147552240165195	5	0.00612551692047566	0.137764331596451
PROSER2	0.95	0.885444172969865	25	0.118185089193102	17	0.115061102855617	3.59545066244023e-11
UPF2	0.95	0.983663595374922	11	0.154291192633692	3	0.0145096103946849	0.0220756129463794
DHTKD1	0.95	1.00274666902102	9	0.130464663971858	11	0.000932569646632633	0.563031435169855
SEC61A2	NA	NA	NA	NA	0	NA	NA
NUDT5	NA	NA	NA	NA	0	NA	NA
CDC123	NA	NA	NA	NA	0	NA	NA
CAMK1D	0.95	0.997071718734175	7	0.153522717009695	8	0.00149956767749345	0.463263143856045
CCDC3	0.95	0.964298811658307	14	0.152454803668315	4	0.0363422946769318	0.000269482103957964
OPTN	NA	NA	NA	NA	0	NA	NA
MCM10	NA	NA	NA	NA	0	NA	NA
PHYH	0.95	0.829925003569924	36	0.0940687186695328	37	0.167989268153955	4.66470857024468e-16
SEPHS1	NA	NA	NA	NA	0	NA	NA
BEND7	NA	NA	NA	NA	0	NA	NA
PRPF18	0.95	0.973732703562237	16	0.122213085313858	21	0.0241056931615191	0.00309977747259737
RP11-295P9.3	NA	NA	NA	NA	0	NA	NA
FRMD4A	NA	NA	NA	NA	0	NA	NA
FAM107B	NA	NA	NA	NA	0	NA	NA
CDNF	NA	NA	NA	NA	0	NA	NA
HSPA14	0.95	0.993256003177581	8	0.158236078988255	3	0.00406048269000052	0.227145270576395
SUV39H2	NA	NA	NA	NA	0	NA	NA
DCLRE1C	NA	NA	NA	NA	0	NA	NA
MEIG1	NA	NA	NA	NA	0	NA	NA
OLAH	0.95	1.00367379452746	9	0.141966533676896	4	2.31455589434215e-05	0.927419338653419
ACBD7	0.95	1.00739676961836	7	0.139692182572856	7	0.000766990502269961	0.599949619862883
C10orf111	0.95	0.980432937826554	10	0.142985789833027	9	0.0174006808316123	0.0121210586488025
RPP38	NA	NA	NA	NA	0	NA	NA
NMT2	0.95	1.00046935282455	9	0.141994828609072	5	0.00139756939246756	0.478894549451798
FAM171A1	0.95	0.962321107701218	17	0.137993435151617	8	0.0357391726503666	0.000303750997926581
ITGA8	NA	NA	NA	NA	0	NA	NA
FAM188A	0.95	1.0019716686509	5	0.147948234407779	3	0.000645241570635452	0.630492115069425
PTER	NA	NA	NA	NA	0	NA	NA
C1QL3	0.95	0.901091712575507	23	0.141087206978387	5	0.100663056081582	6.94347000798202e-10
RSU1	NA	NA	NA	NA	0	NA	NA
