gene	alpha	cvm	lambda.iteration	lambda.min	n.snps	R2	pval
ZMYND11	1	0.977824828519869	19	0.100188038307681	14	0.0219403800326184	0.0132600061938795
DIP2C	1	1.00280984074006	2	0.175481438270155	1	0.00921538567752099	0.109607237032766
PRR26	NA	NA	NA	NA	0	NA	NA
LARP4B	1	0.993519761494992	8	0.153041897584579	5	0.00370513283584255	0.311011816157087
GTPBP4	1	1.00644022670703	4	0.182633925312281	2	0.00582607461334272	0.20370294979755
IDI2	1	0.982170059334961	14	0.115039907324706	21	0.0174958072808485	0.0271628418129604
IDI1	NA	NA	NA	NA	0	NA	NA
WDR37	1	1.00527422497694	7	0.152256779708006	4	0.000261145381048369	0.788136840099729
ADARB2	1	0.949588618246012	11	0.206733603982026	2	0.0612309032615462	2.91716147533177e-05
PFKP	1	0.99881405542597	7	0.170447998302156	6	0.000584903015887686	0.687529122974317
PITRM1	1	1.0047038115297	3	0.185940068199995	2	0.00392131613029601	0.297275181526564
KLF6	1	0.998231295498358	4	0.21134485507622	1	8.53056329717528e-05	0.877937734298278
AKR1E2	NA	NA	NA	NA	0	NA	NA
AKR1C1	NA	NA	NA	NA	0	NA	NA
AKR1C2	1	1.00352398080945	6	0.175523329554167	4	7.39319436215065e-05	0.886306828975018
AKR1C3	1	0.95970818506117	19	0.0995080343769317	29	0.0407140771963343	0.000698543572130961
AKR1C4	1	1.00712555541657	2	0.19677674046943	1	0.0209769542340019	0.015472478797335
UCN3	1	0.973345950087415	13	0.126938883331695	17	0.0237461719688886	0.00994308783526185
TUBAL3	NA	NA	NA	NA	0	NA	NA
NET1	NA	NA	NA	NA	0	NA	NA
CALML5	NA	NA	NA	NA	0	NA	NA
CALML3	NA	NA	NA	NA	0	NA	NA
ASB13	NA	NA	NA	NA	0	NA	NA
FAM208B	NA	NA	NA	NA	0	NA	NA
GDI2	1	1.0017562779719	5	0.183197790526884	2	0.000622357921060031	0.678220559239044
ANKRD16	NA	NA	NA	NA	0	NA	NA
FBXO18	1	0.972014473437904	11	0.175233160480208	2	0.027766355878788	0.0052651330892406
IL15RA	NA	NA	NA	NA	0	NA	NA
IL2RA	NA	NA	NA	NA	0	NA	NA
RBM17	1	0.998533727050334	5	0.194669271553528	2	6.88820651630976e-06	0.965190004260096
PFKFB3	1	0.992130746820999	6	0.192533599039125	2	0.0044107840890606	0.268913233051821
AL137145.1	NA	NA	NA	NA	0	NA	NA
DKFZP667F0711	NA	NA	NA	NA	0	NA	NA
PRKCQ	NA	NA	NA	NA	0	NA	NA
SFMBT2	1	1.00509521990347	14	0.117897439457801	32	0.00765738791765296	0.144872904277653
ITIH5	NA	NA	NA	NA	0	NA	NA
ITIH2	NA	NA	NA	NA	0	NA	NA
KIN	1	0.993309004523314	10	0.149816283491004	10	0.00605617547608012	0.194973889881623
ATP5C1	NA	NA	NA	NA	0	NA	NA
TAF3	NA	NA	NA	NA	0	NA	NA
GATA3	1	0.955230830512079	16	0.139923634358498	16	0.0415315949667036	0.000615383049182117
CELF2	NA	NA	NA	NA	0	NA	NA
USP6NL	1	0.996847699201194	6	0.183090716123916	3	0.000791543954800633	0.639841933164548
ECHDC3	1	0.987138682248363	7	0.171828812014572	4	0.00939893410258309	0.106117907938269
PROSER2	1	1.00497361529637	3	0.175982717028024	4	0.00290077271935075	0.370129142129083
UPF2	1	1.00047848527364	5	0.193528672676192	1	3.08380927119781e-05	0.926427037591878
DHTKD1	1	0.99471114422026	5	0.186026767932612	3	0.00188211066900443	0.470460174093163
SEC61A2	NA	NA	NA	NA	0	NA	NA
NUDT5	1	0.983634407360095	12	0.129722900124503	18	0.0146853002152998	0.0431220463260917
CDC123	NA	NA	NA	NA	0	NA	NA
CAMK1D	1	0.994166816171926	4	0.194348188538954	1	0.00232896105321602	0.422010346854644
CCDC3	NA	NA	NA	NA	0	NA	NA
OPTN	1	0.989958436630871	7	0.171338001999957	3	0.00666942277066943	0.173751146984611
MCM10	1	0.929571275470988	15	0.170615160592359	4	0.0824328822544861	1.07577856359334e-06
PHYH	1	0.704596702219065	30	0.149372946505501	2	0.310001992531534	4.08933467718049e-24
SEPHS1	1	1.0084636372391	6	0.146285690047886	9	0.000133682376992784	0.847534879163298
BEND7	NA	NA	NA	NA	0	NA	NA
PRPF18	NA	NA	NA	NA	0	NA	NA
RP11-295P9.3	NA	NA	NA	NA	0	NA	NA
FRMD4A	NA	NA	NA	NA	0	NA	NA
FAM107B	1	1.00109960966077	5	0.17326819544597	3	0.000140742493071911	0.84361099945131
CDNF	1	0.999273128381507	5	0.176747842444611	1	2.9780279670487e-05	0.927696402353401
HSPA14	1	0.994640227931375	11	0.13389129160165	15	0.00640395482180031	0.182592971279936
SUV39H2	NA	NA	NA	NA	0	NA	NA
DCLRE1C	NA	NA	NA	NA	0	NA	NA
MEIG1	1	0.997044618702941	11	0.157854817125886	5	0.002783029529157	0.380037059857528
OLAH	1	0.981629908084422	13	0.124584987345969	13	0.0162860680145915	0.0331079479275212
ACBD7	NA	NA	NA	NA	0	NA	NA
C10orf111	1	1.00123506867552	6	0.149621170680895	7	0.00028210887857807	0.780006706769737
RPP38	1	0.985561719679032	12	0.145952622226039	7	0.0110810242061109	0.0792110568671193
NMT2	NA	NA	NA	NA	0	NA	NA
FAM171A1	NA	NA	NA	NA	0	NA	NA
ITGA8	1	0.98013909277752	11	0.15232165837388	5	0.0163460666124312	0.0327834325413544
FAM188A	1	0.991008634453756	5	0.199636688624176	1	0.00634444828583971	0.184645346033264
PTER	1	0.963382975372785	13	0.156434553253636	10	0.0334157389483709	0.00217291665033754
C1QL3	1	0.914426573727868	30	0.0861956427047747	39	0.0841057668273906	8.27778980931321e-07
RSU1	1	0.938743782282134	15	0.160173440759952	7	0.066342434465208	1.3204604908799e-05
CUBN	1	1.00301021889009	6	0.179590744173685	1	0.000276652990543796	0.782090452895883
TRDMT1	1	1.00343142715114	7	0.158438330086501	8	3.01614739172717e-05	0.927236392581891
VIM	1	0.987759928136819	7	0.175214916015375	2	0.00877896426670111	0.118418935683321
ST8SIA6	1	0.998993632410679	7	0.157997487083617	9	0.000963889002802022	0.605591730918608
PTPLA	NA	NA	NA	NA	0	NA	NA
STAM	1	0.978104218908123	13	0.133577474934353	11	0.0187360153560174	0.0222046481522058
MRC1L1	1	0.999042953018097	10	0.156173181270505	11	0.00316590655858117	0.349089631951302
TMEM236	1	1.0079841267507	9	0.151989452599075	10	2.41101805561436e-05	0.934925849523457
MRC1	NA	NA	NA	NA	0	NA	NA
SLC39A12	1	0.998651294244975	6	0.175392737642391	3	0.00025119400561604	0.792118823508911
CACNB2	1	0.89754468345737	37	0.0629518034679186	73	0.113132852012885	8.3267430229234e-09
NSUN6	1	0.986376787009866	13	0.138548274303231	6	0.0108104385367464	0.0829890194843329
ARL5B	NA	NA	NA	NA	0	NA	NA
C10orf112	1	0.734384908649626	42	0.0718887850324491	58	0.263004322425512	4.07345327624161e-20
PLXDC2	1	0.962408905146142	18	0.115954229163557	27	0.0350317208687091	0.00168904421541368
NEBL	NA	NA	NA	NA	0	NA	NA
CASC10	NA	NA	NA	NA	0	NA	NA
SKIDA1	1	0.993569418357962	15	0.105400723593603	13	0.00750244004767544	0.149020255994401
MLLT10	NA	NA	NA	NA	0	NA	NA
DNAJC1	NA	NA	NA	NA	0	NA	NA
COMMD3	1	0.989801304492021	20	0.0784215662340943	32	0.0197184532809577	0.0189443081243886
BMI1	NA	NA	NA	NA	0	NA	NA
SPAG6	NA	NA	NA	NA	0	NA	NA
PIP4K2A	1	0.914529959296854	34	0.0644746477499011	44	0.0909823604235525	2.81014525018604e-07
ARMC3	1	0.988341750289511	14	0.109026486309386	23	0.0114948565638684	0.0737848940296731
MSRB2	NA	NA	NA	NA	0	NA	NA
PTF1A	1	1.00091325698689	8	0.136788164405472	4	0.000603067545080744	0.682972660267176
C10orf115	NA	NA	NA	NA	0	NA	NA
C10orf67	1	1.00229781857314	4	0.228721929362725	1	0.00231359094853972	0.42354777590633
OTUD1	NA	NA	NA	NA	0	NA	NA
KIAA1217	1	0.869794684612385	20	0.170244971825625	9	0.13693770810947	1.756182839792e-10
ARHGAP21	1	0.983155020167534	16	0.0920334188688324	41	0.0227309876285857	0.0116873919334677
PRTFDC1	1	0.946394009098639	13	0.178467862039435	3	0.0625559870536207	2.37564549826829e-05
