gene	alpha	cvm	lambda.iteration	lambda.min	n.snps	R2	pval
TUBB8	0.5	1.00340684376752	3	0.277761429213374	2	0.00752725788645099	0.110818595660138
ZMYND11	NA	NA	NA	NA	0	NA	NA
DIP2C	0.5	0.984775182454734	14	0.230535721756923	20	0.0132245799277947	0.034298323185624
PRR26	NA	NA	NA	NA	0	NA	NA
LARP4B	0.5	0.997210650916101	5	0.311284417464572	2	0.000505724453713865	0.679916784396782
AL359878.1	NA	NA	NA	NA	0	NA	NA
GTPBP4	0.5	0.966661996227184	18	0.222583847301905	23	0.0304972746895575	0.00124514392084881
IDI2	NA	NA	NA	NA	0	NA	NA
IDI1	NA	NA	NA	NA	0	NA	NA
WDR37	0.5	0.959396601941223	19	0.225296163845399	24	0.0378338611464597	0.00031512936350115
ADARB2	0.5	0.46716030750916	46	0.178739390653318	28	0.5426503896066	3.3213187130621e-59
PFKP	0.5	0.808951579022115	28	0.235543003724203	24	0.200418890260615	4.11338618391823e-18
PITRM1	0.5	0.890452172759275	22	0.26273955050378	20	0.117486058495134	8.86648715513014e-11
KLF6	NA	NA	NA	NA	0	NA	NA
AKR1E2	0.5	0.987746715643359	10	0.303825549113623	5	0.00936319066441266	0.0752064583178132
AKR1C1	0.5	0.774812056781509	31	0.21958166577077	28	0.231353249590108	4.97133187263027e-21
AKR1C2	0.5	0.926527741252993	18	0.3092105177245	6	0.0797738221763324	1.22860324316134e-07
AKR1C3	0.5	0.999389065310147	4	0.325539102442992	3	0.000276884487678501	0.76016692847146
AKR1CL1	NA	NA	NA	NA	0	NA	NA
AKR1C4	NA	NA	NA	NA	0	NA	NA
UCN3	NA	NA	NA	NA	0	NA	NA
TUBAL3	NA	NA	NA	NA	0	NA	NA
NET1	NA	NA	NA	NA	0	NA	NA
CALML5	0.5	0.998751015584554	2	0.337821068544451	1	0.00156894949230654	0.467294305919826
CALML3	0.5	1.00767917832191	5	0.300195193992732	5	0.00213032290405239	0.39692593721521
ASB13	0.5	0.978987740228231	13	0.25463218688866	11	0.0181426725529865	0.0130590728759636
FAM208B	0.5	0.943760879038151	22	0.18516343492774	46	0.0543449369022539	1.44946790614317e-05
GDI2	0.5	0.873327444682207	31	0.205050460286911	38	0.125881771229717	1.71361452869789e-11
ANKRD16	NA	NA	NA	NA	0	NA	NA
FBXO18	0.5	0.959536914313088	14	0.296358016077799	11	0.0423342826848731	0.00013606146895338
IL15RA	0.5	0.94018784797762	18	0.225975280527389	24	0.0592281174123031	5.82442939623084e-06
IL2RA	NA	NA	NA	NA	0	NA	NA
RBM17	NA	NA	NA	NA	0	NA	NA
PFKFB3	NA	NA	NA	NA	0	NA	NA
AL137145.1	0.5	0.974387602362511	13	0.32433381378778	3	0.024830233702319	0.00362863851527208
DKFZP667F0711	0.5	0.964353651039784	19	0.262879592785354	21	0.0328198349789326	0.000805191376856073
PRKCQ	NA	NA	NA	NA	0	NA	NA
SFMBT2	0.5	0.983665297073619	11	0.312935018180945	7	0.0135828721132791	0.0319351558949041
ITIH5	0.5	1.00476202365196	6	0.298626010149331	7	0.00103990333676111	0.554050881914445
ITIH2	0.5	0.913354560123689	21	0.169707250899887	70	0.0839819563897698	5.540353182462e-08
KIN	0.5	0.994746031670402	11	0.252894971383761	17	0.00522608208821639	0.184226993869169
ATP5C1	0.5	0.996308650928489	7	0.344065240045083	4	0.00138570321731402	0.494549443152325
TAF3	NA	NA	NA	NA	0	NA	NA
GATA3	NA	NA	NA	NA	0	NA	NA
CELF2	NA	NA	NA	NA	0	NA	NA
USP6NL	0.5	1.00412728226927	6	0.315657972104032	2	0.00220828363997091	0.388411188373786
ECHDC3	0.5	0.945250030187836	23	0.223897278085974	40	0.0519550157001984	2.26363906002943e-05
PROSER2	0.5	0.934967000996197	23	0.216467904362061	37	0.0626077060256532	3.0960840487917e-06
UPF2	NA	NA	NA	NA	0	NA	NA
DHTKD1	NA	NA	NA	NA	0	NA	NA
SEC61A2	0.5	0.927960880866711	18	0.292960534160294	13	0.083173826417871	6.45713032616246e-08
NUDT5	0.5	1.00070870223211	7	0.371890818349466	1	2.61973046242587e-07	0.992508741418032
CDC123	NA	NA	NA	NA	0	NA	NA
CAMK1D	0.5	0.86792496924855	27	0.230526547669173	24	0.132318963747447	4.81547002549631e-12
CCDC3	0.5	0.987210561256075	10	0.302988246411562	7	0.00996545449882513	0.0663855289751377
OPTN	0.5	1.01144549665045	3	0.336407987487708	1	0.0298929200696548	0.0013949738331325
MCM10	0.5	0.990943861221736	11	0.281310330815734	18	0.00789910731000392	0.102345444156599
UCMA	NA	NA	NA	NA	0	NA	NA
PHYH	0.5	1.005242009079	6	0.322868133584892	4	0.00195130332288767	0.41753038381755
AL138764.1	NA	NA	NA	NA	0	NA	NA
SEPHS1	NA	NA	NA	NA	0	NA	NA
BEND7	NA	NA	NA	NA	0	NA	NA
PRPF18	0.5	0.991913501146151	9	0.245012981831635	13	0.005445989621019	0.175234021621763
RP11-295P9.3	0.5	0.888824697738072	23	0.248184564716048	28	0.11804385392608	7.95247518940577e-11
FRMD4A	0.5	0.963642669362982	15	0.209144148106878	36	0.0340058843681769	0.000644746052802176
FAM107B	NA	NA	NA	NA	0	NA	NA
CDNF	0.5	0.989806569370258	8	0.277092473754342	5	0.00733144596102158	0.115586752967363
HSPA14	0.5	1.00081365889298	6	0.334299758855222	3	0.00011800609793306	0.842045840493929
SUV39H2	0.5	1.00392989082202	3	0.31980156331213	1	0.0136791830117335	0.0313292272660626
DCLRE1C	NA	NA	NA	NA	0	NA	NA
MEIG1	0.5	1.01041905216167	3	0.346371853432004	2	0.0273616646149517	0.00224750555349563
OLAH	0.5	0.984091442862815	13	0.302385531892603	7	0.0130059478091119	0.0358290418081458
ACBD7	0.5	0.994032036442328	8	0.320643481377126	5	0.00306933521918552	0.309122526181121
C10orf111	NA	NA	NA	NA	0	NA	NA
RPP38	0.5	1.00246022792685	11	0.238795203351758	12	0.000144468469328727	0.825487146924768
NMT2	0.5	0.970065201525003	13	0.306933480666153	5	0.0312424522191295	0.00108249197202708
FAM171A1	NA	NA	NA	NA	0	NA	NA
ITGA8	NA	NA	NA	NA	0	NA	NA
FAM188A	0.5	0.988880497401592	10	0.289284476392997	3	0.00841553103154618	0.0917261844517677
PTER	0.5	0.972469170010624	17	0.205257883412119	24	0.0249189890230385	0.00356805532445962
