gene	alpha	cvm	lambda.iteration	lambda.min	n.snps	R2	pval
ZMYND11	NA	NA	NA	NA	0	NA	NA
DIP2C	NA	NA	NA	NA	0	NA	NA
PRR26	NA	NA	NA	NA	0	NA	NA
LARP4B	NA	NA	NA	NA	0	NA	NA
GTPBP4	0.05	0.998880689174513	9	2.61288112709746	29	0.000172784499437961	0.821224986527803
IDI2	NA	NA	NA	NA	0	NA	NA
IDI1	NA	NA	NA	NA	0	NA	NA
WDR37	0.05	0.980080842111169	18	2.10694801444255	104	0.0174788009413526	0.0224485796023193
ADARB2	NA	NA	NA	NA	0	NA	NA
PFKP	0.05	1.00563853678204	4	3.45512507183786	5	0.0222077814617329	0.00999159091721735
PITRM1	0.05	0.998609055844481	16	2.33226449036612	95	0.00350329160743601	0.308510363684663
KLF6	NA	NA	NA	NA	0	NA	NA
AKR1E2	0.05	0.994018793214544	11	2.69510449932826	74	0.00269642506551165	0.371730598356796
AKR1C1	NA	NA	NA	NA	0	NA	NA
AKR1C2	0.05	0.983607201331597	14	2.32490610426081	49	0.013261855612684	0.0470078009456068
AKR1C3	0.05	0.979384689310467	14	2.67052754945573	28	0.0189493701766352	0.017422595158025
AKR1C4	0.05	1.00278850377662	6	3.45452811038717	8	0.00674325310586405	0.15736306249483
UCN3	NA	NA	NA	NA	0	NA	NA
TUBAL3	NA	NA	NA	NA	0	NA	NA
NET1	NA	NA	NA	NA	0	NA	NA
CALML5	0.05	0.99256637500908	16	2.17422172956068	73	0.00557081154682003	0.198852687794086
CALML3	0.05	0.998907095670449	7	2.91933838550657	15	7.61142282456941e-05	0.880783965033723
ASB13	0.05	0.972234588249462	16	2.64740730690186	39	0.0278327165142283	0.00387551806116625
FAM208B	0.05	1.00079668763486	10	2.83564281821745	36	0.000255932643999171	0.783298237951834
GDI2	NA	NA	NA	NA	0	NA	NA
ANKRD16	0.05	1.00004736650712	11	2.4853710498391	31	0.000161457855964967	0.827088648736691
FBXO18	0.05	0.980526174334841	14	2.1291581986724	69	0.0164027059571482	0.0270563743662277
IL15RA	NA	NA	NA	NA	0	NA	NA
IL2RA	0.05	0.999230116018143	7	2.87795299135882	13	0.000163405692071144	0.826065267720312
RBM17	NA	NA	NA	NA	0	NA	NA
PFKFB3	NA	NA	NA	NA	0	NA	NA
AL137145.1	0.05	1.00400369008009	4	3.14976395800194	6	0.01882452015617	0.0178003473682502
DKFZP667F0711	NA	NA	NA	NA	0	NA	NA
PRKCQ	0.05	1.00330341073472	12	2.27072080195194	84	0.000471470567896543	0.708925451132378
SFMBT2	0.05	1.00244983645035	17	1.95293656809755	128	0.0040581399142986	0.272997618345686
ITIH5	NA	NA	NA	NA	0	NA	NA
ITIH2	0.05	0.963926101984377	18	2.06556609941114	112	0.0329798222436492	0.00164389849928539
KIN	0.05	1.00138689072662	9	2.97548689944294	17	0.000218361051871624	0.799469963343181
ATP5C1	0.05	1.00096000728485	6	3.5768847249396	6	0.00388760874624034	0.28333374528322
TAF3	0.05	1.00026677727244	8	3.07466167064584	13	0.000657758751870722	0.659253253065747
GATA3	NA	NA	NA	NA	0	NA	NA
CELF2	0.05	0.988349494409338	15	2.20420063471557	52	0.00836586436752157	0.115117813251172
USP6NL	NA	NA	NA	NA	0	NA	NA
ECHDC3	0.05	1.00407519663174	5	3.57442340468704	2	0.0206459166959468	0.0130320433228891
PROSER2	0.05	0.986267331340273	16	2.14119114067308	79	0.010987126723129	0.0707871185714872
UPF2	NA	NA	NA	NA	0	NA	NA
DHTKD1	NA	NA	NA	NA	0	NA	NA
SEC61A2	NA	NA	NA	NA	0	NA	NA
NUDT5	NA	NA	NA	NA	0	NA	NA
CDC123	0.05	0.99598475503319	13	2.44432231073958	48	0.00208590573199832	0.432153115570227
CAMK1D	0.05	0.982900557887133	15	2.36095111812863	72	0.0137990030991434	0.042730952890775
CCDC3	NA	NA	NA	NA	0	NA	NA
OPTN	0.05	0.97367371586959	19	1.65398056324699	127	0.0249788617745531	0.00625600648453376
MCM10	NA	NA	NA	NA	0	NA	NA
PHYH	0.05	0.996147108793	6	3.63747907185338	3	0.000516094665183524	0.696114493376175
SEPHS1	0.05	0.992355017648807	15	2.31978600654855	73	0.00580438302206318	0.189667787977385
BEND7	NA	NA	NA	NA	0	NA	NA
PRPF18	0.05	1.00935888553354	9	2.68971027720952	34	0.00258420852618895	0.381885506087033
RP11-295P9.3	NA	NA	NA	NA	0	NA	NA
FRMD4A	0.05	0.987715230874504	15	2.50725846406555	72	0.00946919009392116	0.0935916573817315
FAM107B	NA	NA	NA	NA	0	NA	NA
CDNF	NA	NA	NA	NA	0	NA	NA
HSPA14	NA	NA	NA	NA	0	NA	NA
SUV39H2	0.05	1.00288987071598	6	3.38918840033638	2	0.0138441364176423	0.0423906485678664
DCLRE1C	0.05	1.00167497318177	3	3.75925237883043	2	0.017407367445143	0.0227277483710947
MEIG1	NA	NA	NA	NA	0	NA	NA
OLAH	NA	NA	NA	NA	0	NA	NA
ACBD7	NA	NA	NA	NA	0	NA	NA
C10orf111	0.05	0.991236072055836	16	2.15970723826393	42	0.00611145627732897	0.178330729160937
RPP38	NA	NA	NA	NA	0	NA	NA
NMT2	0.05	0.992168010997061	11	2.80006073488106	10	0.00525695510207684	0.21202707483767
FAM171A1	NA	NA	NA	NA	0	NA	NA
ITGA8	0.05	0.979713687655882	16	1.87166075018886	90	0.0170036207265922	0.0243743291769366
FAM188A	0.05	1.0023475881099	6	3.07450249350624	12	0.00405036403194809	0.273458541763296
