gene	alpha	cvm	lambda.iteration	lambda.min	n.snps	R2	pval
ZMYND11	NA	NA	NA	NA	0	NA	NA
DIP2C	NA	NA	NA	NA	0	NA	NA
PRR26	NA	NA	NA	NA	0	NA	NA
LARP4B	NA	NA	NA	NA	0	NA	NA
GTPBP4	1	0.998850715278667	6	0.150208917701151	5	0.000393973186487571	0.732925724112966
IDI2	NA	NA	NA	NA	0	NA	NA
IDI1	NA	NA	NA	NA	0	NA	NA
WDR37	1	0.990367358210146	8	0.167742853493052	6	0.00657604506125688	0.162625280178162
ADARB2	NA	NA	NA	NA	0	NA	NA
PFKP	1	1.00020850600392	5	0.164904215244822	3	3.22281050857184e-05	0.922258825243475
PITRM1	1	1.00964748001232	11	0.147149200014948	12	0.000105356702156437	0.85994045284592
KLF6	NA	NA	NA	NA	0	NA	NA
AKR1E2	1	0.983935724735931	12	0.128630392018808	15	0.0134866425599589	0.0451658871604671
AKR1C1	NA	NA	NA	NA	0	NA	NA
AKR1C2	1	0.973361172972479	11	0.133653852850838	11	0.0240905557833333	0.00726625087146623
AKR1C3	1	0.985312678849329	11	0.153522886569455	7	0.011416876493018	0.0654696038480858
AKR1C4	1	1.00436295902757	5	0.180950903344816	4	0.00152336374810105	0.502098579702808
UCN3	NA	NA	NA	NA	0	NA	NA
TUBAL3	NA	NA	NA	NA	0	NA	NA
NET1	NA	NA	NA	NA	0	NA	NA
CALML5	1	0.991545060473421	9	0.15055250208285	9	0.00551480303582431	0.201131655121534
CALML3	1	1.00108089150887	6	0.152917244019011	7	0.000270399006006142	0.777414221670757
ASB13	1	0.96922634562649	12	0.159440573683513	4	0.0312066918540495	0.00220735785281377
FAM208B	1	1.00687311130852	7	0.163015008334743	8	4.20080104548947e-07	0.991110522557882
GDI2	NA	NA	NA	NA	0	NA	NA
ANKRD16	1	1.00837002426546	8	0.142878637535576	6	0.000147198134980233	0.834786049154355
FBXO18	1	0.969793433367174	12	0.116837424729119	26	0.0269898586541035	0.00446293997535063
IL15RA	NA	NA	NA	NA	0	NA	NA
IL2RA	1	1.00016396493444	8	0.137357279312344	14	0.00191285162401513	0.451936754784548
RBM17	NA	NA	NA	NA	0	NA	NA
PFKFB3	NA	NA	NA	NA	0	NA	NA
AL137145.1	1	1.00521708328493	3	0.164987116998598	2	0.00820457081321447	0.118694951098929
DKFZP667F0711	NA	NA	NA	NA	0	NA	NA
PRKCQ	1	0.992827680883404	12	0.113536040097597	25	0.0128572061544401	0.0505249205940309
SFMBT2	NA	NA	NA	NA	0	NA	NA
ITIH5	NA	NA	NA	NA	0	NA	NA
ITIH2	1	0.964182005349482	10	0.149839137045564	10	0.0352558793779971	0.00112705122205884
KIN	1	1.00262381929208	8	0.155858347403785	5	0.000720406936609829	0.64445931650962
ATP5C1	1	0.996892666131104	6	0.17884423624698	3	0.000663301728675202	0.657911094323872
TAF3	1	0.999322190981334	9	0.146745677623614	8	0.00208757156753546	0.431969153643764
GATA3	NA	NA	NA	NA	0	NA	NA
CELF2	1	0.951340770577667	13	0.120955373774967	10	0.0500118859797329	9.87216426021873e-05
USP6NL	NA	NA	NA	NA	0	NA	NA
ECHDC3	1	1.00157817853289	5	0.178721170234352	1	0.000744708472214663	0.638930468348311
PROSER2	1	0.98975002025693	8	0.155325086357452	10	0.00691795509675957	0.152069847102628
UPF2	NA	NA	NA	NA	0	NA	NA
DHTKD1	NA	NA	NA	NA	0	NA	NA
SEC61A2	NA	NA	NA	NA	0	NA	NA
NUDT5	NA	NA	NA	NA	0	NA	NA
CDC123	1	0.98929710972378	7	0.161562512134011	4	0.00738733464291562	0.138813227603207
CAMK1D	1	0.988359781447718	11	0.142188699008193	15	0.0096548963322201	0.0904193283309406
CCDC3	NA	NA	NA	NA	0	NA	NA
OPTN	1	0.980502360545714	14	0.104354337909531	39	0.0226974209950945	0.00919575159853319
MCM10	NA	NA	NA	NA	0	NA	NA
PHYH	1	0.991585204013126	5	0.190534018805816	2	0.0061449209612974	0.177143113353647
SEPHS1	1	0.990080585067391	10	0.146361896980176	11	0.00843567233842223	0.11360648869414
BEND7	NA	NA	NA	NA	0	NA	NA
PRPF18	1	1.00814672739512	11	0.122538191466719	16	0.0018286955920707	0.46207025821169
RP11-295P9.3	NA	NA	NA	NA	0	NA	NA
FRMD4A	1	0.985564515781941	9	0.1657224066744	7	0.0111244356245541	0.0690398435241443
FAM107B	NA	NA	NA	NA	0	NA	NA
CDNF	NA	NA	NA	NA	0	NA	NA
HSPA14	NA	NA	NA	NA	0	NA	NA
SUV39H2	1	1.00093679121246	6	0.169459420016819	2	4.70337070142687e-05	0.906152279059071
DCLRE1C	NA	NA	NA	NA	0	NA	NA
MEIG1	NA	NA	NA	NA	0	NA	NA
OLAH	1	1.00701010497121	6	0.167024007072341	1	0.00512674795762632	0.21779299745048
ACBD7	NA	NA	NA	NA	0	NA	NA
C10orf111	1	0.98692386122054	15	0.113127166210958	20	0.0136074185225988	0.0442076215688445
RPP38	NA	NA	NA	NA	0	NA	NA
NMT2	1	0.984602320662588	9	0.153653159991877	2	0.0139569396456282	0.0415524452068565
FAM171A1	NA	NA	NA	NA	0	NA	NA
ITGA8	1	0.985257458368358	15	0.0980390642887988	29	0.0163171409311433	0.0274623714256778
FAM188A	1	1.000865808235	5	0.161044862209412	3	8.89154144222125e-05	0.871228803863962
PTER	1	0.965453380582838	12	0.146883961041488	6	0.0326566719785336	0.00173453001537888
C1QL3	1	0.914454542851148	18	0.162848971668714	4	0.0914116809210349	1.02404339034847e-07
