gene	alpha	cvm	lambda.iteration	lambda.min	n.snps	R2	pval
ZMYND11	1	0.999704947659853	8	0.110724172052136	4	0.000274646232518126	0.725887611622164
DIP2C	1	0.988110445455108	16	0.0731649143632672	40	0.0173651183517293	0.00511260539431894
PRR26	NA	NA	NA	NA	0	NA	NA
LARP4B	1	0.962669959999793	20	0.0964015262005077	17	0.0352554500117618	6.13115717910397e-05
GTPBP4	1	0.937858624855921	27	0.0832167498552153	32	0.0606046697999718	1.22742026634207e-07
IDI2	NA	NA	NA	NA	0	NA	NA
IDI1	1	0.992483433326213	9	0.130366104533123	4	0.00540490375279392	0.119393642564132
WDR37	1	0.94757169860335	19	0.109855212128839	13	0.0520023099417009	1.01573451466038e-06
ADARB2	1	0.640231155093149	48	0.0680828701025249	50	0.358661427608956	3.84216633608588e-45
PFKP	1	0.985721291733269	17	0.107303893157581	20	0.0145487584931982	0.0104389760467013
PITRM1	1	0.763859619585594	41	0.0626289401404506	72	0.234484738241429	7.82652152050409e-28
KLF6	1	1.00193314151335	6	0.130455789349564	6	9.06719879107397e-06	0.94920971482387
AKR1E2	1	0.826193486828961	32	0.0875872808981819	22	0.175189947220222	1.63364132263173e-20
AKR1C1	1	0.920488988074628	21	0.132424430914685	4	0.084881101994022	2.97010051282958e-10
AKR1C2	1	0.764725760534982	38	0.0898556316281986	19	0.235688865654864	5.4870057666458e-28
AKR1C3	1	0.965739393735179	18	0.102108894712608	23	0.0321482709723694	0.000131320925928607
AKR1C4	1	0.993146904355569	8	0.13834977388201	5	0.00464305861084139	0.148985286499576
UCN3	NA	NA	NA	NA	0	NA	NA
TUBAL3	1	0.955652226932231	17	0.118293716948395	10	0.0449230325474417	5.75290922004133e-06
NET1	1	0.995122962641469	13	0.0982352485224381	26	0.00683617300589473	0.0797643980532933
CALML5	1	0.997616832790917	6	0.147237507820703	2	0.000697170636294123	0.576398742242827
CALML3	NA	NA	NA	NA	0	NA	NA
ASB13	1	0.8971514371598	28	0.0580068204551522	94	0.104602646934626	2.04138708144163e-12
FAM208B	NA	NA	NA	NA	0	NA	NA
GDI2	1	0.895027654805603	24	0.127163219658659	5	0.110264179351324	4.80678889307655e-13
ANKRD16	1	0.88012232973466	38	0.0569490228608684	84	0.121341352791791	2.77362430978839e-14
FBXO18	1	0.971548406143983	17	0.106677939392077	13	0.0264138501332442	0.000537991668670067
IL15RA	1	0.897095980522299	34	0.0656298611539737	67	0.103207387350336	2.91205385470071e-12
IL2RA	1	0.918820121262255	22	0.102727092059576	22	0.0823407748806263	5.6070020833516e-10
RBM17	NA	NA	NA	NA	0	NA	NA
PFKFB3	NA	NA	NA	NA	0	NA	NA
AL137145.1	1	0.929106742636041	19	0.127073377259291	7	0.0763821132347849	2.47667487051425e-09
DKFZP667F0711	1	0.915858653264558	29	0.0828152708677083	45	0.0822851418979933	5.6854902249362e-10
PRKCQ	1	0.997861991883546	4	0.158774043283367	1	0.000224943665990795	0.751022686030811
SFMBT2	NA	NA	NA	NA	0	NA	NA
ITIH5	1	0.992905940044552	13	0.114699654761475	15	0.00726039439406247	0.0709509220638338
ITIH2	1	0.745814867079886	39	0.0797707835236849	32	0.256158799355328	1.20397281276798e-30
KIN	1	0.858686822490045	29	0.10323977299766	16	0.141396323502993	1.46129753035961e-16
ATP5C1	1	0.967510956464456	20	0.0935662033367116	27	0.0317315283023591	0.000145459850828758
TAF3	1	1.00287111643749	3	0.148362640989711	2	0.00536955859672569	0.120612085667195
