gene	alpha	cvm	lambda.iteration	lambda.min	n.snps	R2	pval
TUBB8	0.95	0.959292482860041	14	0.174382036571754	2	0.0416246394446149	0.000351080023100993
ZMYND11	NA	NA	NA	NA	0	NA	NA
DIP2C	NA	NA	NA	NA	0	NA	NA
PRR26	NA	NA	NA	NA	0	NA	NA
LARP4B	0.95	0.990173578498797	9	0.159955433283075	5	0.00661792764149459	0.157787660213041
AL359878.1	0.95	0.981437769448758	12	0.137512123509859	10	0.0156986439010868	0.0292153233140272
GTPBP4	0.95	0.956493878322913	15	0.139278668752224	11	0.0420430391513163	0.000327303200885957
IDI2	0.95	0.994746032866369	13	0.122324969513607	17	0.0101796025911803	0.0795214535246807
IDI1	NA	NA	NA	NA	0	NA	NA
WDR37	0.95	0.995045874172656	6	0.180256312893456	2	0.00174155977480335	0.469226975054488
ADARB2	NA	NA	NA	NA	0	NA	NA
PFKP	0.95	0.91089382897441	23	0.113239462581542	41	0.0868873516777589	1.72897649292562e-07
PITRM1	0.95	0.832784752660511	28	0.0920125104017613	53	0.166760081529044	1.31903192621296e-13
KLF6	NA	NA	NA	NA	0	NA	NA
AKR1E2	0.95	0.9094112275426	25	0.11196767016232	32	0.0875786185657823	1.53702296243934e-07
AKR1C1	0.95	0.839598385395263	23	0.16927915880241	7	0.174150907435396	3.37937734373764e-14
AKR1C2	0.95	0.818060076289553	25	0.158325617869466	9	0.191479762021372	1.32696199779576e-15
AKR1C3	0.95	0.998879026242401	9	0.157056355801751	11	0.00315464056896807	0.329854336479371
AKR1CL1	0.95	0.996812071598712	5	0.183877655020983	2	0.0007534558315522	0.634131891523464
AKR1C4	0.95	0.995313068031493	5	0.176468533510138	2	0.00152973503414084	0.497606181829102
UCN3	NA	NA	NA	NA	0	NA	NA
TUBAL3	0.95	0.953785424139633	14	0.147653438670658	11	0.0440073410335329	0.000235516913925988
NET1	NA	NA	NA	NA	0	NA	NA
CALML5	0.95	0.961858822338828	14	0.170292520113845	7	0.0374411222681474	0.000708364885298348
CALML3	0.95	0.975105483315568	15	0.143409461292301	18	0.0229268139030788	0.00828993027194561
ASB13	0.95	1.0102455370204	7	0.155436922495855	13	5.25754647101757e-08	0.996828585390996
FAM208B	NA	NA	NA	NA	0	NA	NA
GDI2	0.95	0.964920960598206	10	0.199397731914232	3	0.0408270130069215	0.00040131023065653
ANKRD16	0.95	0.926233303498932	20	0.139800389456069	19	0.0712723036012015	2.43237185975469e-06
FBXO18	0.95	0.926533163420998	26	0.10443129106664	41	0.0713902442465092	2.38450269417065e-06
IL15RA	NA	NA	NA	NA	0	NA	NA
IL2RA	NA	NA	NA	NA	0	NA	NA
RBM17	NA	NA	NA	NA	0	NA	NA
PFKFB3	NA	NA	NA	NA	0	NA	NA
AL137145.1	0.95	1.00091191648718	6	0.175663882856992	6	4.89070277671132e-05	0.903508115428188
DKFZP667F0711	0.95	0.917072804717054	22	0.0926178228977933	56	0.0808602522082635	4.81230824462016e-07
PRKCQ	NA	NA	NA	NA	0	NA	NA
SFMBT2	0.95	0.99028022064281	8	0.185448935113299	2	0.00801300795829405	0.11997754198605
ITIH5	NA	NA	NA	NA	0	NA	NA
ITIH2	0.95	0.816605219254095	33	0.104318799461976	35	0.182003007147065	7.85540012889829e-15
KIN	NA	NA	NA	NA	0	NA	NA
ATP5C1	NA	NA	NA	NA	0	NA	NA
TAF3	NA	NA	NA	NA	0	NA	NA
GATA3	0.95	0.963351214155289	16	0.120845945941839	27	0.0341539552681328	0.00123135832261825
CELF2	0.95	0.976487986797832	13	0.152889596075399	9	0.0205525297293174	0.0124867453473781
USP6NL	0.95	0.981563424663222	11	0.152668454042284	12	0.0159303326400754	0.0280397462588425
ECHDC3	0.95	0.610398149484095	43	0.0715163312471234	48	0.393369253884902	1.55896971696374e-34
PROSER2	NA	NA	NA	NA	0	NA	NA
UPF2	0.95	1.00420819251074	11	0.134438276184003	22	0.00378564247330862	0.285705913195307
DHTKD1	NA	NA	NA	NA	0	NA	NA
SEC61A2	0.95	0.990946912407028	16	0.116106563447843	20	0.0121334898707219	0.0554525414402703
NUDT5	0.95	0.959362154434721	14	0.148693851549097	15	0.0385284203132777	0.000590145364757212
CDC123	NA	NA	NA	NA	0	NA	NA
CAMK1D	0.95	0.997894909393404	7	0.194350756689333	2	0.00086163753827379	0.610784530932126
CCDC3	0.95	0.911219667886516	18	0.122452052189047	21	0.0879023310984133	1.45458101668916e-07
OPTN	0.95	0.997390995855344	10	0.152149995329969	12	0.00306321644684132	0.336973722529262
MCM10	NA	NA	NA	NA	0	NA	NA
UCMA	0.95	1.00430822208782	5	0.192609326171122	1	0.00191871745754155	0.447439709692997
PHYH	0.95	0.95212665810729	19	0.138815038597558	18	0.0481462469691817	0.000117776552471212
AL138764.1	NA	NA	NA	NA	0	NA	NA
SEPHS1	NA	NA	NA	NA	0	NA	NA
BEND7	0.95	0.99685410045731	9	0.153854544545352	9	0.00377337698138811	0.286489239891327
PRPF18	NA	NA	NA	NA	0	NA	NA
RP11-295P9.3	0.95	0.894808334026644	23	0.14755689734881	12	0.104949548669882	7.82326803993694e-09
FRMD4A	0.95	0.981353319621353	9	0.182828912077133	6	0.0164652413252222	0.025508805850247
FAM107B	0.95	0.978285033232623	16	0.136025115018996	20	0.019666699082897	0.0145615608059813
CDNF	NA	NA	NA	NA	0	NA	NA
HSPA14	NA	NA	NA	NA	0	NA	NA
SUV39H2	NA	NA	NA	NA	0	NA	NA
DCLRE1C	0.95	0.986811167876208	17	0.10713028729345	37	0.0181970719403581	0.0188152405116532
MEIG1	0.95	0.998941379934793	2	0.206956509669455	1	0.000750797379966151	0.634730943307112
OLAH	NA	NA	NA	NA	0	NA	NA
ACBD7	0.95	0.896888431751898	19	0.177614963697441	4	0.11136657703421	2.5757599226245e-09
