gene	alpha	cvm	lambda.iteration	lambda.min	n.snps	R2	pval
ZMYND11	0.5	0.992023088261228	10	0.325091945178394	7	0.00483440054466376	0.227525610020283
DIP2C	0.5	0.945400076498627	18	0.21446270370036	26	0.0525842235002677	5.60299202401637e-05
PRR26	0.5	0.995867932905589	8	0.454140886049191	1	0.00214787236450253	0.421499395746762
LARP4B	0.5	0.987036062522402	15	0.190621804006712	39	0.0144716234434601	0.0363520929387702
GTPBP4	0.5	0.986704057904462	11	0.263977919253074	20	0.0103831840519452	0.0765594704409267
IDI2	0.5	0.980289713670731	28	0.112555574929661	94	0.0479057639858848	0.000122614468092351
IDI1	NA	NA	NA	NA	0	NA	NA
WDR37	0.5	1.0050952439559	12	0.222794105323522	31	0.00194400001774831	0.444459773026291
ADARB2	NA	NA	NA	NA	0	NA	NA
PFKP	NA	NA	NA	NA	0	NA	NA
PITRM1	0.5	0.876639385913842	24	0.283465725190518	22	0.12954970272626	1.06756931865228e-10
KLF6	0.5	1.00170263003903	10	0.272705481417372	18	0.00138024546094528	0.519416928483354
AKR1E2	NA	NA	NA	NA	0	NA	NA
AKR1C1	0.5	1.00123507930423	7	0.310698511411262	12	5.96605370401809e-05	0.893483595722848
AKR1C2	0.5	0.999083975481867	7	0.321172105803533	6	0.000988386832849406	0.585669879058154
AKR1C3	0.5	0.999992309411999	6	0.359784598578888	5	6.58230056285331e-07	0.988778854094162
AKR1C4	0.5	0.98930129849906	7	0.358687168433131	4	0.00847122932154349	0.109844683998015
UCN3	0.5	0.997508549057681	8	0.326104091283548	5	0.00121690320213492	0.545246184974101
TUBAL3	0.5	0.938653575614627	21	0.205798989219263	38	0.0583960910359212	2.11655356400657e-05
NET1	0.5	0.977405168748211	15	0.217665366205411	27	0.0205898106267732	0.0124063675024875
CALML5	NA	NA	NA	NA	0	NA	NA
CALML3	NA	NA	NA	NA	0	NA	NA
ASB13	0.5	0.988168318892352	11	0.244190058910028	22	0.0106053897517598	0.0734607150768005
FAM208B	0.5	0.970553306231888	13	0.289951581012642	15	0.0264279470309434	0.0045542213343607
GDI2	0.5	1.00136791460498	3	0.37538030478818	1	0.00193351881221256	0.445691409138778
ANKRD16	0.5	1.0059996101826	7	0.321976440119983	9	1.05574597279961e-05	0.955082675855249
FBXO18	0.5	0.961651833795146	18	0.173419332176148	73	0.0406883193414873	0.000410752597110398
IL15RA	NA	NA	NA	NA	0	NA	NA
IL2RA	0.5	1.00562120383733	2	0.391683335851579	1	0.0158830296663068	0.0282757164005382
RBM17	NA	NA	NA	NA	0	NA	NA
PFKFB3	0.5	0.98618453778263	10	0.277069555173757	11	0.010594963343604	0.0736030787643583
AL137145.1	NA	NA	NA	NA	0	NA	NA
DKFZP667F0711	0.5	0.98370315668995	18	0.156657260036495	81	0.0263169516825025	0.00464117755780289
PRKCQ	NA	NA	NA	NA	0	NA	NA
SFMBT2	NA	NA	NA	NA	0	NA	NA
ITIH5	0.5	0.988964134436667	10	0.301362161787321	15	0.00815361371086524	0.116763127216614
ITIH2	0.5	0.942871462741534	15	0.349016365019894	11	0.0610203666502636	1.36307544233958e-05
KIN	0.5	0.998516062193845	6	0.316501465208903	3	4.8292597351589e-05	0.904113225924008
ATP5C1	NA	NA	NA	NA	0	NA	NA
TAF3	NA	NA	NA	NA	0	NA	NA
GATA3	NA	NA	NA	NA	0	NA	NA
CELF2	0.5	0.987305516506332	13	0.269857056507758	13	0.012508844266374	0.0517872862334249
USP6NL	NA	NA	NA	NA	0	NA	NA
ECHDC3	0.5	1.00133767050759	4	0.342342393540696	3	0.00144230206751753	0.510166631846795
PROSER2	0.5	1.00474424506798	5	0.355280665750062	5	0.00422021623510759	0.259605214875585
UPF2	0.5	1.00138028543205	8	0.278097902921253	16	0.000717572654555024	0.64232961365694
DHTKD1	NA	NA	NA	NA	0	NA	NA
SEC61A2	0.5	0.968864138283757	16	0.225503459255683	25	0.0292918074487849	0.00279952449443834
NUDT5	0.5	0.989684912075609	7	0.366242759553246	4	0.00770021631045037	0.127484165475759
CDC123	0.5	0.949488076275902	18	0.275112452969998	22	0.0477196452971928	0.00012649476304841
CAMK1D	NA	NA	NA	NA	0	NA	NA
CCDC3	0.5	0.964600577471272	14	0.243583689254706	20	0.0322695218634877	0.00169190636689252
OPTN	0.5	1.00074079421691	7	0.33132946030945	10	0.000167127608134048	0.822670284486609
MCM10	0.5	1.00169205239907	4	0.365142642244134	4	0.00142465296319908	0.512768135267679
PHYH	0.5	0.998549359829581	19	0.187225162497193	54	0.0155255553547209	0.0301268020590157
SEPHS1	0.5	0.937157685812901	17	0.265489006989913	17	0.0645447598423557	7.54368922791651e-06
BEND7	NA	NA	NA	NA	0	NA	NA
PRPF18	NA	NA	NA	NA	0	NA	NA
RP11-295P9.3	0.5	0.999327724362305	4	0.363693663245376	2	8.39427049096013e-05	0.873805520942804
FRMD4A	0.5	0.999934482812901	14	0.220401916772011	55	0.00985555572467616	0.0844925663490465
FAM107B	0.5	1.00315147013723	3	0.409981272991792	3	0.0037960653145371	0.285042393435722
CDNF	NA	NA	NA	NA	0	NA	NA
HSPA14	NA	NA	NA	NA	0	NA	NA
SUV39H2	0.5	0.974719721469364	15	0.269799870162534	23	0.0221846197230509	0.00941918350257909
DCLRE1C	0.5	1.00429205752282	3	0.336047563482244	4	0.00456376752683362	0.241031003583795
MEIG1	NA	NA	NA	NA	0	NA	NA
OLAH	NA	NA	NA	NA	0	NA	NA
ACBD7	0.5	0.94058074224766	18	0.281583572450039	11	0.0591666941152576	1.86006120517043e-05
C10orf111	0.5	0.991277080706164	9	0.302690015157813	7	0.00566984847079254	0.19116170731633
RPP38	0.5	1.00450557860731	7	0.277917563367044	11	4.18371562069078e-05	0.910723127479767
NMT2	0.5	0.947056140354915	17	0.273357615326057	17	0.0530713211363937	5.16419209871003e-05
FAM171A1	0.5	0.988694240778291	10	0.340535787400494	9	0.00806371479285786	0.118807229157219
ITGA8	NA	NA	NA	NA	0	NA	NA
FAM188A	0.5	0.986468412064448	12	0.273053026096163	15	0.0113622523786792	0.0638706170793633
PTER	0.5	0.848111407565536	23	0.316393537799279	17	0.163181737340125	2.54029348897345e-13
C1QL3	0.5	0.918039761879407	21	0.255661999510079	22	0.0846138675804082	2.54507820795843e-07
RSU1	0.5	0.97711274322168	13	0.279971789691027	9	0.0204108353135253	0.0127971243236417
CUBN	0.5	0.998942864227574	8	0.312248715174392	8	0.00125043494933267	0.539756410718036
TRDMT1	0.5	0.997030622412376	6	0.323468057632026	4	0.000521582118109693	0.692141782205627
VIM	NA	NA	NA	NA	0	NA	NA
ST8SIA6	NA	NA	NA	NA	0	NA	NA
PTPLA	0.5	0.981980344369909	16	0.244831204660157	18	0.0167374782188267	0.0243125331637188
STAM	0.5	1.00066966040033	6	0.271025473413854	6	6.69309869525186e-06	0.964228975438211
MRC1L1	NA	NA	NA	NA	0	NA	NA
TMEM236	NA	NA	NA	NA	0	NA	NA
MRC1	0.5	0.994006298027825	8	0.297290631885241	6	0.00317066851034751	0.328626846386683
SLC39A12	NA	NA	NA	NA	0	NA	NA
CACNB2	NA	NA	NA	NA	0	NA	NA
NSUN6	0.5	0.990244007703374	17	0.231379016390296	22	0.0117246423081407	0.0597581882398314
ARL5B	0.5	0.999806534722411	9	0.281843696113248	10	0.00086071231457329	0.61097621943637
C10orf112	0.5	1.00272828665884	9	0.261728832905575	14	0.000829387177181073	0.617543973477635
PLXDC2	0.5	1.00118962504469	3	0.362448228091596	1	0.00135857139479579	0.522717114883211
NEBL	NA	NA	NA	NA	0	NA	NA
CASC10	0.5	1.00360727208097	8	0.274944624608809	13	3.98009468780797e-05	0.912913950598353
