gene	alpha	cvm	lambda.iteration	lambda.min	n.snps	R2	pval
ZMYND11	NA	NA	NA	NA	0	NA	NA
DIP2C	NA	NA	NA	NA	0	NA	NA
PRR26	NA	NA	NA	NA	0	NA	NA
LARP4B	NA	NA	NA	NA	0	NA	NA
GTPBP4	0.5	0.998442837218162	6	0.300417835402303	7	0.000360905037001974	0.743971270409955
IDI2	NA	NA	NA	NA	0	NA	NA
IDI1	NA	NA	NA	NA	0	NA	NA
WDR37	0.5	0.989667475019359	11	0.291788359043686	15	0.008297601140874	0.116617068973489
ADARB2	NA	NA	NA	NA	0	NA	NA
PFKP	0.5	1.0011136819982	5	0.329808430489644	3	8.3514850677828e-05	0.875167807008674
PITRM1	0.5	1.00721274967817	11	0.294298400029896	20	0.000140472066947186	0.838551918021369
KLF6	NA	NA	NA	NA	0	NA	NA
AKR1E2	0.5	0.985279474975833	12	0.257260784037616	23	0.0118225968596507	0.0608375309744401
AKR1C1	NA	NA	NA	NA	0	NA	NA
AKR1C2	0.5	0.974765435760566	11	0.267307705701676	12	0.0231648040543339	0.00849627681334329
AKR1C3	0.5	0.983818090899251	11	0.30704577313891	13	0.0129130810725804	0.0500232557019467
AKR1C4	0.5	1.00379720809822	5	0.361901806689632	4	0.00205093672677124	0.436042415196868
UCN3	NA	NA	NA	NA	0	NA	NA
TUBAL3	NA	NA	NA	NA	0	NA	NA
NET1	NA	NA	NA	NA	0	NA	NA
CALML5	0.5	0.991264737073132	9	0.301105004165701	11	0.00554603593192473	0.199857053125881
CALML3	0.5	1.00061966791977	6	0.305834488038023	10	0.000256731610466102	0.782968666474938
ASB13	0.5	0.972090040412914	12	0.318881147367025	8	0.0285973333054596	0.00341045024682949
FAM208B	NA	NA	NA	NA	0	NA	NA
GDI2	NA	NA	NA	NA	0	NA	NA
ANKRD16	0.5	1.00495586644859	9	0.272769165899059	9	0.000630619870677546	0.665923817680156
FBXO18	0.5	0.971236022732026	13	0.223053966911047	35	0.0256916820019495	0.00554919882722737
IL15RA	NA	NA	NA	NA	0	NA	NA
IL2RA	0.5	0.998771623202716	8	0.274714558624687	15	0.00183469331192745	0.461336244740905
RBM17	NA	NA	NA	NA	0	NA	NA
PFKFB3	NA	NA	NA	NA	0	NA	NA
AL137145.1	0.5	1.00494818999055	3	0.329974233997196	2	0.0100202991663672	0.0845109265270462
DKFZP667F0711	NA	NA	NA	NA	0	NA	NA
PRKCQ	0.5	0.993650994389346	12	0.227072080195194	29	0.0106698817423822	0.0750070017088478
SFMBT2	NA	NA	NA	NA	0	NA	NA
ITIH5	NA	NA	NA	NA	0	NA	NA
ITIH2	0.5	0.964878144105036	13	0.260644879996978	29	0.0319836991953697	0.00193975921229709
KIN	0.5	1.00222613113275	8	0.31171669480757	6	0.00037985427905599	0.737576193712095
ATP5C1	0.5	0.997918847449694	6	0.35768847249396	3	0.000168746173243098	0.82329177341298
TAF3	0.5	0.997979843630341	9	0.293491355247228	9	0.00201092413397185	0.440558449444426
GATA3	NA	NA	NA	NA	0	NA	NA
CELF2	0.5	0.957727246360562	13	0.241910747549934	16	0.043686987717373	0.000279936081267721
USP6NL	NA	NA	NA	NA	0	NA	NA
ECHDC3	0.5	1.00193283988932	5	0.357442340468704	1	0.00166802134112045	0.4824533076935
PROSER2	0.5	0.988920917094542	8	0.310650172714905	19	0.00787593490122729	0.126368492635479
UPF2	NA	NA	NA	NA	0	NA	NA
DHTKD1	NA	NA	NA	NA	0	NA	NA
SEC61A2	NA	NA	NA	NA	0	NA	NA
NUDT5	NA	NA	NA	NA	0	NA	NA
CDC123	0.5	0.991316623810924	8	0.308438493223858	9	0.00547579527761968	0.202736939527216
CAMK1D	0.5	0.987404666949716	11	0.284377398016387	17	0.00985424430649505	0.0871426962046361
CCDC3	NA	NA	NA	NA	0	NA	NA
OPTN	0.5	0.981031637473859	14	0.208708675819062	49	0.0208210505727436	0.0126486243475484
MCM10	NA	NA	NA	NA	0	NA	NA
PHYH	0.5	0.99203818186839	5	0.381068037611633	2	0.00576705842753984	0.191101845935276
SEPHS1	0.5	0.989710703049818	12	0.266719018885497	20	0.00960332873265401	0.0912884114608716
BEND7	NA	NA	NA	NA	0	NA	NA
PRPF18	0.5	1.00973319327849	10	0.256745879397782	18	0.000276028606206021	0.775170459970158
RP11-295P9.3	NA	NA	NA	NA	0	NA	NA
FRMD4A	0.5	0.987046322906183	10	0.316380135050666	10	0.00971492020706599	0.0894189649991351
FAM107B	NA	NA	NA	NA	0	NA	NA
CDNF	NA	NA	NA	NA	0	NA	NA
HSPA14	NA	NA	NA	NA	0	NA	NA
SUV39H2	0.5	1.00099968664825	6	0.338918840033638	2	0.000268655003376717	0.778114428659278
DCLRE1C	0.5	1.00205397345985	4	0.358838855641492	1	0.0034799936351211	0.310127298627521
MEIG1	NA	NA	NA	NA	0	NA	NA
OLAH	0.5	1.00769705977162	5	0.349953961806073	1	0.012320228925551	0.0556249659366615
ACBD7	NA	NA	NA	NA	0	NA	NA
C10orf111	0.5	0.98708285002631	15	0.226254332421916	23	0.012404555945914	0.0547894406792005
RPP38	NA	NA	NA	NA	0	NA	NA
NMT2	0.5	0.986975006932907	9	0.307306319983754	3	0.0112442081988786	0.0675531963623497
FAM171A1	NA	NA	NA	NA	0	NA	NA
ITGA8	0.5	0.983738683477612	14	0.205414536275409	34	0.0152334335809952	0.033186449197437
FAM188A	0.5	1.00112925811125	5	0.322089724418824	3	0.00031936273168136	0.758672491233399
