gene	alpha	cvm	lambda.iteration	lambda.min	n.snps	R2	pval
ZMYND11	0.5	0.977302756882661	18	0.209917134344443	16	0.0207843164136213	0.0159583789156137
DIP2C	0.5	1.00273864277789	2	0.35096287654031	1	0.0108902461852453	0.0818550251264932
PRR26	NA	NA	NA	NA	0	NA	NA
LARP4B	0.5	0.994514469120065	8	0.306083795169158	5	0.00264890183219811	0.391785067685042
GTPBP4	0.5	1.00599963100861	6	0.332818461495457	4	0.00262981081078511	0.393499105892998
IDI2	0.5	0.981329257575448	14	0.230079814649412	28	0.0170305375244042	0.0293064210870973
IDI1	NA	NA	NA	NA	0	NA	NA
WDR37	0.5	1.0045444929113	7	0.304513559416011	4	0.000526635472955327	0.70272430413368
ADARB2	0.5	0.954010683298421	12	0.394674485242363	6	0.0536239027708268	9.47012504800426e-05
PFKP	0.5	0.999467129445518	7	0.340895996604312	7	0.000183838549059515	0.821614703998804
PITRM1	0.5	1.00454941785698	3	0.37188013639999	3	0.00497261175090952	0.240380644984565
KLF6	0.5	0.998735671710466	5	0.40347781047285	1	1.34952000661397e-05	0.951291013946267
AKR1E2	NA	NA	NA	NA	0	NA	NA
AKR1C1	NA	NA	NA	NA	0	NA	NA
AKR1C2	0.5	1.0024469347253	6	0.351046659108333	7	0.000116672382190476	0.85745417042079
AKR1C3	0.5	0.959511872576157	19	0.199016068753863	33	0.0392129479097401	0.000881734363163358
AKR1C4	0.5	1.00722545235698	2	0.393553480938861	1	0.0251580651318944	0.00794760965636353
UCN3	0.5	0.971714505768706	14	0.242338630349291	21	0.02521090575471	0.00788138873960204
TUBAL3	NA	NA	NA	NA	0	NA	NA
NET1	NA	NA	NA	NA	0	NA	NA
CALML5	NA	NA	NA	NA	0	NA	NA
CALML3	NA	NA	NA	NA	0	NA	NA
ASB13	NA	NA	NA	NA	0	NA	NA
FAM208B	NA	NA	NA	NA	0	NA	NA
GDI2	0.5	1.00206742614911	5	0.366395581053768	2	0.00152833190107946	0.515489656736821
ANKRD16	NA	NA	NA	NA	0	NA	NA
FBXO18	0.5	0.975625346037387	11	0.350466320960416	2	0.0235891242961145	0.010194510853506
IL15RA	NA	NA	NA	NA	0	NA	NA
