gene	alpha	cvm	lambda.iteration	lambda.min	n.snps	R2	pval
TUBB8	NA	NA	NA	NA	0	NA	NA
ZMYND11	0.05	0.958359248771352	24	1.77182716183408	77	0.0379070654199665	0.00174854512603213
DIP2C	0.05	1.00057773621221	11	3.10667058567051	37	0.000177145000245499	0.832169009568874
PRR26	NA	NA	NA	NA	0	NA	NA
LARP4B	0.05	1.00760278988908	11	2.96637427459265	25	0.00529488295391607	0.246009718833615
AL359878.1	NA	NA	NA	NA	0	NA	NA
GTPBP4	NA	NA	NA	NA	0	NA	NA
IDI2	0.05	0.987692289111166	19	1.88377649449182	108	0.0111197233876087	0.0922508885145573
IDI1	0.05	1.00729613136765	14	2.90578791340515	35	0.000427322009413473	0.742031088398953
WDR37	0.05	0.787863487684904	35	2.04901165086393	70	0.220164102642402	2.02449211787897e-15
ADARB2	0.05	1.00121888513848	11	2.96114435156709	46	0.000177136962732164	0.8321727607449
PFKP	NA	NA	NA	NA	0	NA	NA
PITRM1	0.05	0.859261831621402	35	1.60330550963209	184	0.140187891231575	6.09737581462119e-10
KLF6	NA	NA	NA	NA	0	NA	NA
AKR1E2	0.05	0.950003555258398	19	2.81177088541936	74	0.0482269312691676	0.000400408114123108
AKR1C1	0.05	0.949264217251187	16	3.15731322426471	24	0.0592642007523036	8.30637816960636e-05
AKR1C2	0.05	0.918710469172096	22	2.75662044923166	36	0.092633933457442	6.8994859416462e-07
AKR1C3	0.05	0.81516066275764	34	1.28955390022341	273	0.183753881151161	7.26147065758203e-13
AKR1CL1	NA	NA	NA	NA	0	NA	NA
AKR1C4	NA	NA	NA	NA	0	NA	NA
UCN3	NA	NA	NA	NA	0	NA	NA
TUBAL3	NA	NA	NA	NA	0	NA	NA
NET1	0.05	0.997476797387886	16	2.56766836375446	103	0.00212053196546313	0.463210060606291
CALML5	NA	NA	NA	NA	0	NA	NA
CALML3	NA	NA	NA	NA	0	NA	NA
ASB13	0.05	0.88374554650917	27	2.32109747294063	84	0.1259471168971	5.16678129623692e-09
FAM208B	NA	NA	NA	NA	0	NA	NA
GDI2	0.05	0.973033693280185	16	3.00721112737537	46	0.0244593078525201	0.0122276270124107
ANKRD16	NA	NA	NA	NA	0	NA	NA
FBXO18	0.05	0.978994878108064	21	1.8928619446133	155	0.0205326744190455	0.0218305413102497
IL15RA	0.05	0.979568371320822	18	2.56144801227737	44	0.01699179588382	0.0371296216686609
IL2RA	0.05	0.941327980094772	28	1.58941595138407	182	0.0554267289359584	0.000143529581795673
RBM17	NA	NA	NA	NA	0	NA	NA
PFKFB3	0.05	1.00072432781687	9	2.73620794373958	41	0.000125337350928303	0.858522217002462
AL137145.1	0.05	1.00459096403819	6	3.48208374276488	16	0.00319522008718337	0.367739991006604
DKFZP667F0711	0.05	0.953437553636762	21	2.10101887635908	108	0.0440236036641378	0.000729241975907767
PRKCQ	0.05	0.994596899069805	9	3.31592206150025	15	0.00153748016751867	0.532272067159179
SFMBT2	NA	NA	NA	NA	0	NA	NA
ITIH5	0.05	0.936857180411624	25	2.23655447950278	106	0.0605684282485944	6.89681368607161e-05
ITIH2	0.05	0.896899482996283	25	2.54397641806544	62	0.107848031594172	7.50527582933709e-08
KIN	NA	NA	NA	NA	0	NA	NA
ATP5C1	NA	NA	NA	NA	0	NA	NA
