"gene"	"pve50"	"pge50"	"tissue_type"	"pve_CI"	"pge_CI"
"ENSG00000015171.14"	0.012791365	0.2247861	"Adipose-Subcutaneous_TS"	"0.0003872695375-0.0668112112499999"	"0-0.9474774825"
"ENSG00000151240.11"	0.036244035	0.2174481	"Adipose-Subcutaneous_TS"	"0.002036863625-0.1187756475"	"0-0.94261702"
"ENSG00000180525.9"	0.018913555	0.34485575	"Adipose-Subcutaneous_TS"	"0.000768528-0.0780836695"	"0-0.9672751975"
"ENSG00000107929.9"	0.0192615	0.1398775	"Adipose-Subcutaneous_TS"	"0.0006595711325-0.0891589439999998"	"0-0.9303842675"
"ENSG00000107937.14"	0.02810778	0.34239555	"Adipose-Subcutaneous_TS"	"0.00130753955-0.1084544825"	"0-0.97018128"
"ENSG00000148377.5"	0.01413703	0.37627815	"Adipose-Subcutaneous_TS"	"0.000589082-0.0725320819999999"	"0-0.962852165"
"ENSG00000067064.6"	0.02824661	0.4146696	"Adipose-Subcutaneous_TS"	"0.0012381806-0.10464522"	"0-0.9729912525"
"ENSG00000047056.10"	0.096159535	0.49052015	"Adipose-Subcutaneous_TS"	"0.02609911875-0.1981325525"	"0.018673667-0.9797033775"
"ENSG00000185736.11"	0.035662305	0.20782565	"Adipose-Subcutaneous_TS"	"0.00120288805-0.14095793"	"0-0.9474213075"
"ENSG00000067057.11"	0.02836402	0.2814601	"Adipose-Subcutaneous_TS"	"0.0012312457-0.1205254975"	"0-0.9520920525"
"ENSG00000107959.11"	0.13476065	0.4985115	"Adipose-Subcutaneous_TS"	"0.0275641625-0.2733917275"	"0.024333248-0.97850534"
"ENSG00000067082.10"	0.036293035	0.22636325	"Adipose-Subcutaneous_TS"	"0.00171962095-0.1337064225"	"0-0.9396915875"
"ENSG00000165568.13"	0.07762151	0.24565385	"Adipose-Subcutaneous_TS"	"0.005650638325-0.2119660775"	"0-0.937281735"
"ENSG00000187134.8"	0.0282977	0.3093039	"Adipose-Subcutaneous_TS"	"0.000980320505-0.115549865"	"0-0.953979195"
"ENSG00000151632.12"	0.0313319	0.3236944	"Adipose-Subcutaneous_TS"	"0.00093115402-0.1300498675"	"0-0.964872205"
"ENSG00000196139.7"	0.071178935	0.6456974	"Adipose-Subcutaneous_TS"	"0.0036064887-0.1695487"	"0-0.98298357"
"ENSG00000198610.6"	0.053159015	0.1716721	"Adipose-Subcutaneous_TS"	"0.002487803-0.1613429525"	"0-0.9388589725"
"ENSG00000178473.5"	0.015752465	0.180858	"Adipose-Subcutaneous_TS"	"0.00044490435-0.0823561377499999"	"0-0.95565239"
"ENSG00000178462.7"	0.034706145	0.22435405	"Adipose-Subcutaneous_TS"	"0.00166828335-0.120169145"	"0-0.9528555"
"ENSG00000173848.14"	0.016355585	0.3610593	"Adipose-Subcutaneous_TS"	"0.0005072584-0.08893389425"	"0-0.9616958"
"ENSG00000178372.6"	0.060392075	0.44020025	"Adipose-Subcutaneous_TS"	"0.00352151885-0.1836739275"	"0-0.9705056425"
"ENSG00000178363.3"	0.02719638	0.377529	"Adipose-Subcutaneous_TS"	"0.001230215-0.115212645"	"0-0.9653702975"
"ENSG00000196372.8"	0.09362076	0.63968215	"Adipose-Subcutaneous_TS"	"0.008468672225-0.230328125"	"0.03615032625-0.985347805"
"ENSG00000108021.15"	0.067191525	0.5316063	"Adipose-Subcutaneous_TS"	"0.003994701225-0.1968492675"	"0.014940732-0.9777191475"
"ENSG00000057608.11"	0.04728172	0.4002142	"Adipose-Subcutaneous_TS"	"0.002074248-0.1779340825"	"0-0.966379935"
"ENSG00000134461.11"	0.021667045	0.1838389	"Adipose-Subcutaneous_TS"	"0.0009317773375-0.1035182175"	"0-0.9492591275"
"ENSG00000134452.14"	0.03588217	0.2656756	"Adipose-Subcutaneous_TS"	"0.00158775315-0.1477715575"	"0-0.945363155"
"ENSG00000134470.15"	0.0675744	0.43529135	"Adipose-Subcutaneous_TS"	"0.004672794975-0.2005797525"	"0.01631763725-0.966208495"
"ENSG00000134460.11"	0.029051695	0.22064355	"Adipose-Subcutaneous_TS"	"0.0008994143925-0.126316005"	"0-0.9495532"
"ENSG00000134453.11"	0.04606913	0.1444879	"Adipose-Subcutaneous_TS"	"0.00188683195-0.151532185"	"0-0.937747755"
"ENSG00000170525.14"	0.02340919	0.26493035	"Adipose-Subcutaneous_TS"	"0.0008908969125-0.1031380925"	"0-0.95244223"
"ENSG00000215244.1"	0.021223375	0.17117005	"Adipose-Subcutaneous_TS"	"0.000674772915-0.103998835"	"0-0.944314144999999"
"ENSG00000212743.1"	0.020797515	0.31560115	"Adipose-Subcutaneous_TS"	"0.0006119507-0.09595433675"	"0-0.9645563775"
"ENSG00000065675.10"	0.07952204	0.3690131	"Adipose-Subcutaneous_TS"	"0.00471844145-0.21922574"	"0-0.952986565"
"ENSG00000198879.7"	0.080468935	0.36507815	"Adipose-Subcutaneous_TS"	"0.004609579375-0.21859299"	"0-0.9612578075"
"ENSG00000123243.10"	0.02125647	0.1851708	"Adipose-Subcutaneous_TS"	"0.0007631147925-0.1102714925"	"0-0.9486408"
"ENSG00000151655.13"	0.088203865	0.4238071	"Adipose-Subcutaneous_TS"	"0.009299445825-0.21572304"	"0-0.9722460175"
"ENSG00000151657.6"	0.02538453	0.2492311	"Adipose-Subcutaneous_TS"	"0.000845492415-0.1110177"	"0-0.9667951675"
"ENSG00000165629.15"	0.04279518	0.21050795	"Adipose-Subcutaneous_TS"	"0.002081280725-0.1458241975"	"0-0.9344178"
"ENSG00000165632.7"	0.03183259	0.16137035	"Adipose-Subcutaneous_TS"	"0.001182466175-0.141551975"	"0-0.93166855"
"ENSG00000107485.11"	0.02904517	0.27242395	"Adipose-Subcutaneous_TS"	"0.00127635825-0.1123637475"	"0-0.9542806275"
"ENSG00000048740.12"	0.018063855	0.357606	"Adipose-Subcutaneous_TS"	"0.0006912887175-0.09299991"	"0-0.9664013325"
"ENSG00000148429.9"	0.085786445	0.25236805	"Adipose-Subcutaneous_TS"	"0.01037144025-0.213091915"	"0-0.93784856"
"ENSG00000134463.10"	0.031483285	0.3608545	"Adipose-Subcutaneous_TS"	"0.00104096955-0.1294202725"	"0-0.9629873525"
"ENSG00000148426.8"	0.045581255	0.3631711	"Adipose-Subcutaneous_TS"	"0.0018010116-0.144777685"	"0-0.9679975"
"ENSG00000151461.15"	0.015602395	0.33133415	"Adipose-Subcutaneous_TS"	"0.00056364323-0.0786165575"	"0-0.965723685"
"ENSG00000181192.7"	0.018843425	0.31621295	"Adipose-Subcutaneous_TS"	"0.00064544932-0.0839674387499999"	"0-0.9599052625"
"ENSG00000065665.16"	0.026462985	0.10656605	"Adipose-Subcutaneous_TS"	"0.000800871125-0.1122435125"	"0-0.928634987499999"
"ENSG00000165609.8"	0.03211912	0.3653563	"Adipose-Subcutaneous_TS"	"0.00143526-0.127294345"	"0-0.96329848"
"ENSG00000151465.9"	0.04559925	0.45117435	"Adipose-Subcutaneous_TS"	"0.0020148136-0.1581407175"	"0-0.97652628"
"ENSG00000183049.8"	0.060462305	0.40428065	"Adipose-Subcutaneous_TS"	"0.003858868725-0.175272655"	"0-0.9695233875"
"ENSG00000151468.9"	0.030901505	0.3019129	"Adipose-Subcutaneous_TS"	"0.0013595274-0.122885335"	"0-0.95864277"
"ENSG00000123240.12"	0.04487804	0.3934274	"Adipose-Subcutaneous_TS"	"0.001929040725-0.165158385"	"0-0.9710629975"
"ENSG00000065328.12"	0.04358597	0.2890399	"Adipose-Subcutaneous_TS"	"0.00153396035-0.16879293"	"0-0.9561211775"
"ENSG00000107537.9"	0.10105595	0.19133655	"Adipose-Subcutaneous_TS"	"0.01040078925-0.2393981175"	"0-0.9219857275"
"ENSG00000086475.10"	0.05828545	0.47861625	"Adipose-Subcutaneous_TS"	"0.003012305925-0.176383825"	"0.002279896175-0.975443835"
"ENSG00000165626.12"	0.04438571	0.2688679	"Adipose-Subcutaneous_TS"	"0.00212988-0.1528305425"	"0-0.952414595"
"ENSG00000165630.9"	0.04609363	0.1137116	"Adipose-Subcutaneous_TS"	"0.002052434175-0.1496172475"	"0-0.9164760475"
"ENSG00000239665.3"	0.1066994	0.4381026	"Adipose-Subcutaneous_TS"	"0.008701775325-0.26913759"	"0.0190032155-0.9686343225"
"ENSG00000151474.15"	0.06491297	0.3286667	"Adipose-Subcutaneous_TS"	"0.006388807125-0.1685399525"	"0-0.97156093"
"ENSG00000065809.9"	0.02615565	0.4756131	"Adipose-Subcutaneous_TS"	"0.0009404476-0.119263255"	"0.021158402-0.9653003525"
"ENSG00000185267.5"	0.033579725	0.452917	"Adipose-Subcutaneous_TS"	"0.001843782625-0.1217340275"	"0.007990275275-0.97312264"
"ENSG00000187522.9"	0.031379815	0.48399135	"Adipose-Subcutaneous_TS"	"0.0016509433-0.126178065"	"0.0241383465-0.97443369"
"ENSG00000152455.11"	0.01813108	0.1989004	"Adipose-Subcutaneous_TS"	"0.0006688350325-0.0912861945"	"0-0.9522082525"
"ENSG00000152457.13"	0.04006691	0.37827865	"Adipose-Subcutaneous_TS"	"0.001522535-0.148760615"	"0-0.9631497975"
"ENSG00000197889.5"	0.03801652	0.33469495	"Adipose-Subcutaneous_TS"	"0.001698428725-0.1355410575"	"0-0.9564616075"
"ENSG00000152463.10"	0.029660995	0.17783875	"Adipose-Subcutaneous_TS"	"0.001082593125-0.1129267225"	"0-0.9430997175"
"ENSG00000176244.6"	0.019967185	0.11147755	"Adipose-Subcutaneous_TS"	"0.000558651495-0.09813930375"	"0-0.9353508975"
"ENSG00000176236.4"	0.02066178	0.49172455	"Adipose-Subcutaneous_TS"	"0.0006412666125-0.1067168475"	"0-0.9776085"
