gene	alpha	cvm	lambda.iteration	lambda.min	n.snps	R2	pval
TUBB8	NA	NA	NA	NA	0	NA	NA
ZMYND11	1	0.95937093462788	18	0.117112561659913	17	0.0373117772688662	0.00190427963500641
DIP2C	1	0.997398854224433	8	0.178595811913552	6	0.00163170037524213	0.519958920123756
PRR26	NA	NA	NA	NA	0	NA	NA
LARP4B	1	0.998650775842036	11	0.148318713729632	8	0.00252130206198916	0.423725758257356
AL359878.1	NA	NA	NA	NA	0	NA	NA
GTPBP4	NA	NA	NA	NA	0	NA	NA
IDI2	1	1.00036998426111	16	0.10829426011539	28	0.009737430747898	0.115262363620109
IDI1	1	0.994522613337639	7	0.201209303971791	1	0.0023200671241865	0.442875121323664
WDR37	1	0.779435040197377	26	0.155715775862389	5	0.229928640959778	4.00151249085161e-16
ADARB2	1	0.999442905969681	3	0.214805672126711	2	0.000180833666307364	0.830456764967744
PFKP	NA	NA	NA	NA	0	NA	NA
PITRM1	1	0.830838905102147	22	0.146761638574597	7	0.182735313782996	8.53036952603599e-13
KLF6	NA	NA	NA	NA	0	NA	NA
AKR1E2	1	0.958891703489222	10	0.213682086573663	3	0.0483039367175221	0.000396036908931205
AKR1C1	1	0.941160555289466	13	0.181507148313007	3	0.0685859851532578	2.19542712647329e-05
AKR1C2	1	0.901662427859941	18	0.166017954512465	4	0.108915621804834	6.41683346417287e-08
AKR1C3	1	0.838056540497273	24	0.102666724320581	42	0.160652990149573	2.68085666564816e-11
AKR1CL1	NA	NA	NA	NA	0	NA	NA
AKR1C4	NA	NA	NA	NA	0	NA	NA
UCN3	NA	NA	NA	NA	0	NA	NA
TUBAL3	NA	NA	NA	NA	0	NA	NA
NET1	1	0.981562164600751	14	0.140900642970805	19	0.0161775874956016	0.0420156907481999
CALML5	NA	NA	NA	NA	0	NA	NA
CALML3	NA	NA	NA	NA	0	NA	NA
ASB13	1	0.879739498580978	23	0.139788506172135	19	0.120070402756939	1.23768645761558e-08
FAM208B	NA	NA	NA	NA	0	NA	NA
GDI2	1	0.97233598735093	9	0.208232285310308	4	0.0284843390652646	0.00679768407594517
ANKRD16	NA	NA	NA	NA	0	NA	NA
FBXO18	1	0.983462708500253	12	0.14384909240588	15	0.014382440796331	0.0553192242364098
IL15RA	1	0.977450748463477	10	0.185811124541662	4	0.0197723198913386	0.0244485953848266
IL2RA	1	0.93189091261403	27	0.0832548594202564	57	0.0717440155700883	1.39733143924732e-05
RBM17	NA	NA	NA	NA	0	NA	NA
PFKFB3	NA	NA	NA	NA	0	NA	NA
AL137145.1	1	1.00291270383309	6	0.174104187138244	5	0.000215280552057996	0.815277841411781
DKFZP667F0711	1	0.937204032936133	15	0.138871165318146	15	0.0606883222869209	6.77989565707788e-05
PRKCQ	1	0.99212203588093	7	0.181961018448386	3	0.00404333185353842	0.310848992804244
SFMBT2	NA	NA	NA	NA	0	NA	NA
ITIH5	1	0.932893946738559	18	0.154868690877166	16	0.0646592342707751	3.84731677746847e-05
