gene	alpha	cvm	lambda.iteration	lambda.min	n.snps	R2	pval
ZMYND11	1	0.993996740851826	13	0.115802675204682	14	0.0060046965738042	0.192099189084452
DIP2C	NA	NA	NA	NA	0	NA	NA
PRR26	NA	NA	NA	NA	0	NA	NA
LARP4B	NA	NA	NA	NA	0	NA	NA
GTPBP4	NA	NA	NA	NA	0	NA	NA
IDI2	NA	NA	NA	NA	0	NA	NA
IDI1	NA	NA	NA	NA	0	NA	NA
WDR37	NA	NA	NA	NA	0	NA	NA
ADARB2	1	0.94692565895437	17	0.143468535693819	14	0.050514407419209	0.000129881757986264
PFKP	1	1.00567780211928	2	0.185168279462461	1	0.0198981966311966	0.0171794711415571
PITRM1	NA	NA	NA	NA	0	NA	NA
KLF6	1	1.00530179421387	4	0.194699633643713	1	0.00534759166923462	0.218415408230034
AKR1E2	NA	NA	NA	NA	0	NA	NA
AKR1C1	NA	NA	NA	NA	0	NA	NA
AKR1C2	1	0.990718177489316	7	0.191730945420424	2	0.00611799901487831	0.187945729215888
AKR1C3	1	0.99326626697017	8	0.148841678390878	8	0.00447904450515413	0.260109304790833
AKR1C4	1	1.00863476629228	8	0.14576306822832	10	1.28372825856065e-05	0.951979670383433
UCN3	NA	NA	NA	NA	0	NA	NA
TUBAL3	1	0.962093739551667	19	0.11745578090644	20	0.0347300858400188	0.00157757134705501
NET1	1	0.993833314486307	6	0.188090488521883	3	0.00301946030245739	0.355341642557749
CALML5	NA	NA	NA	NA	0	NA	NA
CALML3	NA	NA	NA	NA	0	NA	NA
ASB13	1	1.00014569666829	8	0.158921227695074	8	0.000520660162902798	0.701298051177196
FAM208B	NA	NA	NA	NA	0	NA	NA
GDI2	1	0.979163796316459	8	0.198367061447737	2	0.0215175678271584	0.0131777058477921
ANKRD16	NA	NA	NA	NA	0	NA	NA
FBXO18	NA	NA	NA	NA	0	NA	NA
IL15RA	1	0.95611609370783	16	0.119471196281008	24	0.040692676413024	0.00061295661199544
IL2RA	NA	NA	NA	NA	0	NA	NA
RBM17	NA	NA	NA	NA	0	NA	NA
PFKFB3	1	0.995212613298972	13	0.135667431474585	16	0.00628099142435771	0.182151733642297
AL137145.1	1	0.992978308229536	7	0.156456091065782	5	0.00374741202419488	0.303070468713899
DKFZP667F0711	NA	NA	NA	NA	0	NA	NA
PRKCQ	NA	NA	NA	NA	0	NA	NA
SFMBT2	NA	NA	NA	NA	0	NA	NA
ITIH5	NA	NA	NA	NA	0	NA	NA
ITIH2	NA	NA	NA	NA	0	NA	NA
KIN	NA	NA	NA	NA	0	NA	NA
ATP5C1	1	1.00393487995071	5	0.169289214800136	2	0.00161697294863678	0.498951718096212
TAF3	NA	NA	NA	NA	0	NA	NA
GATA3	1	0.993569412525279	10	0.181259484561866	5	0.00533580850682372	0.218924770081749
CELF2	NA	NA	NA	NA	0	NA	NA
USP6NL	1	0.984994279624809	16	0.111926218843682	29	0.0173284148640238	0.0262692612002786
ECHDC3	1	0.982116236644328	13	0.151181269250776	17	0.0168205546758926	0.0285881573287928
PROSER2	NA	NA	NA	NA	0	NA	NA
UPF2	NA	NA	NA	NA	0	NA	NA
DHTKD1	NA	NA	NA	NA	0	NA	NA
SEC61A2	1	1.00325979322805	7	0.160752347359033	9	0.000179554331936267	0.821800039620343
NUDT5	1	0.998422330886109	8	0.158670703255089	6	0.000945206981665284	0.605251566931516
CDC123	NA	NA	NA	NA	0	NA	NA
CAMK1D	NA	NA	NA	NA	0	NA	NA
CCDC3	1	0.999814241630804	7	0.167506866027204	5	0.000336018965505829	0.757986666314194
OPTN	NA	NA	NA	NA	0	NA	NA
MCM10	NA	NA	NA	NA	0	NA	NA
PHYH	1	0.999738175055289	8	0.159073787337198	8	0.0025652704417128	0.394306150545431
SEPHS1	1	0.994341986388509	7	0.176491444621182	2	0.00285190847439557	0.369063048322516
BEND7	NA	NA	NA	NA	0	NA	NA
PRPF18	NA	NA	NA	NA	0	NA	NA
RP11-295P9.3	1	0.997784461849219	10	0.147516357753036	8	0.00281292007320913	0.372360713911922
FRMD4A	1	0.989792098386249	8	0.178479675093929	6	0.00681106900074024	0.164680290686861
FAM107B	1	0.774033485368838	38	0.0756926413514747	55	0.22417747493356	2.49241933678505e-17
CDNF	NA	NA	NA	NA	0	NA	NA
HSPA14	NA	NA	NA	NA	0	NA	NA
SUV39H2	NA	NA	NA	NA	0	NA	NA
DCLRE1C	NA	NA	NA	NA	0	NA	NA
MEIG1	NA	NA	NA	NA	0	NA	NA
OLAH	NA	NA	NA	NA	0	NA	NA
ACBD7	NA	NA	NA	NA	0	NA	NA
C10orf111	1	0.987211427838581	12	0.118781100107173	17	0.0117653175370279	0.0674742193949431
RPP38	1	0.989307490767582	10	0.15175956524698	10	0.00844473555404803	0.121663469190629
NMT2	1	0.98858717415107	8	0.172315515959685	4	0.00795540741638306	0.133063413982895
FAM171A1	NA	NA	NA	NA	0	NA	NA
ITGA8	1	1.00331628944785	6	0.172302506463112	4	0.000321007434382099	0.763290009660062
FAM188A	NA	NA	NA	NA	0	NA	NA
PTER	1	0.956816922061656	17	0.102737182328709	26	0.0399156105533443	0.000693171210575444
C1QL3	1	0.886730024896265	26	0.108205520412225	25	0.111581184084418	7.41123073951947e-09
RSU1	1	0.992215351822261	9	0.140995567242092	8	0.00512775072938874	0.228156100592232
CUBN	1	0.999354412166041	5	0.181257521103578	2	5.46751781448148e-06	0.968650289411252
