gene	alpha	cvm	lambda.iteration	lambda.min	n.snps	R2	pval
ZMYND11	1	0.989543532826475	14	0.118276536279404	14	0.0115110730006551	0.0866790230307592
DIP2C	1	0.987039094901174	19	0.100571272877022	29	0.0182071454810127	0.0309079287341706
PRR26	NA	NA	NA	NA	0	NA	NA
LARP4B	1	0.994099912351576	8	0.15694369304784	2	0.00255911698705587	0.420266740999431
GTPBP4	1	0.995908688434737	6	0.200929472727936	3	0.0011635468864722	0.586950755590271
IDI2	1	0.998600405380448	17	0.0980140231253375	37	0.013462462959515	0.0637927033082525
IDI1	NA	NA	NA	NA	0	NA	NA
WDR37	1	0.811890706342531	31	0.0976500103687445	38	0.185968720305315	5.11281303823355e-13
ADARB2	1	0.958107739940821	13	0.164922542271622	4	0.0419273660415169	0.000983736015399601
PFKP	NA	NA	NA	NA	0	NA	NA
PITRM1	1	1.00036652676117	2	0.202673086737537	2	0.00287121551956629	0.39323938553654
KLF6	1	1.00051292587923	4	0.18852716374513	4	0.00068081375732143	0.677771362740923
AKR1E2	1	0.999375124197222	3	0.215352148860871	2	0.000682333878407546	0.677431962542758
AKR1C1	NA	NA	NA	NA	0	NA	NA
AKR1C2	1	0.998415125777367	13	0.112463268975438	32	0.00852005678217638	0.140809058374428
AKR1C3	1	1.00601066152576	11	0.132998329935922	27	0.00331769093442207	0.358701289667851
AKR1C4	NA	NA	NA	NA	0	NA	NA
UCN3	1	0.991676833990275	8	0.169265325981383	7	0.00509192528191914	0.255292974851501
TUBAL3	NA	NA	NA	NA	0	NA	NA
NET1	1	0.957860351224611	12	0.140101583356845	14	0.0388863410066189	0.00151971674190364
CALML5	NA	NA	NA	NA	0	NA	NA
CALML3	NA	NA	NA	NA	0	NA	NA
ASB13	1	0.976557246225706	12	0.148844556644451	11	0.0198409871497124	0.0241994078763331
FAM208B	1	0.997625249762496	6	0.172908400905957	4	0.000676784184609427	0.67867320623077
GDI2	NA	NA	NA	NA	0	NA	NA
ANKRD16	1	0.982454556089011	8	0.181033248090907	1	0.0165918239577237	0.0394512281813417
