gene	alpha	cvm	lambda.iteration	lambda.min	n.snps	R2	pval
TUBB8	0.05	0.736910627422091	49	1.1595865378328	77	0.268287294720772	1.48947627503903e-20
ZMYND11	0.05	0.976040847211103	21	1.78497324306884	50	0.020451859679816	0.0168340400028675
DIP2C	NA	NA	NA	NA	0	NA	NA
PRR26	NA	NA	NA	NA	0	NA	NA
LARP4B	0.05	0.995381055239824	11	2.89389125945898	12	0.00152119822777985	0.516472192922465
AL359878.1	NA	NA	NA	NA	0	NA	NA
GTPBP4	0.05	0.985287327710257	16	2.3585915979805	61	0.0117039620080875	0.0711953608343878
IDI2	NA	NA	NA	NA	0	NA	NA
IDI1	NA	NA	NA	NA	0	NA	NA
WDR37	NA	NA	NA	NA	0	NA	NA
ADARB2	0.05	0.788227935517697	38	1.85192635421537	128	0.217519541508555	1.78734321122716e-16
PFKP	0.05	1.00136412826134	6	3.22008443934205	21	0.00119969169804321	0.564533933220631
PITRM1	0.05	0.916197620133213	28	1.86968892294813	114	0.0838389372571019	8.63128626210157e-07
KLF6	NA	NA	NA	NA	0	NA	NA
AKR1E2	0.05	1.00478340334922	8	3.32292551734383	5	0.00765943089675933	0.144819093810593
AKR1C1	0.05	0.984296472539679	11	3.1805667081168	20	0.013824710754759	0.0497692591729384
AKR1C2	0.05	0.861791542885212	27	2.57555973604429	41	0.15779126320322	5.54567263309927e-12
AKR1C3	0.05	0.979942571865837	20	2.06025239289011	93	0.0174686242066085	0.0272835026941897
AKR1CL1	NA	NA	NA	NA	0	NA	NA
AKR1C4	NA	NA	NA	NA	0	NA	NA
UCN3	0.05	1.00575197452709	2	4.35034461969774	1	0.0349411285201954	0.0017130463049316
TUBAL3	0.05	1.00365609020542	15	2.13326105303977	93	0.00106912035823929	0.586546202503347
NET1	NA	NA	NA	NA	0	NA	NA
CALML5	0.05	0.989089654026867	14	2.22528883847962	85	0.00843789864822314	0.125848224339915
CALML3	0.05	1.00849549730731	2	3.57280080005969	1	0.043288713223176	0.000468705063879353
ASB13	0.05	0.978073213212131	16	2.62928983187759	46	0.0193227668468255	0.0201937993030767
FAM208B	NA	NA	NA	NA	0	NA	NA
GDI2	0.05	0.986867503447496	15	2.96465270667212	31	0.00966809601347497	0.101218197225418
ANKRD16	0.05	1.00415627174457	2	3.88671251308134	1	0.0309650115121437	0.0031869201400706
FBXO18	0.05	0.944903115333988	19	2.61849409149652	46	0.056665731559477	5.9149731412614e-05
IL15RA	NA	NA	NA	NA	0	NA	NA
IL2RA	NA	NA	NA	NA	0	NA	NA
