AssociatedGeneName	EnsemblGeneID	h2.CrossTissue	se.CrossTissue	h2.AdiposeSubcutaneous	se.AdiposeSubcutaneous	h2.ArteryTibial	se.ArteryTibial	h2.HeartLeftVentricle	se.HeartLeftVentricle	h2.Lung	se.Lung	h2.MuscleSkeletal	se.MuscleSkeletal	h2.NerveTibial	se.NerveTibial	h2.SkinSunExposedLowerleg	se.SkinSunExposedLowerleg	h2.Thyroid	se.Thyroid	h2.WholeBlood	se.WholeBlood
PVRL2	ENSG00000130202.5	0.164315	0.058436	1e-06	0.050951	0.04407	0.061221	1e-06	0.065982	1e-06	0.048328	0.045763	0.05083	0.027953	0.053124	0.027952	0.049784	1e-06	0.053574	0.754433	0.043972
JUP	ENSG00000173801.12	0.070256	0.035475	1e-06	0.030097	0.038629	0.036921	1e-06	0.067447	1e-06	0.047182	1e-06	0.033502	0.073988	0.062529	0.032668	0.039157	0.046305	0.05811	0.709057	0.050351
MDGA1	ENSG00000112139.9	0.662821	0.05189	0.130838	0.075503	0.063056	0.060659	0.111834	0.090093	0.038746	0.061084	0.080712	0.048983	0.048402	0.062577	0.665827	0.065314	0.083237	0.060674	0.70287	0.058579
GSTT1	ENSG00000184674.8	0.697129	0.046277	0.130499	0.067038	0.050579	0.055315	1e-06	0.089265	0.131963	0.070793	1e-06	0.034124	0.052685	0.058174	0.166067	0.072491	0.50492	0.079903	0.677326	0.057844
ADARB2	ENSG00000185736.11	0.399501	0.064486	0.065554	0.068378	0.106367	0.064292	0.027813	0.068062	0.08986	0.064374	0.084886	0.059699	0.001019	0.036794	0.019419	0.054277	0.212786	0.08856	0.647855	0.06188
TMEM176B	ENSG00000106565.13	0.495581	0.064693	0.005828	0.03604	1e-06	0.03575	0.163144	0.099077	1e-06	0.067251	1e-06	0.031781	0.06622	0.058556	0.016638	0.041362	0.193583	0.086927	0.605563	0.060412
SLC12A1	ENSG00000074803.13	0.325	0.067591	0.004421	0.030782	0.091107	0.05655	0.09075	0.080889	0.282788	0.079197	1e-06	0.03354	0.016163	0.037328	1e-06	0.037722	0.050905	0.05414	0.597262	0.059511
AFAP1	ENSG00000196526.6	0.158091	0.054449	1e-06	0.034691	0.037642	0.056105	0.135454	0.115218	1e-06	0.063605	1e-06	0.045262	0.016775	0.03968	0.451909	0.082249	0.057328	0.078466	0.589106	0.06688
TMTC1	ENSG00000133687.11	0.078254	0.0427	0.1055	0.072823	0.029849	0.040745	0.006443	0.06006	0.033717	0.046524	0.014361	0.031502	0.054908	0.055977	0.048409	0.051083	1e-06	0.049301	0.586632	0.06442
TMEM176A	ENSG00000002933.3	0.422114	0.068439	0.028994	0.039848	1e-06	0.040567	0.141736	0.097193	1e-06	0.068928	1e-06	0.042727	0.055486	0.057799	0.044963	0.054494	0.189187	0.086807	0.585141	0.061899
MFSD9	ENSG00000135953.6	0.128264	0.049812	0.007525	0.029933	0.002154	0.033024	0.060387	0.072137	1e-06	0.034378	1e-06	0.025741	0.052043	0.055124	0.086331	0.061138	1e-06	0.039753	0.577165	0.061846
NIPAL2	ENSG00000104361.5	0.098295	0.049687	0.034451	0.047335	1e-06	0.043831	0.077447	0.076536	0.016148	0.047063	0.065052	0.047581	0.00111	0.042775	1e-06	0.04327	1e-06	0.030762	0.573463	0.066693
CNR1	ENSG00000118432.11	0.012511	0.024827	1e-06	0.035824	0.007306	0.035409	0.142528	0.094777	0.097974	0.064369	0.108574	0.061593	0.030936	0.043255	1e-06	0.046404	0.028456	0.041833	0.563303	0.063478
APOBEC3B	ENSG00000179750.11	0.266698	0.070422	0.02203	0.034053	0.017977	0.039937	1e-06	0.050548	1e-06	0.037686	0.001529	0.027348	1e-06	0.042005	1e-06	0.045318	0.036656	0.04796	0.530887	0.082142
AOC1	ENSG00000002726.15	0.050252	0.044567	0.066991	0.060923	0.099521	0.071289	0.551381	0.091958	0.015947	0.048066	1e-06	0.046193	0.009793	0.039967	0.036906	0.052677	0.026259	0.046609	0.506376	0.074291
PEX11G	ENSG00000104883.3	0.102741	0.051958	0.019757	0.054762	1e-06	0.039407	0.060436	0.097345	1e-06	0.059626	0.033844	0.036091	0.013695	0.047106	1e-06	0.052157	0.116665	0.083493	0.48387	0.079086
FAM118A	ENSG00000100376.7	0.856686	0.025129	0.062638	0.066228	0.137486	0.076028	0.245001	0.112933	0.52681	0.091376	0.528515	0.063155	0.424612	0.091818	0.243778	0.08055	0.621114	0.075399	0.478487	0.070852
PRUNE2	ENSG00000106772.13	0.175028	0.058615	0.059499	0.066248	1e-06	0.053272	0.169185	0.107782	0.135242	0.082702	1e-06	0.055041	1e-06	0.068138	0.088118	0.071016	0.070557	0.066334	0.464868	0.069798
LRRC6	ENSG00000129295.4	0.120373	0.04272	1e-06	0.035821	1e-06	0.05252	0.365628	0.097573	0.047498	0.063982	0.053263	0.052677	0.063645	0.057959	0.044314	0.058284	0.110842	0.065771	0.464505	0.074434
PILRA	ENSG00000085514.10	0.641152	0.049171	0.052794	0.043485	0.063392	0.046106	0.091736	0.066931	0.358501	0.07875	0.116578	0.056272	0.111132	0.060206	0.173933	0.072716	0.393351	0.073733	0.431669	0.073246
RPS28	ENSG00000233927.4	0.921936	0.014242	0.289535	0.087706	1e-06	0.046581	0.003063	0.06436	1e-06	0.051001	0.505132	0.068431	0.08404	0.084957	0.450844	0.084776	0.040112	0.055822	0.428178	0.075946
