tissue	N	ensid	gene	local.h2	local.se	local.p	gene	global.h2	global.se	global.p	gene	loc.jt.h2	loc.jt.se	glo.jt.h2	glo.jt.se
DGN-WB	922	ENSG00000127903.12	ZNF835	0.108623	0.032098	2.814e-08	ZNF835	0.999999	0.143942	0	ZNF835	0.092526	0.032159	0.907473	0.157134
DGN-WB	922	ENSG00000169704.4	GP9	0.000001	0.012899	0.5	GP9	0.677536	0.158820	1.453e-05	GP9	0.000001	0.012154	0.672405	0.157884
DGN-WB	922	ENSG00000149564.7	ESAM	0.000001	0.012130	0.5	ESAM	0.571441	0.166790	0.0005551	ESAM	0.000001	0.010310	0.557099	0.166915
DGN-WB	922	ENSG00000120727.7	PAIP2	0.000001	0.010206	0.5	PAIP2	0.570877	0.158733	0.0001505	PAIP2	0.000001	0.013245	0.582856	0.157705
DGN-WB	922	ENSG00000185475.4	TMEM179B	0.048596	0.023323	0.0003846	TMEM179B	0.556656	0.163505	0.000299	TMEM179B	0.049176	0.023202	0.554754	0.159698
DGN-WB	922	ENSG00000159556.5	ISL2	0.382040	0.066057	0	ISL2	0.555139	0.164364	0.00038	ISL2	0.375840	0.065490	0.332533	0.113575
DGN-WB	922	ENSG00000173480.6	ZNF417	0.063862	0.025188	1.713e-06	ZNF417	0.554901	0.158485	0.0001916	ZNF417	0.059066	0.024214	0.481904	0.154998
DGN-WB	922	ENSG00000153446.11	C16orf89	0.000001	0.014020	0.5	C16orf89	0.549828	0.162677	0.0002934	C16orf89	0.000001	0.013642	0.547627	0.162682
DGN-WB	922	ENSG00000111261.9	MANSC1	0.015129	0.018557	0.1914	MANSC1	0.549563	0.159769	0.0002425	MANSC1	0.018787	0.018914	0.558236	0.159178
DGN-WB	922	ENSG00000120688.7	WBP4	0.015729	0.013898	0.04722	WBP4	0.547910	0.159497	0.0002512	WBP4	0.015184	0.013742	0.542914	0.159253
DGN-WB	922	ENSG00000154146.7	NRGN	0.008381	0.012771	0.2282	NRGN	0.544874	0.169247	0.001257	NRGN	0.005840	0.011782	0.538695	0.169470
DGN-WB	922	ENSG00000108826.11	MRPL27	0.015391	0.016262	0.1198	MRPL27	0.539812	0.160387	0.000371	MRPL27	0.013124	0.015735	0.529284	0.160327
DGN-WB	922	ENSG00000132470.9	ITGB4	0.041806	0.020871	0.0002889	ITGB4	0.539097	0.162164	0.0004284	ITGB4	0.044401	0.021519	0.557822	0.158951
DGN-WB	922	ENSG00000144677.10	CTDSPL	0.000001	0.012345	0.5	CTDSPL	0.538762	0.157135	0.000233	CTDSPL	0.000001	0.011532	0.530853	0.156675
DGN-WB	922	ENSG00000144560.9	VGLL4	0.034588	0.020102	0.002901	VGLL4	0.535636	0.155157	0.0002138	VGLL4	0.034888	0.020152	0.531854	0.154251
DGN-WB	922	ENSG00000171475.9	WIPF2	0.024402	0.019608	0.07523	WIPF2	0.533260	0.161251	0.0004042	WIPF2	0.018617	0.017483	0.516546	0.160997
DGN-WB	922	ENSG00000204424.8	LY6G6F	0.000001	0.010769	0.5	LY6G6F	0.533132	0.166304	0.0008819	LY6G6F	0.000001	0.010875	0.522809	0.165801
DGN-WB	922	ENSG00000155367.11	PPM1J	0.002355	0.010228	0.4005	PPM1J	0.530572	0.162193	0.000725	PPM1J	0.000511	0.009379	0.529993	0.162264
DGN-WB	922	ENSG00000220205.4	VAMP2	0.280085	0.044518	0	VAMP2	0.526269	0.165500	0.0007474	VAMP2	0.276744	0.044385	0.230600	0.131702
DGN-WB	922	ENSG00000185015.3	CA13	0.100273	0.037651	0	CA13	0.526152	0.164183	0.0007822	CA13	0.097149	0.036783	0.375627	0.152774
DGN-WB	922	ENSG00000163684.6	RPP14	0.121454	0.037723	0	RPP14	0.519751	0.162719	0.0009424	RPP14	0.114088	0.036294	0.355279	0.151128
DGN-WB	922	ENSG00000080371.4	RAB21	0.011506	0.012718	0.1199	RAB21	0.515605	0.163985	0.001113	RAB21	0.009420	0.011612	0.512489	0.164399
DGN-WB	922	ENSG00000205784.2	ARRDC5	0.203691	0.041109	0	ARRDC5	0.512166	0.164567	0.001097	ARRDC5	0.199451	0.040798	0.424330	0.146282
DGN-WB	922	ENSG00000107902.9	LHPP	0.536143	0.042138	0	LHPP	0.507249	0.159432	0.0006828	LHPP	0.530707	0.042404	0.185110	0.091837
DGN-WB	922	ENSG00000102678.6	FGF9	0.000001	0.013948	0.5	FGF9	0.504985	0.160607	0.0006945	FGF9	0.000001	0.013917	0.504213	0.160668
