gene	alpha	cvm	lambda.iteration	lambda.min	n.snps	R2	pval
ZMYND11	0.95	0.999704440379245	8	0.11655176005488	4	0.000268073351893509	0.72905728295142
DIP2C	0.95	0.988030936513749	16	0.077015699329755	41	0.0173269616972606	0.00516199258552595
PRR26	NA	NA	NA	NA	0	NA	NA
LARP4B	0.95	0.962623116139949	19	0.106307113095387	16	0.0352881746326476	6.08220449610145e-05
GTPBP4	0.95	0.937669801703495	28	0.0836151790975891	36	0.0613324513537847	1.02604706472378e-07
IDI2	NA	NA	NA	NA	0	NA	NA
IDI1	0.95	0.992510511921868	9	0.137227478455919	4	0.00537335850906888	0.120480436293292
WDR37	0.95	0.94754817625241	19	0.115637065398778	13	0.0520858668239306	9.95134578989218e-07
ADARB2	0.95	0.639966309873495	48	0.0716661790552894	51	0.358975784129678	3.44106692026663e-45
PFKP	0.95	0.985783806464245	17	0.112951466481664	21	0.014465402313901	0.0106634653745455
PITRM1	0.95	0.763237584272783	41	0.0659252001478428	74	0.235088274733124	6.55077831671172e-28
KLF6	0.95	1.00193292463936	6	0.137321883525857	6	7.41486260982638e-06	0.954064446627793
AKR1E2	0.95	0.826287408585074	32	0.0921971377875599	24	0.175191318060301	1.63302701283784e-20
AKR1C1	0.95	0.920474254854587	21	0.139394137804932	4	0.0851353297860881	2.78690860199155e-10
AKR1C2	0.95	0.764190104962137	34	0.113927817271952	13	0.240360028889428	1.37650599304329e-28
AKR1C3	0.95	0.965588155290084	18	0.107483047065903	23	0.0323134429259891	0.000126106074466301
AKR1C4	0.95	0.993177595747503	8	0.145631340928431	5	0.00461230944832905	0.150341224411615
UCN3	NA	NA	NA	NA	0	NA	NA
TUBAL3	0.95	0.955775560670431	17	0.124519702050942	11	0.0448801429748425	5.81361933174354e-06
NET1	0.95	0.994966188951532	13	0.103405524760461	27	0.00688057404808404	0.0787892127242138
CALML5	0.95	0.997635498029643	6	0.154986850337582	2	0.000679562332812287	0.581256498383901
CALML3	NA	NA	NA	NA	0	NA	NA
ASB13	0.95	0.897541748993	28	0.0610598110054234	95	0.104174985914293	2.27631901538817e-12
FAM208B	NA	NA	NA	NA	0	NA	NA
GDI2	0.95	0.895026076610062	25	0.127772057967708	7	0.108976741803943	6.68304420409333e-13
ANKRD16	0.95	0.879876365101709	38	0.0599463398535456	85	0.121451270138277	2.69579760438752e-14
FBXO18	0.95	0.971483758699928	17	0.112292567781134	13	0.0264933335408451	0.000527547283633317
IL15RA	0.95	0.897200088828605	34	0.0690840643726039	67	0.103034547542868	3.04296145776467e-12
IL2RA	0.95	0.91875480882007	23	0.103218933876659	27	0.0810159986025835	7.80586381361819e-10
RBM17	NA	NA	NA	NA	0	NA	NA
PFKFB3	NA	NA	NA	NA	0	NA	NA
AL137145.1	0.95	0.929135419968912	19	0.133761449746622	7	0.0765565647778361	2.37149910899795e-09
DKFZP667F0711	0.95	0.915713137957368	29	0.0871739693344298	45	0.0824038448005165	5.5193273158581e-10
PRKCQ	0.95	0.997906792332372	4	0.167130571877229	1	0.000200925903186917	0.764274516301599
SFMBT2	NA	NA	NA	NA	0	NA	NA
ITIH5	0.95	0.992863309111372	13	0.120736478696289	15	0.0072452783166215	0.0712463913432234
ITIH2	0.95	0.746001551855974	39	0.0839692458144051	33	0.256041370063927	1.24758787353343e-30
KIN	0.95	0.858288031817151	29	0.108673445260695	17	0.141931065811628	1.26863472160198e-16
ATP5C1	0.95	0.967486344009313	20	0.0984907403544333	27	0.0317037920399602	0.000146453317682918
TAF3	0.95	1.00286260067276	3	0.156171201041801	2	0.00541030210165605	0.119208745315725
GATA3	0.95	0.978484852997926	12	0.116590265408038	12	0.0195406472445328	0.00296151684610641
CELF2	0.95	0.985626033095649	10	0.118167357211835	13	0.0122472297999736	0.0188596470832867
USP6NL	NA	NA	NA	NA	0	NA	NA
ECHDC3	0.95	0.549634785972614	43	0.0737178277551554	35	0.463212712550157	1.65102970268025e-62
PROSER2	0.95	0.991162068272935	20	0.0919174987020294	31	0.0141391356150028	0.0115906590398636
UPF2	NA	NA	NA	NA	0	NA	NA
DHTKD1	0.95	0.998723377640419	6	0.141481028588626	4	0.000374324712242371	0.682305811550236
SEC61A2	0.95	0.809949869717668	34	0.101543494265999	20	0.192923855787956	1.19747940691011e-22
NUDT5	0.95	0.943277935717035	20	0.0915451314892952	31	0.054621445283881	5.3421878443645e-07
CDC123	NA	NA	NA	NA	0	NA	NA
CAMK1D	0.95	0.916303318600451	21	0.100208918305637	27	0.082486853811563	5.40601440548371e-10
CCDC3	0.95	0.969228751951191	15	0.127712017138774	17	0.0286505431210109	0.000310094699085067
OPTN	NA	NA	NA	NA	0	NA	NA
MCM10	0.95	0.947259003097199	15	0.104925689573194	24	0.0534216666908218	7.17113483758388e-07
PHYH	0.95	0.844829339130959	30	0.101444112760914	30	0.158238327366643	1.63599066981793e-18
SEPHS1	0.95	0.986555904167005	11	0.126696039267781	8	0.0112621444091064	0.0243656872225308
BEND7	0.95	0.971218087628498	12	0.148217864010893	4	0.0322420523043658	0.000128334069032318
PRPF18	0.95	0.989981966812068	9	0.136678696256346	4	0.00845119992280659	0.051314184240415
RP11-295P9.3	0.95	0.689411611502754	36	0.106532633443867	18	0.318705264013223	3.08583214581958e-39
FRMD4A	0.95	0.975809279037001	15	0.117852115781904	19	0.0221231996982216	0.0015558158950092
FAM107B	NA	NA	NA	NA	0	NA	NA
CDNF	NA	NA	NA	NA	0	NA	NA
HSPA14	0.95	0.936053556463179	25	0.0902669670344706	30	0.0620279010415834	8.64508613181476e-08
SUV39H2	NA	NA	NA	NA	0	NA	NA
DCLRE1C	0.95	0.864600445591241	34	0.0836724562624896	45	0.133739011540219	1.09700697085184e-15
MEIG1	NA	NA	NA	NA	0	NA	NA
OLAH	NA	NA	NA	NA	0	NA	NA
ACBD7	0.95	0.911986850288698	22	0.136756795222768	4	0.0946428795249849	2.55204750604148e-11
C10orf111	0.95	0.745190336391751	43	0.0664730971192422	47	0.254383303297003	2.06077214166862e-30
RPP38	0.95	0.96746385186953	19	0.11088611202019	12	0.0306052671037926	0.000191789152151317
NMT2	0.95	0.8855105390826	28	0.0872468483761917	36	0.113347206498332	2.17976086504864e-13
FAM171A1	0.95	0.953661481991405	16	0.113100071591608	21	0.0447198230237818	6.04627674704421e-06
ITGA8	NA	NA	NA	NA	0	NA	NA
FAM188A	0.95	0.999868828507578	7	0.128615744873158	4	0.000412554501670352	0.667401807855815
PTER	0.95	0.769566266496233	37	0.0766835941229851	41	0.232074719236597	1.59058144845239e-27
C1QL3	0.95	0.269192915621384	62	0.0519238958048971	33	0.732862341775711	1.7055406481247e-130
RSU1	0.95	0.69033315470588	39	0.0940763789346864	18	0.315454778077832	9.00742250902858e-39
CUBN	0.95	0.790796833394017	36	0.0889439410177436	35	0.212709058779395	4.39502036734706e-25
TRDMT1	0.95	0.806365249414576	32	0.101550551537518	19	0.197623547465963	3.19901575730777e-23
VIM	0.95	0.985730868921122	9	0.1301749126787	3	0.0133376994309272	0.0142347604190102
ST8SIA6	0.95	0.99904242049841	10	0.112401832050822	15	0.00218480605432502	0.322502385012595
PTPLA	0.95	0.992831653637615	11	0.113642708966392	15	0.00760703914215111	0.0645215960187016
STAM	0.95	0.877830360860343	29	0.107337041664647	15	0.123088419024614	1.76370836441429e-14
