gene	alpha	cvm	lambda.iteration	lambda.min	n.snps	R2	pval
TUBB8	NA	NA	NA	NA	0	NA	NA
ZMYND11	0.95	0.987464314152495	7	0.188507382936222	3	0.00734524791604763	0.23970565952987
DIP2C	0.95	1.00001004265194	5	0.209212982716847	2	0.000294323722715265	0.814259899794901
PRR26	0.95	1.00529238475314	13	0.143768994624845	18	0.00268603513485002	0.47761188289641
LARP4B	0.95	1.00462350494113	8	0.182000414224935	10	0.000688395828609161	0.719347094172445
AL359878.1	NA	NA	NA	NA	0	NA	NA
GTPBP4	0.95	1.00342277363059	2	0.249830176951789	3	0.0122865737508464	0.127882987750298
IDI2	NA	NA	NA	NA	0	NA	NA
IDI1	NA	NA	NA	NA	0	NA	NA
WDR37	NA	NA	NA	NA	0	NA	NA
ADARB2	0.95	0.988949581052814	12	0.158372752325978	24	0.014779801665185	0.0947409466794517
PFKP	NA	NA	NA	NA	0	NA	NA
PITRM1	0.95	0.993875528245989	9	0.222059328517091	3	0.00331830266778552	0.429853591277558
KLF6	0.95	0.9998343819868	3	0.246636970556389	1	0.00204680457898107	0.535379560644884
AKR1E2	NA	NA	NA	NA	0	NA	NA
AKR1C1	0.95	1.00159273221607	6	0.240375936191293	2	3.44199064963382e-06	0.979732509661954
AKR1C2	0.95	0.838256908850824	20	0.208493523125925	3	0.170741680635238	3.1223662026971e-09
AKR1C3	NA	NA	NA	NA	0	NA	NA
AKR1CL1	0.95	0.974766854457352	13	0.18611949171309	12	0.0213696361875267	0.0441642154900507
AKR1C4	0.95	0.997817122088222	9	0.166086189801823	4	0.0016018905370742	0.583508725177088
UCN3	NA	NA	NA	NA	0	NA	NA
TUBAL3	0.95	0.807171032739318	22	0.170978710666671	9	0.204199455762141	5.97527609759674e-11
NET1	NA	NA	NA	NA	0	NA	NA
CALML5	NA	NA	NA	NA	0	NA	NA
CALML3	NA	NA	NA	NA	0	NA	NA
ASB13	NA	NA	NA	NA	0	NA	NA
FAM208B	NA	NA	NA	NA	0	NA	NA
GDI2	0.95	0.995309911166331	9	0.192955151023543	13	0.00602311437981781	0.287188610464478
ANKRD16	NA	NA	NA	NA	0	NA	NA
FBXO18	NA	NA	NA	NA	0	NA	NA
IL15RA	0.95	0.993222569038079	5	0.245554167701905	1	0.00187328032158874	0.553225252033644
IL2RA	NA	NA	NA	NA	0	NA	NA
RBM17	NA	NA	NA	NA	0	NA	NA
PFKFB3	0.95	1.00949945506789	7	0.193282970932779	10	0.000337567207032231	0.801346868959357
AL137145.1	NA	NA	NA	NA	0	NA	NA
DKFZP667F0711	NA	NA	NA	NA	0	NA	NA
PRKCQ	0.95	0.989893301474392	5	0.24413799518064	4	0.00487171562106624	0.338610979662399
SFMBT2	NA	NA	NA	NA	0	NA	NA
ITIH5	NA	NA	NA	NA	0	NA	NA
ITIH2	0.95	0.992408010505449	8	0.209512640730755	7	0.00465405647425789	0.349663879930664
KIN	0.95	0.938119151747371	13	0.186757706355627	6	0.0670287297029113	0.000309970923747705
ATP5C1	0.95	0.927270972536603	15	0.186674470891056	11	0.0752417212779889	0.000128265682987002
TAF3	0.95	1.00230046315394	6	0.199803927886191	6	2.77448081788818e-06	0.981803201713022
GATA3	NA	NA	NA	NA	0	NA	NA
CELF2	NA	NA	NA	NA	0	NA	NA
USP6NL	0.95	0.982034863629563	16	0.136276391580273	37	0.0276040209230876	0.0219646446077428
ECHDC3	NA	NA	NA	NA	0	NA	NA
PROSER2	NA	NA	NA	NA	0	NA	NA
UPF2	NA	NA	NA	NA	0	NA	NA
DHTKD1	NA	NA	NA	NA	0	NA	NA
SEC61A2	0.95	1.00359260638037	4	0.249997239444424	1	0.000749899835909471	0.707626268832926
NUDT5	0.95	1.00892717367544	25	0.0857044635653419	63	0.026682482904125	0.0243297460179338
CDC123	0.95	1.00819370446413	5	0.215976226814151	3	0.00131884215577474	0.618878442649734
CAMK1D	0.95	0.94179992303963	12	0.234497212777333	2	0.063577240733841	0.000448907235180112
CCDC3	0.95	0.93894080081431	12	0.204246610260137	2	0.0669670639231652	0.000312029229186446
OPTN	0.95	0.995358631367364	7	0.20280755077819	3	0.00144830309602178	0.602157111153097
MCM10	0.95	0.985588931778967	27	0.0950348200668188	60	0.0371211745251146	0.00773951177572701
UCMA	NA	NA	NA	NA	0	NA	NA
PHYH	NA	NA	NA	NA	0	NA	NA
AL138764.1	NA	NA	NA	NA	0	NA	NA
SEPHS1	0.95	0.925073583649502	27	0.0775040661136927	71	0.0823219305730687	5.98233631990327e-05
BEND7	0.95	0.996165892197469	6	0.22831593370943	9	0.00158529989600168	0.585466089933411
PRPF18	NA	NA	NA	NA	0	NA	NA
RP11-295P9.3	NA	NA	NA	NA	0	NA	NA
FRMD4A	0.95	1.01173705134213	14	0.139571017054533	47	0.00938445732559222	0.183641671298207
FAM107B	0.95	0.979936191044337	8	0.222813439833106	4	0.0149260627247447	0.0931107473874211
CDNF	NA	NA	NA	NA	0	NA	NA
HSPA14	NA	NA	NA	NA	0	NA	NA
SUV39H2	0.95	0.990100212997373	8	0.187855019529072	5	0.00695226823549823	0.252737244102505
DCLRE1C	0.95	1.00394356071864	24	0.0875153639823669	55	0.0280981824619729	0.0207949620977418
MEIG1	NA	NA	NA	NA	0	NA	NA
OLAH	0.95	0.96443531025014	11	0.180407974167555	14	0.0305862864793768	0.0158042341874714
ACBD7	NA	NA	NA	NA	0	NA	NA
C10orf111	0.95	0.93338877423808	14	0.206280719519356	2	0.0726741855611269	0.000169046776316945
RPP38	0.95	1.01799070647247	3	0.229073182221319	2	0.0364577436833719	0.00831829811261646
NMT2	0.95	0.869684793508734	19	0.145314387284461	18	0.133103968250135	2.27661955721948e-07
FAM171A1	0.95	0.962223274899644	29	0.0920265189963393	45	0.0556543070794101	0.00105015378785979
ITGA8	NA	NA	NA	NA	0	NA	NA
FAM188A	0.95	1.00688919384922	4	0.238000308345197	3	0.00912186116722967	0.189923990988732
PTER	NA	NA	NA	NA	0	NA	NA
C1QL3	0.95	0.422887337398079	44	0.110627832920708	18	0.583866040915194	1.2230088658638e-37
RSU1	0.95	0.911621385477777	15	0.195361044219167	5	0.0925757918625221	1.97299073419775e-05
CUBN	0.95	0.989213285999629	8	0.212147138387045	6	0.00614468034596021	0.282361702962723
TRDMT1	0.95	0.872401829169226	21	0.181502773445574	12	0.13097724613654	2.88786036283499e-07
VIM	NA	NA	NA	NA	0	NA	NA
ST8SIA6	NA	NA	NA	NA	0	NA	NA
PTPLA	NA	NA	NA	NA	0	NA	NA
STAM	0.95	0.919772421778203	18	0.190005237291353	14	0.078221990499663	9.30681340601302e-05
TMEM236	0.95	0.947266619700405	15	0.160649049309301	14	0.0485040783167079	0.00226342940789991
MRC1L1	0.95	0.949183134374582	17	0.162176884246626	9	0.0458751660578014	0.00300362311268267
TMEM236	0.95	1.01138722165808	9	0.183887569934213	6	5.3185935992153e-06	0.974807673713778
MRC1	0.95	0.861848842248273	25	0.146601346426832	17	0.134946500992997	1.85202653373098e-07
SLC39A12	0.95	0.985213840508304	11	0.179003299108123	9	0.010692758133683	0.155679449270903
CACNB2	0.95	0.99147873596655	9	0.189653554523561	8	0.00580586154042753	0.29607787447446
NSUN6	0.95	0.993920702101831	10	0.225943218964625	9	0.00464047424798594	0.350369622331705
ARL5B	NA	NA	NA	NA	0	NA	NA
C10orf112	0.95	0.751694342023279	30	0.14442156639282	17	0.252299688551984	1.53881070276433e-13
PLXDC2	0.95	0.894103437300148	23	0.093095608903246	45	0.106029805350613	4.55432637797411e-06
NEBL	NA	NA	NA	NA	0	NA	NA
C10orf113	NA	NA	NA	NA	0	NA	NA
CASC10	0.95	1.01323033377115	8	0.162768636748062	4	0.00381895192886431	0.396989058878408
SKIDA1	0.95	0.929625154367859	15	0.154100010673163	9	0.0708991874440655	0.000204567845713371
MLLT10	NA	NA	NA	NA	0	NA	NA
DNAJC1	NA	NA	NA	NA	0	NA	NA
EBLN1	0.95	0.978643433827148	11	0.145801243281195	8	0.0161923046685915	0.0801958508925732
COMMD3	NA	NA	NA	NA	0	NA	NA
BMI1	NA	NA	NA	NA	0	NA	NA
SPAG6	NA	NA	NA	NA	0	NA	NA
PIP4K2A	0.95	0.969224679420745	16	0.173096722234593	9	0.0271513286971599	0.0230954300031625
ARMC3	0.95	0.995459400592036	4	0.223377426476856	1	0.000291107668559832	0.815259184369065
MSRB2	NA	NA	NA	NA	0	NA	NA
PTF1A	NA	NA	NA	NA	0	NA	NA
C10orf115	NA	NA	NA	NA	0	NA	NA
C10orf67	NA	NA	NA	NA	0	NA	NA
OTUD1	0.95	0.974428810668202	11	0.166583599084454	11	0.0204845424656288	0.0488422096845748
KIAA1217	NA	NA	NA	NA	0	NA	NA
AL353583.1	0.95	1.00856578402863	2	0.26670579252117	1	0.0276830286207827	0.0217731933668617
ARHGAP21	NA	NA	NA	NA	0	NA	NA
PRTFDC1	NA	NA	NA	NA	0	NA	NA
ENKUR	NA	NA	NA	NA	0	NA	NA
THNSL1	0.95	0.967967327535898	10	0.20878185403203	3	0.0325249499603001	0.0127759294675583
GPR158	0.95	0.999352423323505	7	0.199297154384914	2	6.06711458122817e-07	0.991490101113627
MYO3A	0.95	1.00114095333276	8	0.180347534191566	6	7.18322471879015e-05	0.907607876353445
GAD2	0.95	1.00085415375915	4	0.185942989808419	1	0.00343635695598277	0.421751575555288
APBB1IP	0.95	0.997535084354349	6	0.221078645798508	1	0.000130515423475399	0.875686579840962
PDSS1	0.95	0.928528687841736	23	0.110890093182246	35	0.069787574947899	0.000230510141215778
ABI1	0.95	0.989903653520752	10	0.195732233481024	10	0.00810818746750658	0.216639962734101
ANKRD26	0.95	0.943763275513708	15	0.193783410124121	7	0.0521385177768399	0.00153160614256729
YME1L1	0.95	1.0025499477645	6	0.187493729778977	4	0.000277470535983851	0.819562497032727
