gene	alpha	cvm	lambda.iteration	lambda.min	n.snps	R2	pval
TUBB8	NA	NA	NA	NA	0	NA	NA
ZMYND11	NA	NA	NA	NA	0	NA	NA
DIP2C	NA	NA	NA	NA	0	NA	NA
PRR26	1	0.990889644469708	19	0.0832305983517297	30	0.0218040149748893	0.0135523673427794
LARP4B	1	0.995904100965817	5	0.186343257060627	1	0.000838229550966443	0.630142127548479
AL359878.1	1	0.988219093799827	9	0.15374127826621	8	0.00830417067680515	0.128900482196602
GTPBP4	1	0.99152490409699	7	0.179124983128835	3	0.00491060777386472	0.243341564048238
IDI2	NA	NA	NA	NA	0	NA	NA
IDI1	NA	NA	NA	NA	0	NA	NA
WDR37	1	0.994798737003122	11	0.143660941058355	9	0.00449193952810805	0.264543740533298
ADARB2	1	0.854334129051681	29	0.1128275891562	24	0.144436088668084	5.11277408585676e-11
PFKP	1	0.998965732537705	5	0.176870986141877	4	0.000267311267949603	0.785710280234197
PITRM1	1	0.997991072225373	17	0.115937701952078	39	0.0218933770551984	0.0133600436693616
KLF6	NA	NA	NA	NA	0	NA	NA
AKR1E2	1	0.943063503558935	15	0.15287435636958	8	0.0579751147148607	4.82986109318457e-05
AKR1C1	1	0.934476585865787	19	0.144531905368641	11	0.0627001811850471	2.32313798688578e-05
AKR1C2	1	0.920670071962252	16	0.161081366711669	6	0.0858493395124212	6.29741850327187e-07
AKR1C3	1	0.925047769653457	16	0.131637959869937	18	0.0761215810488053	2.88414571535805e-06
AKR1CL1	1	0.963787502462505	14	0.156037533424048	9	0.0333010191035277	0.00221216351864543
AKR1C4	1	0.987759124475626	18	0.108409502919041	30	0.0177970837566326	0.0258618669812617
UCN3	1	0.979607491033316	17	0.0977741324763084	44	0.0245371790753285	0.00876943547012363
TUBAL3	1	0.920403342915437	24	0.122555995871268	21	0.0766119780774152	2.67174998698036e-06
NET1	1	0.997065070644908	7	0.168328274506321	9	0.00266883091501943	0.390007151237658
CALML5	1	1.00491461466511	2	0.190462430736741	1	0.0162481364896891	0.0333148278453215
CALML3	NA	NA	NA	NA	0	NA	NA
ASB13	1	0.998167342469659	6	0.184119578641901	3	0.000307036704322541	0.770752149621412
FAM208B	NA	NA	NA	NA	0	NA	NA
GDI2	1	0.958971797202464	17	0.14519405101358	9	0.0375871786299739	0.00113498886817971
ANKRD16	1	0.991531296189418	14	0.11113171255704	31	0.0140944902168774	0.0475769766976024
FBXO18	NA	NA	NA	NA	0	NA	NA
IL15RA	NA	NA	NA	NA	0	NA	NA
IL2RA	NA	NA	NA	NA	0	NA	NA
RBM17	1	0.997587661992061	8	0.139022577336807	14	0.00266330136367751	0.390499297813781
PFKFB3	1	0.97535492059015	16	0.124508221857262	19	0.0240760448829681	0.0094353422226402
AL137145.1	1	0.99692439326139	11	0.141240261295556	16	0.00591486372962831	0.200281583869137
DKFZP667F0711	1	1.00086819962071	5	0.172598698041367	4	4.08678429595232e-07	0.991518538255917
PRKCQ	NA	NA	NA	NA	0	NA	NA
SFMBT2	NA	NA	NA	NA	0	NA	NA
ITIH5	1	0.96695834676187	10	0.191235951081928	2	0.0371542241414605	0.00121399140039451
ITIH2	1	0.969632319673114	13	0.169395637936152	6	0.0272913282251358	0.00567414813650924
KIN	1	0.990831919814293	8	0.161664449451841	7	0.00575046935799677	0.206670434715042
ATP5C1	1	0.963789730275098	11	0.185989371247992	1	0.0421436881517549	0.000559685806726062
TAF3	1	1.0057097757838	8	0.163841020893079	3	0.000242118906453737	0.795824362002863
GATA3	NA	NA	NA	NA	0	NA	NA
CELF2	1	0.989481417495027	11	0.153023233017722	6	0.00780177735836297	0.141124338581592
USP6NL	1	0.971677559080804	12	0.147289751171543	7	0.0249329223056503	0.00823616155219598
ECHDC3	1	0.879046062916195	25	0.109650639686824	35	0.119434203581402	3.02306877092727e-09
PROSER2	NA	NA	NA	NA	0	NA	NA
UPF2	1	1.00108709148283	7	0.163226929465072	5	0.000267844175043605	0.785501973218072
DHTKD1	NA	NA	NA	NA	0	NA	NA
SEC61A2	1	0.992053342290538	9	0.175570688568682	4	0.00520435330470857	0.22969246459063
NUDT5	1	0.999529256423555	10	0.153552042126601	9	0.00165119149803131	0.499061000804919
CDC123	1	1.00739600377435	5	0.164780227986076	4	0.00461028210186872	0.258328329844256
CAMK1D	1	0.819402418463008	27	0.139318299888998	9	0.18622074577149	4.40457320674242e-14
CCDC3	1	0.929637328067508	14	0.195993885666852	3	0.0812489723973491	1.29476665280751e-06
OPTN	1	0.990029296558949	14	0.118727027125753	25	0.012181222304127	0.0656406366823632
MCM10	NA	NA	NA	NA	0	NA	NA
UCMA	NA	NA	NA	NA	0	NA	NA
PHYH	1	0.921700057851676	15	0.172606071178709	5	0.0876267585319975	4.76387522358162e-07
AL138764.1	NA	NA	NA	NA	0	NA	NA
SEPHS1	1	0.990698543169405	9	0.138504494614626	10	0.0065255583189285	0.178480108519827
BEND7	1	0.983120344130869	13	0.127249467952	24	0.0167252597900232	0.0308073868037231
PRPF18	NA	NA	NA	NA	0	NA	NA
RP11-295P9.3	1	0.83506744001194	26	0.116710056427538	22	0.168917479480426	8.50816687485334e-13
FRMD4A	1	0.992694507551772	12	0.13738935715465	21	0.00757949916537998	0.14694125508969
FAM107B	1	1.00234879183064	3	0.163138118598876	4	0.00126347858128614	0.554354744990449
CDNF	NA	NA	NA	NA	0	NA	NA
HSPA14	1	0.955148133357988	20	0.118379863265518	20	0.0426408065984826	0.000518191785632586
SUV39H2	NA	NA	NA	NA	0	NA	NA
DCLRE1C	NA	NA	NA	NA	0	NA	NA
MEIG1	NA	NA	NA	NA	0	NA	NA
OLAH	NA	NA	NA	NA	0	NA	NA
ACBD7	NA	NA	NA	NA	0	NA	NA
C10orf111	1	0.989689011763751	8	0.176644283483984	2	0.0068033313282247	0.16947803531305
RPP38	NA	NA	NA	NA	0	NA	NA
NMT2	1	0.936303075568048	13	0.187171434919302	3	0.0794453685556074	1.71658298635882e-06
FAM171A1	1	1.00093591311008	11	0.124264818849216	16	0.00542737448487626	0.219940426558301
ITGA8	NA	NA	NA	NA	0	NA	NA
FAM188A	NA	NA	NA	NA	0	NA	NA
PTER	1	0.849558490426943	23	0.126500241331631	17	0.153720293213285	1.09505403364978e-11
C1QL3	1	0.522324443821298	36	0.140347828518273	2	0.490820621248149	1.71732839152567e-42
RSU1	1	0.968262011382557	14	0.182844684956914	6	0.028312861264273	0.00483133838166338
CUBN	1	0.961546382648244	18	0.143946428674528	12	0.0353158982219339	0.0016159264233273
TRDMT1	1	0.965744291700982	13	0.165029320240029	2	0.0330784194463341	0.00229036705331303
VIM	NA	NA	NA	NA	0	NA	NA
ST8SIA6	1	0.982650780008747	16	0.101666619487213	29	0.0197364252794669	0.0188894790981378
PTPLA	NA	NA	NA	NA	0	NA	NA
STAM	1	0.885392652911103	28	0.111450786021279	13	0.112282117006754	9.54319329983926e-09
TMEM236	1	0.998924262062057	7	0.180074504390607	1	0.000136351151930465	0.846039269058582
MRC1L1	1	0.879600733170662	25	0.133166554788216	10	0.12169093256172	2.10013742643784e-09
TMEM236	1	0.9971730071574	5	0.188522660690456	1	0.000268201174680068	0.785362550749379
MRC1	1	0.701750290251338	32	0.131381649899185	10	0.308497364524135	5.54251679554546e-24
SLC39A12	1	0.845565584434985	27	0.119336076134032	9	0.157198125875988	6.12469320798258e-12
CACNB2	NA	NA	NA	NA	0	NA	NA
NSUN6	1	0.778196648223344	26	0.137948877723408	9	0.232820280047611	1.12217606170961e-17
ARL5B	NA	NA	NA	NA	0	NA	NA
C10orf112	1	0.860241936797169	24	0.103775323076922	30	0.138778614615606	1.29828531824875e-10
PLXDC2	1	0.995584000599866	11	0.143813941496064	10	0.00338829548214623	0.332675107993851
NEBL	1	0.998396336136473	7	0.177173606725298	1	0.000599352224342926	0.683898060243796
C10orf113	1	0.975214421285564	12	0.128142957315155	9	0.0215248285902554	0.0141716611693143
CASC10	NA	NA	NA	NA	0	NA	NA
SKIDA1	NA	NA	NA	NA	0	NA	NA
MLLT10	NA	NA	NA	NA	0	NA	NA
DNAJC1	NA	NA	NA	NA	0	NA	NA
EBLN1	NA	NA	NA	NA	0	NA	NA
COMMD3	1	0.999591536677578	9	0.145401589445339	7	0.000784663694985622	0.64130071970607
BMI1	NA	NA	NA	NA	0	NA	NA
SPAG6	NA	NA	NA	NA	0	NA	NA
PIP4K2A	1	0.988612526229053	12	0.145176176836484	8	0.00911954476741867	0.111478897255061
ARMC3	1	1.00212426058916	6	0.173857975072261	1	0.000769133854139009	0.644622249337322
MSRB2	NA	NA	NA	NA	0	NA	NA
PTF1A	1	0.986007441700146	19	0.0889161324590965	29	0.0216795922378579	0.0138248716149747
C10orf115	NA	NA	NA	NA	0	NA	NA
C10orf67	NA	NA	NA	NA	0	NA	NA
