gene	alpha	cvm	lambda.iteration	lambda.min	n.snps	R2	pval
ZMYND11	NA	NA	NA	NA	0	NA	NA
DIP2C	0.05	0.994185902376555	19	2.4191822003435	67	0.00532724516532569	0.316939781472321
PRR26	0.05	1.00899502318113	14	2.36020673744303	73	6.34398094446209e-05	0.913150172226265
LARP4B	NA	NA	NA	NA	0	NA	NA
GTPBP4	NA	NA	NA	NA	0	NA	NA
IDI2	NA	NA	NA	NA	0	NA	NA
IDI1	NA	NA	NA	NA	0	NA	NA
WDR37	0.05	0.982601832091507	14	3.21038005464083	32	0.01245951481769	0.125214742294718
ADARB2	0.05	1.00395642564317	11	3.2911294204724	45	2.77062568573589e-08	0.998181429990979
PFKP	0.05	1.00176301005277	15	2.82693718666203	87	0.00188448628038285	0.552039611927509
PITRM1	NA	NA	NA	NA	0	NA	NA
KLF6	0.05	1.00155815613756	8	3.90602779746529	11	0.0018057983895565	0.560467965440222
AKR1E2	NA	NA	NA	NA	0	NA	NA
AKR1C1	0.05	0.992193050963557	15	3.00761590945879	58	0.00418103280595296	0.375436768781729
AKR1C2	0.05	0.988862865118071	18	2.36364696382774	110	0.0107540225345482	0.154493666507182
AKR1C3	0.05	0.995549267333331	10	3.30892529763785	32	0.00121626980661952	0.632868982382334
AKR1C4	0.05	0.982777135748682	11	3.14926013729411	25	0.0134336838611893	0.111283142229179
UCN3	0.05	0.980748131875857	17	2.48621781991278	96	0.0152178984345281	0.0899476622333772
TUBAL3	0.05	0.893061648748238	29	1.73633797803249	218	0.102375028895472	6.79141770973658e-06
NET1	0.05	0.997374388928182	8	4.08184034112197	1	0.00154359869537752	0.590445231201506
CALML5	NA	NA	NA	NA	0	NA	NA
CALML3	NA	NA	NA	NA	0	NA	NA
ASB13	NA	NA	NA	NA	0	NA	NA
FAM208B	0.05	0.996230971764681	13	2.9600934750153	45	0.00132896885220584	0.617534302501284
GDI2	0.05	1.00185300540457	8	3.84849115445241	4	0.00585535345995678	0.294022423793123
ANKRD16	0.05	0.994717830449147	12	3.02825626213763	43	0.0018833710951898	0.552157389813614
FBXO18	NA	NA	NA	NA	0	NA	NA
IL15RA	NA	NA	NA	NA	0	NA	NA
IL2RA	NA	NA	NA	NA	0	NA	NA
RBM17	0.05	0.969097525583433	18	2.21774097755649	144	0.0261227400764858	0.0258926726211496
PFKFB3	0.05	0.986318398703597	13	3.17502736053361	48	0.00849257430597401	0.206021364897043
AL137145.1	NA	NA	NA	NA	0	NA	NA
DKFZP667F0711	NA	NA	NA	NA	0	NA	NA
PRKCQ	NA	NA	NA	NA	0	NA	NA
SFMBT2	NA	NA	NA	NA	0	NA	NA
ITIH5	NA	NA	NA	NA	0	NA	NA
